id,problem
svsu_2003level1_solutions_01,+ = 9 16 1 2 5 7 a. b. c. d. e. None of the above 5 7 12 12 1 16 1 9 25 25 5
svsu_2003level1_solutions_02,Which of these numbers is largest? a. 3 5⋅6 b. 6 3 5 c. 5 3 6 d. 3 5 6 e. 3 6 5
svsu_2003level1_solutions_03,Last year a bicycle cost $160 and a cycling helmet cost $40. This year the cost of the bicycle increased by 5% and the cost of the helmet increased by 10%. The percent increase in the combined cost of the bicycle and the helmet is a. 6% b. 7% c. 7.5% d. 8% e. None of the above
svsu_2003level1_solutions_04,"A vacuum pump removes ½ of the air in a container with each stroke. After 5 strokes, the percentage of the original amount of air that remains in the container will be a. ½ % b. 1/32% c. 3.125% d. 1/8 % e. None of the above"
svsu_2003level1_solutions_05,"The ratio of wto x is 4:3, of y to zis 3:2, and of zto x is 1:6. What is the ratio of wto y? a. 1:3 b. 16:3 c. 20:3 d. 12:1 e. None of the above w w x z 4 6 2 16"
svsu_2003level1_solutions_06,Find the difference of and . x+1 x2 −1 −2 a. No difference because both are undefined at −1. b. c. 0 x2 −1 1 d. e. None of the above x−1 1 x+1 x+1 x+1
svsu_2003level1_solutions_07,The number of real solutions of the equation |x−2|+|x−3|=1 is a. 0 b. 1 c. 2 d. 3 e. More than 3
svsu_2003level1_solutions_08,The sum of the solutions to x2 −x=6is a. 1 b. –1 c. –5 d. 13 e. None of the above
svsu_2003level1_solutions_09,"If f(x)=1−x2, find a constant cso that =c(2a+h). h a. c = 2 b. c = -2 c. c = 1 d. c = -1 e. None of the above."
svsu_2003level1_solutions_10,"If m>0 and the points (m,3) and (1,m) lie on a line with slope m, then m= a. 1 b. 2 c. 3 d. 2 e. None of the above m−3 m−3"
svsu_2003level1_solutions_11,For how many integers nbetween 1 and 100 does x2 +x−n factor into the product of two linear factors with integer coefficients. a. 8 b. 9 c.10 d.12 e. None of the above
svsu_2003level1_solutions_12,"For the triangle formed by the points A(−3,2),B(5,4), and C(3,−8), write the equation of the line that contains the altitude of the triangle through point C in the form y=mx+b. 1 1 1 a. y= x+4 b. y=− x−7 c. y=−4x+4 d. y=−4x+3 4 4 4 e. None of the above"
svsu_2003level1_solutions_13,A parent is currently 3 times as old as his/her child; and in 10 years he/she will be twice as old as his/her child. How many years older is the parent than the child now. a. 15 years b. 25 years c. 35 years d. 45 years e. None of the above
svsu_2003level1_solutions_14,The following system of equations has only one solution if kx+ y=1  x+ky=1 a. k = 1 b. k = 0 c. k≥0 d. k ≠±1 e. None of the above
svsu_2003level1_solutions_15,The concentration of a mixture consisting of 10 gallons 20%-acid and 40 gallons 15%-acid is a. 12%-acid. b. 16%-acid. c. 17%-acid. d. 15% acid. e. None of the above. 800
svsu_2003level1_solutions_16,What is the average of the two solutions of the arbitrary quadratic equation ax2 +bx+c=0? b b c b a. b. − c. − d. − e. None of the above. 2a 2a 2a a
svsu_2003level1_solutions_17,"A line passes through (5,-6). Which of the following are possible values of the slope m of the line, if the line never enters the first quadrant? −6 −5 −5 −6 a. m≤ b. m≤ c. ≤m≤0 d. ≤m≤0 e. None of the above 5 6 6 5"
svsu_2003level1_solutions_18,"Bill scores 78 on a test that had 4 problems worth 7 points each and 24 multiple-choice questions worth 3 points each. If he had one of the 7-point problems wrong, how many of the multiple-choice questions did he miss? a. 3 b. 4 c. 5 d. 6 e. None of the above"
svsu_2003level1_solutions_19,"In ∆ABC,∠A=55(cid:68),∠C =75(cid:68),D is on side AB and E is on side BC. If DB=BE, then ∠BED= B a. 50(cid:68) b. 55(cid:68) c. 60(cid:68) d. 65(cid:68) e. None of the above"
svsu_2003level1_solutions_20,"If ∠Ais four times ∠B, and the complement of ∠Bis four times the complement of ∠A, then ∠B= A 55 75 C a. 10(cid:68) b. 12(cid:68) c. 15(cid:68) d. 18(cid:68) e. None of the above"
svsu_2003level1_solutions_21,"If AC ⊥BD, DE = 2, BE = 1, and EC = 1 /2, what is the length of AB? a. 17 b. 4 c. 5 d. 3 e. None of the above 1 D"
svsu_2003level1_solutions_22,The area of the shaded region formed by the four semicircles in the given unit square is π π π π a. −1 cm2 (b) 1− cm2(c) 1− cm2 (d) cm2 (e) None of the above 2 6 8 4
svsu_2003level1_solutions_23,In how many ways can 6 people be lined up to get on a bus if 3 specific persons insist on following each other? a. 144 b. 124 c. 24 d. 720 e. None of the above
svsu_2003level1_solutions_24,Assume that girl-boy births are equally probable. The probability that a family with 5 children has at least one girl is a. 1/5 b. 31/32 c. 4/5 d. 4/32 e. None of the above 1 1 1 1 1 1
svsu_2003level1_solutions_25,"An old car has to travel a 2-mile route, 1 mile uphill and 1 mile downhill. Because it is so old, the car can climb the first mile – the ascent – no faster than an average speed of 15 mi/hr. How fast does the car need to travel the second mile – on the descent it can go faster, of course – in order to achieve an average speed of 30 mi/hr for the trip? a. 45 mi/hr b. 60 mi/hr c. 75 mi/hr d. 100 mi/hr e. None of the above"
