id,problem
svsu_solutions_01,"( D ) The volume of a cylinder is πr2h, so if the radius is increased by 50% to r+.5r =1.5r , then the volume is 2.25πr2h−πr2h π(1.5r)2h=2.25πr2h. Therefore, the percent increase is =1.25or 125%. πr2h"
svsu_solutions_02,"( B ) The log function has domain (0,∞). The domain of y =logx2is (−∞,0)∪(0,∞)since x2is positive on this interval, but the domain of y =2logxis (0,∞)since this is the interval on which xis positive. Therefore, B is true and A, C, and D must be false – they cannot be the same function, or multiples of each other, or have the same domain if their domains are different. T T"
svsu_solutions_03,"( D ) Tracy calculated and the correct average is . Since the correct average is 14 more than what she 6 5 calculated, we have T +14= T . 6 5"
svsu_solutions_04,"( D ) Looking at the net for the room, the shortest distance (d) is along the straight line. By the Pythagorean Theorem, d = 142 +102 = 296. Spiders can’t fly. fly 4 10 10 spider"
svsu_solutions_05,"( A ) Let d be the diameter of the balls. The triangle shown is a 30-60-90 triangle since one leg is half the length of the hypotenuse. So, the side opposite the 60 degree angle is 3times the short leg. This gives 33−d =2d 3 or 33 33(1−2 3) d = . Rationalizing, we get d = =6 3−3. 1+2 3 −11"
svsu_solutions_06,"( C ) Let a represent the nth term of the sequence. We have a =a =8 and, being the sum of the previous two n 1 7 terms, a =a +a =8+a . Continuing, a =a +a =8+2a , a =a +a =16+3a , 3 1 2 2 4 2 3 2 5 3 4 2 a =a +a =24+5a , a =a +a =40+8a . Now, substituting 8 for a in the last equation we have 6 4 5 2 7 5 6 2 7 8=40+8a , or a =−4. Substituting −4in the expression for a , a =16+3(−4)=4. 2 2 5 5"
svsu_solutions_07,"( D ) If ba =1then one of the following three cases must be true. I. a=0 and b≠0: Solving x2 −9x+20=0, (x−4)(x−1)=0 or x=4,5. Checking, x2 −5x+5≠0at 4 or 5. II. b=1: Solving x2 −5x+5=1⇔ x2 −5x+4=0, so (x−4)(x−1)=0 or x=1,4. III. b=−1 and a iseven: Solving, x2 −5x+5=−1⇒ x2 −5x+6=0⇒(x−6)(x+1)=0, so x=−1,6. Check that (−1)2 −9(−1)+20=30,62 −9(6)+20=2 are both even. Summing all the different values, 4+5+1+(−1)+6=15."
svsu_solutions_08,"( C ) Since 202 base 5 is 2(52)+0(51)+2(50)=52in base 10, the given base 3 numeral must be equal to 52 base"
svsu_solutions_09,"So, 52=1(33)+x(32)+2(31)+1(30), or, equivalently, 52=9x+34, Solving, x=2."
svsu_solutions_10,"( D ) Writing each with the common base 2, the given expression is equivalent to log 4log 5log 6log 7log 8 (log 3) 2  2  2  2  2 =log 8=3 2 log 3 log 4 log 5 log 6 log 7 2       2 2 2 2 2"
svsu_solutions_11,"( C ) Each being a factor, and the leading coefficient of f being a, ax3+bx2 +cx+3=a(x−2)(x−3)(x−4). Equating the constant term on each side, 3=a(−24), so a=−1 . 8"
svsu_solutions_12,"( C ) Using the right triangle ratios and the Pythagorean theorem to find the third side of the right triangle, sina= 3 implies cosa=± 4 . But, cosa<0, so cosa=− 4 and 5 5 5 sin(2a)=2sinacosa =2 (3 )(−4 ) =− 24 5 5 25 5 3 a 4"
svsu_solutions_13,"( B ) Average speed is total distance divided by the total time. If we let d be the distance for one lap, then the total d d 5d distance is 2d. The total time is the sum of the times for each lap, which is + = . Therefore, the 180 120 360 average speed is 2d = 2 360=144mph. 5d 5 360"
svsu_solutions_14,"( A )Since tanθ= −3 <0 and secθ>0, we know cosθ>0and sinθ<0, so θ=arctan(−3 )is a fourth 4 4 quadrant angle. Then, arctan(3 ) is the first quadrant angle −θ. We have sin(arctan(3 ))=sin(−θ)=−sinθ, and 4 4 from the same triangle as in (11) above, sinθ=−3 since in the fourth quadrant. Its negative is 3 . 5 5"
svsu_solutions_15,"( C ) Using N for nickel, D for dime, and Q for quarter, the possible change combinations are 10N, 5D, 2Q, 8N&1D, 6N&2D, 4N &3D, 2N&4D, 1Q5N, 1Q1D3N, 1Q2D1N. Of these ten possible outcomes, three have 1 quarter."
svsu_solutions_16,"( B )There are 3 possible positions that John and Julie can occupy so that they are not next to each other: X _ _ X, X _ X _, or _ X _ X. For each of these three positions, John and Julie can be in either order, and the other two can be in either order in the other slots. So, there are 3(2)(2)=12 possible ways."
svsu_solutions_17,"( C ) At 4:00 p.m. the hour hand is 20 minutes ahead of the minute hand. If we let xbe the number of minutes it will take the minute hand to catch the hour hand, then the hour hand will travel x−20 minutes. If ris the speed of the hour hand, then12ris the speed of the minute hand. The time it will take for them to coincide is then x x−20 240 9 = , which is equivalent to 11xr =240r , or x= =21 minutes, which is closest to 4:22 p.m. 12r r 11 11"
svsu_solutions_18,"( C )Avoiding 0 and repeats, there are 9⋅8⋅7⋅6=3024weird four-digit numbers. A 4-digit goofy number could have 2, 4, 6, or 8 as the first digit, and any of 0, 2, 4, 6, 8 for the remaining three digits, so there are 4⋅5⋅5⋅5=500of these. We need to throw out the numbers that are both weird and goofy, as these were counted twice. If weird and goofy, each digit must be 2, 4, 6, or 8 and there can be no repeating digits, so there are 4⋅3⋅2⋅1=24 of these. There are, then, 3024+500-24=3500 that are weird or goofy."
svsu_solutions_19,"( D )Writing down the first few terms and expressing them in terms of a ,a and a : 1 2 3 a =a (a +a ), a =a (a +a )=a (a +a )(a +a )and 4 3 2 1 5 4 3 2 3 2 1 3 2 a =a (a +a )=a (a +a )(a +a )[a (a +a )+a ]=a (a +a )(a +a )[a (a +a +1)]. Therefore, 6 5 4 3 3 2 1 3 2 3 2 1 3 3 2 1 3 2 3 2 1 144=a2(a +a )(a +a )(a +a +1). This shows that a2 is a factor and so are the consecutive integers 3 3 2 2 1 2 1 3 (a +a ) and (a +a +1). Now 144=122 =24⋅32, so it has factor 1,2,3,4,6,8,9,12,16,18,24,36,48,72,144. The 2 1 2 1 only consecutive pairs are 1,2 or 2,3 or 3,4 or 8,9. I. (1,2): Can't occur since a +a ≥2. 1 2 II. (2,3): If a +a = 2 then they are both 1, so 144 = 6a2(a +1)or 24 = a2(a +1). No factor a of 1 2 3 3 3 3 3 24 satisfies this criteria. III. (3,4): If a +a =3 then 144 =12a2(a +a ) or 12 = a2(a +a ). Therefore, a = 2and a =1, 1 2 3 3 2 3 3 2 3 2 which implies a = 2. Substituting, a = 6,a =18,and a =144(18+6)= 3456. 1 4 5 7 IV. (8,9): If a +a = 8 then 144 = 72a2(a +a ), so a = a =1leaving a = 7. Substituting, 1 2 3 3 2 3 2 1 a = 8,a =16,and a =144(16+8)=3456. 4 5 7"
svsu_solutions_20,"( D ) Following the steps: (1) Let a= age (2) 2a (3) 2a+5 (4) 50(2a +5) (5) 50(2a +5)−365 (6) 50(2a+5)−365+h, where h= height in inches (7) 50(2a+5)−365+h+115. Solving 50(2a+5)−365+h+115=6364, we have 100a+ h = 6364. Safely assuming that Jim's grandfather is not taller than 100 inches(8ft 4in), we have a = 63 years and h = 64 inches."
svsu_solutions_21,"( B ) Let y = x2 −1, switch xand yto get x = y2 −1. Solving for ywe get y = ± x +1 . The domain of f(x) is (−∞,0], so the range of f −1(x) is the same. So, f −1(x)= − x +1."
