id,problem
svsu_2012_mo_l1sol_01,Which of the following polynomials is a factor of x4+x2y2+y4? (a) x2(x2+y2) (b) x2−xy+y2 (c) x2+y2 (d) The polynomial is prime (or is not factorable) (e) none of the above The answer is: (b)
svsu_2012_mo_l1sol_02,19;320 = (2×69)(14×10). Whichofthefollowingnumbersisafactorof19;321? (a) 141 (b) 137 (c) 139 (d) 19;321 is prime (e) none of the above The answer is: (c)
svsu_2012_mo_l1sol_03,"Supposethat(r ;0)and(r ;0)arethex-interceptsofaparabola. Iftheequation 1 2 oftheparabolahasaleadingcoefficientof1, whatisthey-interceptoftheparabola. (a) (0;r +r ) (b) (0;−r −r ) (c) (0;r r ) (d) (0;−r r ) 1 2 1 2 1 2 1 2 (e) none of the above The answer is: (c)"
svsu_2012_mo_l1sol_04,Daphne starts walking north at a constant rate of 4 mph. Edmund leaves the same point at the same time and walks east at a constant rate of 3 mph. How long will it take for the distance between them to be 1 mile? (a) 5 minutes (b) 12 minutes (c) 1th of an hour 7 (d) 7 minutes (e) none of the above The answer is: (b)
svsu_2012_mo_l1sol_05,5 p is equal to which of the following numbers? 1+ 5 √5 √ √ (a) 5−1 (b) 1+ 5 (c) 1 (d) 1− 5 (e) none of the above The answer is: (d)
svsu_2012_mo_l1sol_06,What are the slopes of the two tangent lines from the origin in the plane to the circle of radius 1/2 centered at (1;1)? √ √ √ √ (a) 1± 2: (b) 1± 2 (c) 4± 7: (d) 2± 2 2 3 (e) none of the above The answer is: (c)
svsu_2012_mo_l1sol_07,"The door to the computer room at a school has a keycode. The combination is a sequence of 5 numbers. A student forgot his code. However, he did remember five clues. These are what those clues were: (a) The fifth number plus the third number equals fourteen. (b) The fourth number is one more than the second number. (c) The first number is one less than twice the second number. (d) The second number plus the third number equals ten. (e) The sum of all five numbers is 30. What is the fifth number? (a) 8 (b) 4 (c) 7 (d) 5 (e) none of the above The answer is: (a)"
svsu_2012_mo_l1sol_08,"Three boxes are presented to you. One contains $1000, the other two are empty. Each box has a clue written on it as to its contents and only one message is telling the truth, the other two are lying. If the first box says, “The money is not here”, the second box says “The money is in the first box” and the third box says, “The money is not here”, which box has the money? (a) the first box (b) the second box (c) the third box (d) more than one box could contain the money (e) none of the boxes The answer is: (c)"
svsu_2012_mo_l1sol_09,In the following “equation” each letter represents a digit (between 0 and 9). Different letters represent different digits and S is not 0. Determine the digit repre- sented by each of the used letters so that the addition is correct. STORE +STORE +STORE TEASE (a) E = 3;O = 5;R = 7;S = 2;T = 8 (b) E = 4;O = 3;R = 7;S = 2;T = 8 (c) E = 0;O = 2;R = 7;S = 1;T = 3 (d) E = 5;O = 3;R = 7;S = 2;T = 8 4 SVSU 2012 Math Olympics Solutions Level I-page 5 of 13 (e) none of the above The answer is: (d)
svsu_2012_mo_l1sol_10,"This is a contradiction. Finally, if T = 5, then E has to be 5, 6 or 7. This is again not possible since different letters represent different digits, which gives a contradiction in the first case, while the last two possibilities are excluded from the alreadydeterminedvaluesofE.ThecaseS = 3leadstoacontradictionaswellsince then T = 9 which leads to a contradiction since 3×T = 3×9 = 27. Consider now the case, S = 2. The possible values of T are 6, 7 or 8. The first two possibilities are excluded by the possible values of E and the value of S. The last choice gives the solution 28375 +28375 28375 85125"
