id,problem
000aaa,Which of these numbers is largest?
001aab,Last year a bicycle cost$160 and a cycling helmet cost$40. This year the cost of the bicycle increased by 5% and the cost of the helmet increased by 10%. The percent increase in the combined cost of the bicycle and the helmet is
002aac,"A vacuum pump removes$\frac{1}{2}$of the air in a container with each stroke. After 5 strokes, the percentage of the original amount of air that remains in the container will be"
003aad,"The ratio of wto x is 4:3, of y to zis 3:2, and of zto x is 1:6. What is the ratio of wto y?"
004aae,Find the difference of and . x+1$x^2$-1 -2
005aaf,The number of real solutions of the equation$|x-2|+|x-3|=1$is
006aag,The sum of the solutions to$x^2$$-x=6$is
007aah,"If$f(x)=1-x^2,$find a constant cso that$=c(2a+h).$h"
008aai,"If$m>0$and the points (m,3) and (1,m) lie on a line with slope m, then$m=$"
009aaj,For how many integers nbetween 1 and 100 does$x^2$+x-n factor into the product of two linear factors with integer coefficients.
010aak,"For the triangle formed by the points A(-3,2),B(5,4), and C(3,-8), write the equation of the line that contains the altitude of the triangle through point C in the form$y=mx+b.$1 1 1"
011aal,A parent is currently 3 times as old as his/her child; and in 10 years he/she will be twice as old as his/her child. How many years older is the parent than the child now.
012aam,The following system of equations has only one solution if kx+$y=1$ $x+ky=1$
013aan,The concentration of a mixture consisting of 10 gallons 20%-acid and 40 gallons 15%-acid is
014aao,What is the average of the two solutions of the arbitrary quadratic equation$ax^2$$+bx+c=0$? b b c b
015aap,"A line passes through (5,-6). Which of the following are possible values of the slope m of the line, if the line never enters the first quadrant? -6 -5 -5 -6"
016aaq,"Bill scores 78 on a test that had 4 problems worth 7 points each and 24 multiple-choice questions worth 3 points each. If he had one of the 7-point problems wrong, how many of the multiple-choice questions did he miss?"
017aar,"In ∆ABC,∠$A=55(cid$:68),∠C$=75(cid$:68),D is on side AB and E is on side BC. If$DB=BE,$then ∠$BED=$B"
018aas,"If ∠Ais four times ∠B, and the complement of ∠Bis four times the complement of ∠A, then ∠$B=$A 55 75 C"
019aat,"If AC ⊥BD, DE$=$2, BE$=$1, and EC$=$1 /2, what is the length of AB?"
020aau,The area of the shaded region formed by the four semicircles in the given unit square is \pi \pi \pi \pi
021aav,In how many ways can 6 people be lined up to get on a bus if 3 specific persons insist on following each other?
022aaw,Assume that girl-boy births are equally probable. The probability that a family with 5 children has at least one girl is
023aax,"An old car has to travel a 2-mile route, 1 mile uphill and 1 mile downhill. Because it is so old, the car can climb the first mile - the ascent - no faster than an average speed of 15 mi/hr. How fast does the car need to travel the second mile - on the descent it can go faster, of course - in order to achieve an average speed of 30 mi/hr for the trip?"
024aay,Let f be the function defined by$f(x)=ax^2$- 2 for some positive
025aaz,"As a promotional campaign a music store gave away CDs. Four people received CDs. The first person got 1/3 of the CDs, the second person got 1/4 of the CDs, the third person got 1/6 of the CDs and the fourth person got 12 CDs. How many CDs did the first person get?"
026aba,Let f be a degree 3 polynomial with leading coefficient 1. Suppose that$x=3$is a double zero of f and that$f(0)=3.$The third zero of f is
027abb,"Four whole numbers, when added three at a time, give the sums 180, 197, 208 and 222. What is the largest of the four numbers?"
028abc,"If$f(x)=1-x^2,$find a constant cso that$=c(2a+h).$h"
029abd,Which of the following equations have the same graph?$x^2$-4 I.$y=x-2$II.$y=$III.$(x+2)y=x^2$-4 x+2
030abe,"A tank has two identical drainage valves. With only one valve open, the full tank can be drained in 4 hours. If we start draining the full tank using both valves until the tank is$\frac{1}{4}$full, then let the rest drain through one valve only, the time it will take to drain the tank is"
031abf,Find the integer aso that tansin-1( 3)+tancos-1( 3)$=$ 2   2  3
032abg,"If$0\lex\le$and$sinx=0.1,$then  sin -cos $=$2  2 2"
033abh,Which of the following trigonometric equations is false for all x. 2 3
034abi,"When$\pi<t$$<$, the value of the expression - in terms of sint equals 2 1-cost 1+cost -2(1-sin 2 t) 2$1-sin^2t$2$1-sin^2t$2(1-sin 2 t)"
035abj,"The equation of the tangent line to the circle$x^2$+$y^2$$=25$at the point(4,3)is"
036abk,How many positive integers less than 50 have an odd number of positive integer divisors?
037abl,A circle is inscribed in a square. A$2\times^4rectangle$shares an upper left corner with the square with its lower right corner on the circle as in the figure. What is the radius of the circle?
038abm,Two circles have the same radius r. Their centers are a distance of r 2 apart. The area of the intersection of the circles is$\pir^2$ \pi \pi $2\pir^2$
039abn,"In the figure, ABCD is a quadrilateral with right angles at A and"
040abo,"If log$2=3$and log$x=-$, then log $8\cdot$ is a 2 2 a a   "
041abp,"If log$2a^11$$=6,$then aequals 4"
042abq,In how many ways can 6 people be lined up to get on a bus if 2 specific persons refuse to follow each other?
043abr,"Nine chairs in a row are to be occupied by six students and Professors Alpha, Beta, and Gamma. These three professors arrive before the six students and decide to choose their chairs so that each professor will be between two students. In how many ways can Professor Alpha, Beta, and Gamma choose their chairs?"
044abs,Find the maximum vertical distance d between the parabola y$=-2x^2$+4x+3 and the line y$=$x-2 throughout the bounded region in the figure. 47 49 50 48
045abt,"Two men stand 200 feet apart with a vertical flagpole in between them. If the angles of elevation of the top of the flagpole are 30E and 45E, how tall is the pole? 200 200 3 200 3 200"
046abu,"At noon, a car and a van are 120 miles apart on a straight road and driving toward each other at a speed of 40 mi/hr. A fly starts from the front bumper of the van at noon and flies to the bumper of the car, then immediately back to the bumper of the van, back to the car, and so on, until the car and the van meet. If the fly flies at a speed of 100 mi/hr, what is the total distance it travels?"
047abv,"An amoeba propagates by simple division; each split into two takes 3 minutes to complete. When such an amoeba is put into a glass container with a nutrient fluid, the container will be full of amoebas in one hour. How long would it take for the container to be filled if we start with not one amoeba, but two?"
048abw,"If A is 15% of C and B is 25% of C, then what percent of B is A?"
049abx,It took Tim 30 minutes to walk from his home to his friend’s house to pick up his bicycle. On the bike Tim is 5 times faster than on foot. How long will it take Tim to ride back home if he chooses a route back that is twice as long as the one he took walking from home?
050aby,The value of is closest to 0.10
051abz,Which of the following is largest
052aca,"In the picture, the triangle (cid:85)ABC is equilateral with side length 2 and the vertex B at the origin of the Cartesian plane. The coordinates of the vertex A are"
053acb,Let A and B be two circles such that the circumference of A is 10% of that of
054acc,An isosceles triangle is inscribed inside a circle of radius 12 so that one of its sides passes through the center. What is the area of the triangle?
055acd,Three circles of the same radius r are stacked as in the figure. The height of the stack in terms of the radius r is
056ace,Let the operation ∗ be defined asa∗b$=b+$. The value of (1∗2)∗4 is a 1 1 1
057acf,"If$b^2$$+7b=120,$then one possible value for$b^2$-4bis"
058acg,Carry out the division and simplify$\div$$x^2$+2x-3$x^2$-x-12$x^2$-4 (x+2)(x-2)2 x-4
059ach,A store advertised 20% off fashion watches. One watch had a sale price of$36.76. What was the regular price?
060aci,An operator assisted telephone call to another state costs$10.15 for 15 minutes. The same call dialed directly costs$0.60 for the first minute and$0.40 for each additional minute. How much money is saved on a 15 minute call by dialing direct?
061acj,How long will it take a carpenter to cut a 4 in by 4 in by 8 ft piece of treated lumber into four equal pieces if each cut takes$2\frac{1}{2}$minutes?
062ack,A health club has an initiation fee plus a monthly membership fee. Amy paid a total of$390 for six months of membership plus the initiation fee. Juan paid a total of$435 for nine months of membership plus the initiation fee. What is the initiation fee?
063acl,"The legs of a picnic table with the table top form an isosceles triangle as indicated in the picture (the parts of the legs being the equal sides). If the measure of the angle ABC is 80°, what is the measure of the angle y?"
064acm,The expression is equivalent to 3$ab^2$3$ab^2$
065acn,What is the smallest prime number that is a factor of the sum of 581 and 329?
066aco,"A pack of rats abandoned a sinking ship and colonized a deserted island. In the first year their population tripled. In the second year it fell 6 short of doubling. In the third year it increased by 24. In each of the next two years it was cut in half, so that after 5 years, the population stood at 15. How many rats were in the original colony?"
067acp,"A legally caught fish needs to be both in season and of size no less than the legal size limit. If two-fifths of the fish in the lake are out of season, and three-fourths of the fish that are in season are under the legal size limit, what fraction of the fish in the lake are legal to catch?"
068acq,Simplify x-2 - y-2 1 xy
069acr,"Circles of radius 4 and 9 are tangent to each other and to a horizontal line. Find the distance d(P,Q) between the two points of tangency with the line"
070acs,The sum of the distinct solutions of the equation (x- )2 -2x+$=-1$is x x
071act,The size of a TV screen is described by the length of its diagonal. The ratio of the height to width is the same for all televisions. How much larger is the area of a 30” screen than the area of 20” screen?
072acu,Which of the following numbers are prime?
073acv,"If log (32)-log (27)$=$log ( ), then x is 2 3 4 5"
074acw,"The rhombus ABCD is made by gluing two equilateral triangles ABD and BCD along their common edge, and is placed so that ABis along the horizontal x-axis. The point E bisects the segment DC. Then the slope of the line AE is 3"
075acx,"In a local election, 3000 votes were cast to elect one of the three candidates A, B, and"
076acy,Simplify$x^2$+x-12 x+3 x+2
077acz,Let$f(x)=$$x^2$+4x+2. Let R be the quadrangle (quadrilateral) in the Cartesian plane whose vertices coincide with the x-intercepts of f and the vertices of the parabolas y$=$f(x) andy$=-f(x).$The area of R is
078ada,"In a class of 60 junior and senior students, 21 are girls, 34 are juniors, and 20 are senior boys. How many juniors are girls?"
079adb,A large water tank has two drain outlets A and
080adc,The figure shows a regular octagon of side 1. The area of the shaded region is 3 3 2
081add,The length of the side of a regular hexagon with area 1$in^2$is 3 3 3 2 3
082ade,"If all the roots (zeros) of the polynomial f(x)$=$$x^5$$+ax^4$$+bx^3$$+cx^2$+dx-420are integers larger than 1, then f(4)equals"
083adf,"In the figure, the two circles both have radius 1 and centers O and P respectively. The line PQ is tangent to the first circle and passes through the center of the second, and the line OQ is perpendicular to the line OP joining the centers. The length of the segment OQ is 3 2"
084adg,"If f( )$=$for all$x\neq^0,1$and$0<\theta<\pi$2 then$f(sec^2\theta)=$x-1 x"
085adh,Suppose that x satisfies the equationsinx$=$. Then cosxequals tanx 3 5-1 5
086adi,The domain for the inverse of the function f(x)$=$x -5 is:
087adj,"A cashier found that he was often asked to give change for a dollar to people who made no purchase but wanted a dime or two nickels for a parking meter. He started thinking one day about the number of ways he could make change using the coins half-dollar, quarter, dime, nickel, and penny. If he gave no more than four of any coin, in how many different ways could he give change for a dollar to people who needed a dime or two nickels for parking?"
088adk,Three cylindrical drums of 2-foot diameters are to be securely fastened in the form of a triangle by a steel band. What length of band will be required?
089adl,"The remaining three parts of the band between two drums equals 2r$=$2, that gives a total of 6. Thus the length of band is 6 + 2\pi."
090adm,A high school runner wants to run a 5-minute mile in his next race. That’s an average of 12 miles per hour. He figures he’ll start out slowly and finish strong. He runs the first half-mile at 10 miles per hour. How fast must he run the last half-mile so that his time for the race is 5 minutes?
091adn,"A pair of digits is produced as follows. The first digit is randomly selected and registered. A second digit is randomly selected and registered if it differed from the first one. Otherwise a fair coin is flipped. If the coin is heads the digit is registered, and if the coin is tails, a digit is randomly selected and registered. What is the probability that the two registered digits are equal?"
092ado,Let y$=mx+b$be the image when the line x-3y$+11=0$is reflected across the x- axis. The value of m + b is
