id,problem
svsu_2014_mo_l2_01,"Define a function f by f(0) = c, f(−101) = −25348 and f(n−1) = f(n)+5n−1 for any integer n ( for example, f(−1) = f(0)−1). The value of c =? (a) 6 (b) 5 (c) 4 (d) 3 (e) 0"
svsu_2014_mo_l2_02,Letf(x;y)bedefinedbyf(x;0) = xandf(x;y+1) = f(f(x;y);y): whichofthefollowing is the largest? (a) f(10;15) (b) f(11;14) (c)f(12;13) (d) f(13;12) (e) f(14;11)
svsu_2014_mo_l2_03,How many integers can be expressed as a sum of three distinct numbers chosen from the set {4;7;10;13;:::;46}? (a) 36 (b) 37 (c) 42 (d) 43 (e) 45
svsu_2014_mo_l2_04,How many solutions does the equation sin(x)sin(2x)sin(3x)···sin(11x)sin(12x) = 0 have in the interval (0;(cid:25)]? (a) 12 (b) 24 (c) 46 (d) 68 (e) none of the above
svsu_2014_mo_l2_05,Six tickets numbered 1 through 6 are placed in a box. Two tickets are randomly selected and removed together. What is the probability that the smaller of the two numbers on the tickets selected is less than or equal to 4? (a) 14 (b) 13 (c) 4 (d) 3 (e) none of the above 15 15 5 5 ∑ ∑
svsu_2014_mo_l2_06,It is known that ∞ 1 = (cid:25)2. What is the value of ∞ 1 ? n=1 n2 6 n=1 (2n−1)2 (a) (cid:25)2 (b) (cid:25)2 (c) (cid:25)2 (d) (cid:25)2 (e) none of the above 36 12 8 7
svsu_2014_mo_l2_07,"If f(x) satisfies 2f(x)+f(1−x) = x2 for all x, then f(x) = (a) x2−3x+1 (b) x2+8x−3 (c) x2+2x−1 (d) 4x2+3x−2 2 9 3 6 (e) none of the above 1 SVSU 2014 Math Olympics Level II-page 2 of 5"
svsu_2014_mo_l2_08,"If Sam and Peter are among 6 men who are seated at random in a row, the probability that exactly 2 men are seated between them is (a) 1/10 (b) 1/8 (c) 1/5 (d) 1/4 (e) none of the above"
svsu_2014_mo_l2_09,"If 1 −tanx = 3, what is value of sinx? cosx (a) −4=5 (b) 4=5 (c) 1 (d) 0 (e) none of the above"
svsu_2014_mo_l2_10,Define f(x) = sin6x+cos6x+k(sin4x+cos4x) for some real number k. Then the value of k for which f(x) is constant for all values of x is (a) 0 (b) 3 (c) −3 (d) 5 (e) 7 2 2 2 2
svsu_2014_mo_l2_11,"The function f(x) satisfies the equation f(x) = f(x−1)+f(x+1) for all values of x. If f(1) = 1 and f(2) = 3, what is the value of f(2014)? (a) 3 (b) 1 (c) −1 (d) −3 (e) none of the above"
svsu_2014_mo_l2_12,"In the diagram, the circle and the square have the same center O and equal areas. The circle has radius 1 and intersects one side of the square at P and Q. What is the length of PQ? √ √ √ √ (a) 4−(cid:25) (b) 1 (c) 2 (d) 2− (cid:25) (e) 4− (cid:25) 2 SVSU 2014 Math Olympics Level II-page 3 of 5"
svsu_2014_mo_l2_13,"In the figure, ABC is a quarter of a circular pizza with center A and radius 20 cm. The piece of pizza is placed on a circular pan with A;B and C touching the circumference of the pan, as shown. What fraction of the pan is covered by the piece of pizza? √ √ (a) 1=4 (b) 1= 2 (c) 1=2 (d) 2 2 (e) none of the above"
svsu_2014_mo_l2_14,"A right triangle ABC is given. Semicircles are constructed with the sides of the triangle as diameters, as shown below. Suppose the area of the largest semicircle is 36 and the area of the smallest one is 16. What is the area of the other one? (a) 20 (b) 24 (c) 25 (d) 26 (e) none of the above"
svsu_2014_mo_l2_15,How many positive integers less than 1000 have only odd digits? (a) 125 (b) 155 (c) 165 (d) 150 (e) none of the above
svsu_2014_mo_l2_16,"The tips of a five-pointed star are to be painted red, white and blue. How many ways can this be done if no adjacent points can be the same color? (a) 30 (b) 10 (c) 40 (d) 45 (e) none of the above 3 SVSU 2014 Math Olympics Level II-page 4 of 5"
svsu_2014_mo_l2_17,"If x > 0, x ̸= 1, a = log (x) and b = log (7), what is log (x)? 2 x 14 (a) ab (b) a+b (c) b−a (d) a=b (e) none of the above"
svsu_2014_mo_l2_18,Suppose that a;b;c; and d are positive integers that satisfy the equations ac+bd = 34 ad+bc = 43 What is the value of a+b+c+d? (a) 19 (b) 18 (c) 17 (d) 16 (e) none of the above
svsu_2014_mo_l2_19,What is the coefficient of x3 in the polynomial (1+x+x2)20? (a) 20 (b) 380 (c) 1520 (d) 2340 (e) none of the above
svsu_2014_mo_l2_20,"Suppose f(x) = ax + b and a and b are real numbers. We define f (x) = f(x) and 1 f (x) = f(f (x)) for all positive integers n. If f (x) = 128x + 381, what is the value of n+1 n 7 a+b? (a) 7 (b) 5 (c) 3 (d) 2 (e) 1"
svsu_2014_mo_l2_21,Let a;b and c be real numbers which satisfy the three equations below. 1 1 1 −1 1 1 a+ = ; b+ = ; c+ = : bc 5 ac 15 ab 3 What is the value of the quotient c−b? c−a (a) −5 (b) −3 (c) 1 (d) 3 (e) 5
svsu_2014_mo_l2_22,Given are two parallel lines of distance 1 apart and a circle of radius 2. The circle is tangent to one of the lines√and cuts the other line. The area of the circular cap between the two parallel lines is a(cid:25) −b 3. Find the sum a+b of the two integers a and b. 3 (a) 3 (b) 4 (c) 5 (d) 6 (e) 7
svsu_2014_mo_l2_23,The average of three consecutive multiples of 3 is a. The average of four consecutive multiples of 4 is a + 27. The average of the smallest and largest of these seven integers is 42. The value of a is (a) 15 (b) 18 (c) 24 (d) 27 (e) none of the above 4 SVSU 2014 Math Olympics Level II-page 5 of 5
svsu_2014_mo_l2_24,Let AB and CD be two chords of a circle that intersect at a point P. Suppose that AP =√4;PB = 6;CP√= 2;PD = 12 and \AP√C = 90◦. What is the radius of the circle? (a) 4 3 (b) 3 6 (c) 8 (d) 5 2 (e) none of the above √
