id,problem
svsu_solution1_2007_01,"Amiddleschoolhas100lockersnumbered1to100,and100students. Thefirststudentgoesdown therowoflockersandopenseverylocker. Thenthesecondstudentgoesdowntherowoflockersand closeseverylockerthatisnumberedwithamultipleoftwo. Thenthethirdstudentgoesdowntherow oflockers,andforeverylockerthatisnumberedwithamultipleof3,ifitisopen,sheclosesit,butif itisalreadyclosed,sheopensitagain. Thefourthstudentthendoesthesamethingforthelockers numberedwithmultipleof4,andsoon,downtothehundredthstudent. Intheend,howmanylockers arestillopen? (a) 1 (b) allofthelockersthatarenotnumberedwithprimenumbers (c) 10 (d) 15 (e) Noneoftheabove"
svsu_solution1_2007_02,"Whichofthefollowingequationsdescribesthesetofallpointsthatareequidistantfromthepoints P(−1,3)andQ(3,5)? (a) x−2y =−7 (b) (x−1)2+(y−4)2=5 (c) (x+1)2+(x−3)2=5 (d) 2x+y =6 (e) Noneoftheabove"
svsu_solution1_2007_03,Whichofthefollowingexpressionsisafactoredformofthethirddegreepolynomial y functionf(x)whosegraphisgiven? 18 (a) 18(x−1)(x−3)2 (b) −2(x−1)(x−3)2 (c) 18(x−1)2(x−3) (d) −6(x−1)2(x−3) (e) Noneoftheabove 1 2 3 4 x
svsu_solution1_2007_04,Findthelengthofachordthatis5cmfromthecenterofacirclewithradius13cm. (a) 12cm (b) 24cm (c) 13cm (d) Notenoughinformationgiven (e) Noneoftheabove
svsu_solution1_2007_05,Findtheareaofatriangle(insquareunits)boundedbythecoordinateaxesandthelinex+3y−12=0. (a) 12 (b) 18 (c) 24 (d) 48 (e) Noneoftheabove
svsu_solution1_2007_06,"Augustus,Benedict,Claudio,andDianahavebeenaccusedofstealingthegoldenmean. Itisknown thatoneofthesefourpeoplemusthavedoneit. Augustussays“Benedictdidit”. Benedictsays“Diana didit”. Claudiosays“Ididn’tdoit”. Dianasays“BenedictislyingwhenhesaysIdidit”. Ifitisknown thatexactlyoneofthemislying,whichonedidit? (a) Augustus (b) Benedict (c) Claudio (d) Diana (e) Morethanonepersonmustbelying"
svsu_solution1_2007_07,Thefunctionf hasgraph 1 −2 −1 1 2 −1 Whichofthefollowingcouldbethegraphoff(x+1)−1? 1 1 −2 −1 1 2 −2 −1 1 2 (a) (b) −1 −1 1 1 −2 −1 1 2 −2 −1 1 2 (c) (d) −1 −1 (e) Noneoftheabove
svsu_solution1_2007_08,Thesumoftherealsolutionstotheequation (cid:0) x3−1 (cid:1)3 −7 (cid:0) x3−1 (cid:1)2 −4 (cid:0) x3−1 (cid:1) +28=0is √ √ √ (a) 7 (b) 3 7 (c) 2+ 3 3 (d) 1+ 3 3 (e) Noneoftheabove
svsu_solution1_2007_09,5 −1 2 isequalto 4 (a) 2 (b) −√1 (c) 1 (d) 1 (e) Noneoftheabove 5 25 16 (cid:18)5 (cid:19)−1/2 (cid:18)1(cid:19)−1/2
svsu_solution1_2007_10,Youcanpaintyourlivingroomin6hoursandyourfriendwouldtake8hourstodothesamejob. How longwillittakethetwoofyoutopaintthelivingroomifyouworktogether? (a) 21minutes (b) 33 hours (c) 3hoursand24minutes 7 (d) 31 hours (e) Noneoftheabove 2
svsu_solution1_2007_11,"AssumeX,Y andZ representpositiverealnumbers. Theexpression 16X−6Y8 4 isequivalentto 4 Z3 √ 8X 9 2Z ZX4 X Y 3 3 2 8X 9 2Y6 (a) (b) (c) (d) − (e) Noneoftheabove Y6 8Y6 16X8Z 1 9 6 Z"
svsu_solution1_2007_12,10%ofahighschoolseniorclassparticipateinMathOlympics. 95%oftheseniorsthatparticipatein MathOlympicsgetintothecollegeoftheirchoice. Only50%oftheseniorswhodon’tparticipatein MathOlympicsgetintothecollegeoftheirchoice. Whatpercentageofseniorsfromthathighschool getintothecollegeoftheirchoice? (a) 9.5% (b) 54.5% (c) 59.5% (d) 60% (e) Noneoftheabove
svsu_solution1_2007_13,"Howmanytwodigitnumbersaresuchthatwhenthetensdigitandtheonesdigitareinterchanged,the resultingtwodigitnumberis9morethantheoriginaltwodigitnumber? (Notethat0cannotbethe firstdigitofatwodigitnumber.) (a) 0 (b) 1 (c) 8 (d) 9 (e) Noneoftheabove"
svsu_solution1_2007_14,"WhichofthefollowingisanequationofacirclewithdiameterthathasendpointsP(2,5)andQ(6,−3). (a) (x−4)2+(y−1)2=20 (b) (x−4)2+(y−1)2=40 (c) (x−2)2+(y−4)2=20 (d) (x−2)2+(y−4)2=40 (e) Noneoftheabove (cid:16) (cid:17)"
svsu_solution1_2007_15,Rationalizethedenominator: √ √ 2+ 3+ 7 √ √ √ 4 (cid:0) 2− 7 (cid:1) √ √ (a) 4 (b) 2+ 3− 7 (c) − (d) 2 3+4+ 4 21 7 3 7 (e) Noneoftheabove
svsu_solution1_2007_16,"Findthevalue(s)oftheparameterb,ifpossible,suchthatthelinearsystem   x+2y =1 3x+by =3 hasinfinitelymanysolutions. (a) b=−2only (b) b=6only (c) Bothb=−2andb=6 (d) Thereareinfinitelymanysuchchoicesofb (e) Thereisnosuchchoiceofb"
svsu_solution1_2007_17,"Tocolortheinteriorofasquareofsider ft,werequireexactlyonecanofpaint. Wealsoknowweneed exactlyonecanofpainttocolortheinteriorofarighttrianglewhoselegsmeasure(r + 3)ftand4 2 ft. Assuming that the area that can be colored depends only on the amount of paint (and no other factors),whatistheminimalnumberofcansofpaintweneedtobuytopainttheinteriorofa6ftby9 ftrectangle? (a) 6cans (b) 7cans (c) 8cans (d) 9cans (e) Noneoftheabove"
svsu_solution1_2007_18,"Supposethatf(x)=2(f(x+1)+f(x−1))forallx. Iff(2)=2andf(4)=−2,whatisf(7)? (a) −1 (b) 3 (c) 7 (d) −5 (e) Noneoftheabove 2 4 8"
svsu_solution1_2007_19,Theradiusofacircleinscribedinanequilateraltriangleis2 3in. Findtheexactareaofthetriangle. √ √ (a) 12π in2 (b) 36in2 (c) 36 3in2 (d) 18 3in2 (e) Noneoftheabove
svsu_solution1_2007_20,"Thelengthsofthethreesidesofatriangleare13cm,14cmand15cm. Findthelengthofthealtitude tothe14cmside. (a) 5cm (b) 9cm (c) 12cm (d) Notenoughinformationgiven (e) Noneoftheabove C"
svsu_solution1_2007_21,Afarmerneedstoshortenthewidthofabeanfieldby20%tomakeroomforastorageshed. Hewould likethebeanfieldtokeepthesamearea. Bywhatpercentshouldheincreasethelengthofthefield? (a) 15% (b) 20% (c) 24% (d) 25% (e) Noneoftheabove
svsu_solution1_2007_22,"Given: ABkDC,CEkDA D C m∠A=m∠B=48◦ 48◦ 48◦ CF bisects∠DCB Find: m∠FCE A E F B (a) 18◦ (b) 33◦ (c) 42◦ (d) Notenoughinformationgiven (e) Noneoftheabove"
svsu_solution1_2007_23,LetF beafunctionsuchthatF √ 8 √ =x forallx≥0. WhatisF(4)? 1+ x √ √ (a) 9 (b) 8 3 (c) −12+8 3 (d) 9 (e) Noneoftheabove 3 3 16
svsu_solution1_2007_24,"Thesolutiontotheinequality ≥3is x−2 (a) x≤ 5,x≠2 (b) x<2orx≥ 5 (c) 2<x≤ 5 (d) 2≤x≤ 5 2 2 2 2 (e) Noneoftheabove"
svsu_solution1_2007_25,"A right triangle with sides 6, 8 and 10 is inscribed in a circle C . 1 C C Thelegsoftherighttrianglearethediametersofthehalfcircles 2 C thatlieoutsidethetriangleasshown. Findtheareaoftheshaded 3 C 1 region. 8 6 10 (a) 28 A B (b) 28π (c) 24 (d) 24π (e) Noneoftheabove"
