id,problem
svsu_level2_01,Findallsolutionstotheequation: log (x−1)+log (x+7)=2 3 3 (a) −8and2 (b) 2 (c) −2 (d) 1 (e) Noneoftheabove sin80◦
svsu_level2_02,Compute sin20◦+sin40◦ √ 2 (a) 1 (b) 0 (c) (d) sin20◦ (e) Noneoftheabove 2
svsu_level2_03,Thestrangeoperation∗isdefinedtobe: a a∗b:= a+ 1 b whereaandbarerealnumbers. Whichofthefollowingistrue? (a) ∗isassociativebutnotcommutative. (b) ∗iscommutativebutnotassociative. (c) ∗isbothassociativeandcommutative. (d) ∗isneitherassociativenorcommutative. (e) ∗isnotassociativeandiscommutativeonlyifa=1orb=1.
svsu_level2_04,"Letx andx betherootsofthequadraticequationx2+px+q=0. If 1 2 x +2 x = 2 , 1 2x −1 2 whichofthefollowingexpressestherelationbetweenp andq? (a) 2q+p=2 (b) 2q−p=2 (c) −2q+p=2 (d) therelationcannotbedetermined (e) Noneoftheabove"
svsu_level2_05,Simplifythefollowingexpression: 2log (cosθ)+2log (secθ) a a (a) log tan2θ (b) log 2 (c) 1 (d) 0 a a (e) Noneoftheabove SVSU–2008MathOlympics LevelII–Page2of4
svsu_level2_06,Findallsolutionstotheequation: cos(lnx)=0 (a) e π 2 +nπ (b) 2nπ (c) π +nπ (d) e2nπ (e) Noneoftheabove 2
svsu_level2_07,Simplifythefollowingexpression: log b·log c·log d·log a a b c d log b (a) a (b) log d (c) 1 (d) 0 (e) Noneoftheabove log d a c
svsu_level2_08,Which of the following express the circumference of a A circleinscribedinasectorOAB withradiusR andAB= 2a? Q a Ra (a) 2π r R+a O P M N 2πR2 (b) (c) 2π(R−a)2 9 a R R (d) 2π (e) Noneoftheabove R−a B
svsu_level2_09,"MaryandJohnwrote100numberseach. Mary’ssequencestartswith5,8,11,14,...,John’ssequence startswith3,7,11,15,.... Howmanycommonnumbersarethereinbothsequences? (a) 20 (b) 21 (c) 25 (d) 30 (e) Noneoftheabove"
svsu_level2_10,"The legs of a right triangle (cid:52)ABC are a and b (∠C = 90◦, BC = a and AC =b). ThepointsM,N andO arethecentersofthesquaresof(cid:52)ABC M withsidesBC,AC andAB,respectively. Findtheareaof(cid:52)MNO. C N b a (a) 1(a+b)2 4 A B a2+b2 √ √ (b) (c) 2 a2+b2 a2−b2 4 O a2+b2 (d) (e) Noneoftheabove 2"
svsu_level2_11,Findthenumberofsolutionsofthesystem  3x2−2xy+y2=36 5x2−4xy+y2=20 (a) None (b) One (c) Two (d) Four (e) Five
svsu_level2_12,Howmanyinteger solutionsdoestheequation(x+2)(x−4)(x+6)(x−8)=225have? (a) None (b) One (c) Two (d) Three (e) Four SVSU–2008MathOlympics LevelII–Page3of4
svsu_level2_13,"ThelegsAC andBC ofarighttriangle(cid:52)ABC (∠C =90◦)are4and3units,respectively. ThepointP is choseninside(cid:52)ABC sothatAP +BC =BP +CA=CP +AB. FindthedistancefromP toB. (a) 52 (b) 75 (c) 29 (d) 2 (e) Noneoftheabove 23 23 23"
svsu_level2_14,Eachedgeofacubeisincreasedby50%. Whatisthepercentincreaseinthesurfaceareaofthecube? (a) 50% (b) 125% (c) 150% (d) 300% (e) Noneoftheabove
svsu_level2_15,Iff(x)=x3+1andc isapositivenumbersuchthatf(c+2)=f(c)+f(2)thenc equals: (cid:115) (cid:115) (cid:115) 30 7 (cid:112) 7 (a) +1 (b) +1 (c) 10−1 (d) −1 (e) Noneoftheabove 3 6 6
svsu_level2_16,log (cid:0) log (cid:0) log 2n(cid:1)(cid:1) =2. Findn. 2 3 4 27 481 (a) (b) (c) 162 (d) 24 (e) Noneoftheabove log 2 2 4
svsu_level2_17,Asquareandanequilateraltrianglebothhaveperimeterof7cm. Howmuchbiggeristheareaofthe squarethantheareaofthetriangle? (cid:32) √ (cid:33) (cid:32) √ (cid:33) 49 1 3 49 49 49 1 3 (a) − cm2 (b) − cm2 (c) − cm2 2 8 9 16 36 4 4 9 49 49 (d) − cm2 (e) Noneoftheabove 16 18
svsu_level2_18,"Theoperationsofadditionandmultiplicationsofsetsandsetsandsetsandnumbersaredefinedin thefollowingway: ifAandB aresetsofnumbersandc isanumber, (cid:8) (cid:9) A+B= x+y|x∈Aandy ∈B (cid:8) (cid:9) A·B= x·y|x∈Aandy ∈B A+c={x+c|x∈A} c·A={c·x|x∈A} LetE={0,±2,±4,...}bethesetofallevenintegers. Whichofthefollowingstatementsisfalse? (a) E+1=E+(−1) (b) E+E=2·E (c) E=−1·E (d) Morethanoneofthemarefalse (e) Noneofthestatementsisfalse"
svsu_level2_19,"Howmanytriangleswithpositiveareaaretherewhoseverticesarepointsinthexy-planewithinteger coordinates(x,y)satisfying1≤x≤4and1≤y ≤4? (a) 496 (b) 500 (c) 512 (d) 516 (e) 560 SVSU–2008MathOlympics LevelII–Page4of4"
svsu_level2_20,Twocopiesoftheparabolawithequationy =x2 aremodifiedinthefollowingways: • Thefirstcopyisscaledintheverticaldirectionbyafactorof2. • Thesecondcopyisscaledinthehorizontaldirectionbyapositivefactork. Theresultinggraphsareexactlythesame. Findk. √ √ (a) k=2 (b) k= 2 (c) k= 1 (d) k= 2 (e) Noneoftheabove 2 2
svsu_level2_21,"Supposenandbarepositivenumbers. Iflog n=2andlog 2b=2,whatisb? b n √ √ √ (a) 1 (b) 2 (c) 3 4 (d) 3 2 (e) Noneoftheabove"
svsu_level2_22,Whichofthefollowingisnotequaltosec2θcsc2θ? (a) sec2θ+csc2θ tan2θ+1 (b) 1−cos2θ (c) (tanθ+cotθ)2 1 1 (d) + sec2θ csc2θ (e) Morethanoneofthemarenotequaltosec2θcsc2θ
svsu_level2_23,Whatis(1+i)13? √ √ (a) −64−64i (b) −8192i (c) 64 2+64 2i (d) −12−12i (e) Noneoftheabove
svsu_level2_24,"JuniorsandSeniorsfromfourschoolsaregoingtoaStatecompetition. Thereare40studentsfrom AthertonHighSchool,25fromBaysideHigh,20fromClairemontHighSchooland15fromDevonshire High School. 16 of the students from Atherton, 5 of the students from Bayside, 15 of the students fromClairemont, and9fromDevonshire, areJuniors. IfaSeniorisselectedatrandom, whatisthe probabliltythatheorsheisfromClairemont? (a) .05 (b) .25 (c) 1 (d) 1 (e) Noneoftheabove 11 3"
svsu_level2_25,"Supposef(x)=f (cid:16) 1 (cid:17) ,forallx≠0,andthatf(a)+f(b)−f(a+b)= 2(a3−b3) forallaandbsuch x ab(a2−b2) thata2≠b2. Supposealsothatf(2)=5. Whatisf(2.5)? (a) 4.2 (b) 5.8 (c) 7.9 (d) 1 (e) Noneoftheabove"
