id,problem
svsu_level_i_04_01,"If A is 15% of C and B is 25% of C, then what percent of B is A? a) 75 b) 120 c) 60 d) 175 e) None of the above"
svsu_level_i_04_02,It took Tim 30 minutes to walk from his home to his friend’s house to pick up his bicycle. On the bike Tim is 5 times faster than on foot. How long will it take Tim to ride back home if he chooses a route back that is twice as long as the one he took walking from home? a) 18 min b) 12 min c) 6 min d) 15 min e) None of the above 99×101
svsu_level_i_04_03,"The value of is closest to 0.10 a) 100 b) 1,000 c) 10,000 d) 100,000 e) 1,000,000"
svsu_level_i_04_04,Which of the following is largest a) 440 b) 826 c) 276 42 16 4 +16(32) d) 1618×24 e) 64
svsu_level_i_04_05,"In the picture, the triangle (cid:85)ABC is equilateral with side length 2 and the vertex B at the origin of the Cartesian plane. The coordinates of the vertex A are a) (2, 3) b) (1, 3) c) (2, 3/2) d) (1,2) e) None of the above SVSU – 2004 Math Olympics Level I – Page 2"
svsu_level_i_04_06,"Let A and B be two circles such that the circumference of A is 10% of that of B. If the area of A is 5, what is the area of B? a) 50 b) 50π c) 50π2 d) 500π2 e) None of the above"
svsu_level_i_04_07,An isosceles triangle is inscribed inside a circle of radius 12 so that one of its sides passes through the center. What is the area of the triangle? a) 18 b) 36 c) 72 d) 144 e) 288
svsu_level_i_04_08,Three circles of the same radius r are stacked as in the figure. The height of the stack in terms of the radius r is a) 2r b) 3r c) 3r d) (2+ 3)r e) 2 3r 1
svsu_level_i_04_09,Let the operation ∗ be defined asa∗b =b+ . The value of (1∗2)∗4 is a 1 1 1 a) 3 b) 2 c) 4 4 4 3 3 d) 1 e) None of the above 4
svsu_level_i_04_10,"If b2 +7b=120, then one possible value for b2 −4bis a) 125 b) 165 c) 15 d) 8 e) 32 SVSU – 2004 Math Olympics Level I – Page 3 x2 −4 x2 −6x+8"
svsu_level_i_04_11,Carry out the division and simplify ÷ x2 +2x−3 x2 −x−12 x2 −4 (x+2)(x−2)2 x−4 a) b) c) x2 +2x−3 (x−1)(x+3)2 x−1 x+ 2 d) e) None of the above x−1
svsu_level_i_04_12,A store advertised 20% off fashion watches. One watch had a sale price of $ 36.76. What was the regular price? a) $44.11 b) $29.95 c) $45.95 d) $67.17 e) None of the above
svsu_level_i_04_13,An operator assisted telephone call to another state costs $10.15 for 15 minutes. The same call dialed directly costs $0.60 for the first minute and $0.40 for each additional minute. How much money is saved on a 15 minute call by dialing direct? a) $1.15 b) $2.55 c) $3.95 d) $4.55 e) None of the above
svsu_level_i_04_14,How long will it take a carpenter to cut a 4 in by 4 in by 8 ft piece of treated lumber into four equal pieces if each cut takes 2½ minutes? a) 5 min b) 7.5 min c) 10 min d) 12.5 min e) None of the above
svsu_level_i_04_15,A health club has an initiation fee plus a monthly membership fee. Amy paid a total of $390 for six months of membership plus the initiation fee. Juan paid a total of $435 for nine months of membership plus the initiation fee. What is the initiation fee? a) $15 b) $30 c) $250 d) $300 e) None of the above SVSU – 2004 Math Olympics Level I – Page 4
svsu_level_i_04_16,"The legs of a picnic table with the table top form an isosceles triangle as indicated in the picture (the parts of the legs being the equal sides). If the measure of the angle ABC is 80°, what is the measure of the angle y? a) 50° b) 130° c) 150° d) 100° e) None of the above a"
svsu_level_i_04_17,The expression is equivalent to 3 ab2 3 ab2 a) b) 3 ab c) a3 ab2 b 3 a2b d) e) None of the above b
svsu_level_i_04_18,What is the smallest prime number that is a factor of the sum of 581 and 329? a) 3 b) 5 c) 15 d) 2 e) None of the above
svsu_level_i_04_19,"A pack of rats abandoned a sinking ship and colonized a deserted island. In the first year their population tripled. In the second year it fell 6 short of doubling. In the third year it increased by 24. In each of the next two years it was cut in half, so that after 5 years, the population stood at 15. How many rats were in the original colony? a) 4 b) 7 c) 8 d) 27 e) None of the above"
svsu_level_i_04_20,"A legally caught fish needs to be both in season and of size no less than the legal size limit. If two-fifths of the fish in the lake are out of season, and three-fourths of the fish that are in season are under the legal size limit, what fraction of the fish in the lake are legal to catch? a) 9/20 b) 3/10 c) 1/5 d) 3/20 e) None of the above SVSU – 2004 Math Olympics Level I – Page 5 x− y"
svsu_level_i_04_21,Simplify x−2 − y−2 1 xy a) b) c) x + y x+ y x+ y d) x3 – y3 e) None of the above
svsu_level_i_04_22,"Circles of radius 4 and 9 are tangent to each other and to a horizontal line. Find the distance d(P,Q) between the two points of tangency with the line a) 6 b) 56 c) 12 d) 9 2 e) 13 2 4"
svsu_level_i_04_23,The sum of the distinct solutions of the equation (x− )2 −2x+ =−1 is x x a) 1 b) -1 c) -3 d) 3 e) None of the above
svsu_level_i_04_24,The size of a TV screen is described by the length of its diagonal. The ratio of the height to width is the same for all televisions. How much larger is the area of a 30” screen than the area of 20” screen? a) The areas are the same b) The ratio of the areas is 3:2 c) The ratio of the areas is 2:1 d) The ratio of the areas is 4:1 e) The ratio of the areas is 9:4
svsu_level_i_04_25,Which of the following numbers are prime? a) 417 b) 847 c) 419 d) 143 e) 847 and 419 are both prime
