id,problem
svsu_2012_m_o_l1_01,Which of the following polynomials is a factor of x4+x2y2+y4? (a) x2(x2+y2) (b) x2−xy+y2 (c) x2+y2 (d) The polynomial is prime (or is not factorable) (e) none of the above
svsu_2012_m_o_l1_02,19;320 = (2×69)(14×10). Whichofthefollowingnumbersisafactorof19;321? (a) 141 (b) 137 (c) 139 (d) 19;321 is prime (e) none of the above
svsu_2012_m_o_l1_03,"Supposethat(r ;0)and(r ;0)arethex-interceptsofaparabola. Iftheequation 1 2 oftheparabolahasaleadingcoefficientof1, whatisthey-interceptoftheparabola. (a) (0;r +r ) (b) (0;−r −r ) (c) (0;r r ) (d) (0;−r r ) 1 2 1 2 1 2 1 2 (e) none of the above"
svsu_2012_m_o_l1_04,Daphne starts walking north at a constant rate of 4 mph. Edmund leaves the same point at the same time and walks east at a constant rate of 3 mph. How long will it take for the distance between them to be 1 mile? (a) 5 minutes (b) 12 minutes (c) 1th of an hour 7 (d) 7 minutes (e) none of the above 1−1
svsu_2012_m_o_l1_05,5 p is equal to which of the following numbers? 1+ 5 √5 √ √ (a) 5−1 (b) 1+ 5 (c) 1 (d) 1− 5 (e) none of the above
svsu_2012_m_o_l1_06,What are the slopes of the two tangent lines from the origin in the plane to the circle of radius 1/2 centered at (1;1)? √ √ √ √ (a) 1± 2: (b) 1± 2 (c) 4± 7: (d) 2± 2 2 3 (e) none of the above 1 SVSU 2012 Math Olympics Level I-page 2 of 5
svsu_2012_m_o_l1_07,"The door to the computer room at a school has a keycode. The combination is a sequence of 5 numbers. A student forgot his code. However, he did remember five clues. These are what those clues were: (a) The fifth number plus the third number equals fourteen. (b) The fourth number is one more than the second number. (c) The first number is one less than twice the second number. (d) The second number plus the third number equals ten. (e) The sum of all five numbers is 30. What is the fifth number? (a) 8 (b) 4 (c) 7 (d) 5 (e) none of the above"
svsu_2012_m_o_l1_08,"Three boxes are presented to you. One contains $1000, the other two are empty. Each box has a clue written on it as to its contents and only one message is telling the truth, the other two are lying. If the first box says, “The money is not here”, the second box says “The money is in the first box” and the third box says, “The money is not here”, which box has the money? (a) the first box (b) the second box (c) the third box (d) more than one box could contain the money (e) none of the boxes"
svsu_2012_m_o_l1_09,In the following “equation” each letter represents a digit (between 0 and 9). Different letters represent different digits and S is not 0. Determine the digit repre- sented by each of the used letters so that the addition is correct. STORE +STORE +STORE TEASE (a) E = 3;O = 5;R = 7;S = 2;T = 8 (b) E = 4;O = 3;R = 7;S = 2;T = 8 (c) E = 0;O = 2;R = 7;S = 1;T = 3 (d) E = 5;O = 3;R = 7;S = 2;T = 8 (e) none of the above
svsu_2012_m_o_l1_10,"Suppose you have 30 coins which are nickels, dimes, or quarters. The total amount of money is $4.15. One day you find a magic wand that has the ability to change nickels into dimes and dimes into quarters. After you wave the wand over the money, you find you have $6.00. How many dimes did you have originally? (a) 8 (b) 9 (c) 7 (d) 10 (e) none of the above 2 SVSU 2012 Math Olympics Level I-page 3 of 5"
svsu_2012_m_o_l1_11,"You purchase 6 new tires for your four wheel car. Each tire is designed to provide a maximum of 40,000 miles of use. Assume you can rotate tires on and off the vehicle at any time. What is the maximum mileage you could get from these tires? (a) 40,000 miles (b) 50,000 miles (c) 60,000 miles (d) 80,000 miles (e) none of the above"
svsu_2012_m_o_l1_12,"The faces of a solid figure are all triangles. The figure has 11 vertices. At each of six vertices, four faces meet and at each of the other five vertices, six faces meet. How many faces does the figure have? (a) 20 (b) 17 (c) 16 (d) 19 (e) none of the above"
svsu_2012_m_o_l1_13,"It takes a horse and a goat two hours to eat 20 pounds of hay. If it takes the horse three more hours than the goat to eat 20 pounds of hay, how long does it take the horse to eat the 20 pounds of hay? (a) 5 hours (b) 6 hours (c) 1 hour (d) 4 hours and 20 minutes (e) none of the above"
