id,problem
svsu_2013_mo_l1sol_01,1 + 1 =? 9 16 (a) 7 (b) 1 (c) 2 (d) 5 (e) none of the above 12 5 7 12 The answer is: (d)
svsu_2013_mo_l1sol_02,"Suppose the operation ∗ is defined on the set of integers by a∗b = a+2b. Then for every two integers a and b, the value of a∗(b∗a) is the same as (a) (5a)∗b (b) a∗b (c) b∗a (d) b∗(4a) (e) none of the above The answer is: (a)"
svsu_2013_mo_l1sol_03,"Given that the vertex of the parabola y = x2 +8x+k is on the x-axis, what is the value of k ? (a) 4 (b) 24 (c) 16 (d) 0 (e) 8 The answer is: (c)"
svsu_2013_mo_l1sol_04,"John and Nancy live on the same street and often walk towards each other’s home. If they both leave their homes at 8:00 a.m., then they will meet at 8:04 a.m. If Nancy leaves her home at 8:00 a.m. but John does not leave his home until 8:03 a.m., then they will meet at 8:05 a.m. How many minutes does it take for John to 1 SVSU 2013 Math Olympics Solutions Level I-page 2 of 12 walk all the way to Nancy’s home? Assume that each person walks at his or her own constant rate. (a)8minutes (b)9minutes (c)10minutes (d)11minutes (e) none of the above The answer is: (e)"
svsu_2013_mo_l1sol_05,Which of these numbers is the largest? √√ √ √ √ √ √ √ √ √ (a) 3 5·6 (b) 6 3 5 (c) 5 3 6 (d) 3 5 6 (e) 3 6 5 The answer is: (b)
svsu_2013_mo_l1sol_06,The graph of the equation x2−xy+x−y = 0 is (a) a parabola (b) a point (c) an ellipse (d) a line (e) a pair of intersecting lines The answer is: (e)
svsu_2013_mo_l1sol_07,"In a class of 100 students, there are 50 who play soccer, 45 who play basketball, and50whoplayvolleyball. Only15ofthesestudentsplayallthreesports. Everyone 2 SVSU 2013 Math Olympics Solutions Level I-page 3 of 12 plays at least one of these sports. How many of the students play exactly two of these sports? (a) 20 (b) 35 (c) 25 (d) 15 (e) none of the above The answer is: (d)"
svsu_2013_mo_l1sol_08,Whatisthesmallestnumberofseatsinalargeauditoriumthatmustbeoccupied in order to be certain that at least two people share the same first and last initials? (a) 675 (b) 677 (c) 51 (d) 53 (e) none of the above The answer is: (b)
svsu_2013_mo_l1sol_09,The number of real solutions of the equation | x−2 | + | x−3 |= 1 is (a) 0 (b) 1 (c) 2 (d) 3 (e) none of the above The answer is: (e)
svsu_2013_mo_l1sol_10,Suppose that only eight tiles are left in the scrabble bag and the letters on the tiles spell CALCULUS. How many ways (if the order of choosing doesn’t matter) can you choose two tiles? (a) 23 (b) 13 (c) 20 (d) 10 (e) none of the above The answer is: (b)
