id,problem
svsu_2011_m_olymp_level_2_sol_01,log = log +log +log +:::+log =? i−1 2−1 3−1 4−1 n−1 i=2 ( ) (a) log n(n+1) (b) log(n+1) (c) log(n+1)+logn−log2−1 2 (d) logn(n+1) (e) none of the above log2 The answer is: (a)
svsu_2011_m_olymp_level_2_sol_02,"Find an integer m in terms of n such that = − : k(k +1)(k +2) 4 m k=1 (a) m = 2n(n+1)(n+2) (b) m = (n−1)n(n+2) (c) m = 2(n+1)(n+2) (d) m = n(n+1)(n+2) (e) none of the above The answer is: (c) 1 SVSU 2011 Math Olympics Solution Level II-page 2 of 12 Solution 1: We can (cid:12)nd numbers A, B, and C such that 1 A B C = + + ; k(k +1)(k +2) k k +1 k +2 in this case A = C = 1=2, B = −1. Therefore, ( ) ∑n ∑n 1 1 1 2 1 = − + k(k +1)(k +2) 2 k k +1 k +2 k=1 k=1 By expanding the sum as in problem 1., the central negative terms cancelled out one term on the left and another on the right, except the edges where one of them is missing. This is another example of a double telescopic sum as in problem 1. Cancelling everything there is to be cancelled, we are left with, [ ] [ ] ∑n 1 1 1 1 1 1 1 1 1 1 = 1− − + = − = − : k(k +1)(k +2) 2 2 n+1 n+2 2 2 (n+1)(n+2) 4 2(n+1)(n+2) k=1 We conclude that m = 2(n+1)(n+2). Solution 2: A clever solution is to use telescopic sum of the simplest type, i.e., ∑n (a −a ) = (a −a )+(a −a )+:::+(a −a )+(a −a ) = a −a k k+1 1 2 2 3 n−1 n n n+1 1 n+1 k=1 Now if we use a partial fraction decomposition into two terms, 1 1=2 1=2 = − : k(k +1)(k +2) k(k +1) (k +1)(k +2) Thus our sum S is a telescopic sum with term a = 1 , k 2k(k+1) ( ) ∑n 1 1 1 1 S = − = − : 2k(k +1) 2(k +1)(k +2) 4 2(n+1)(n+2) k=1 So m = 2(n+1)(n+2)."
svsu_2011_m_olymp_level_2_sol_03,Let p(x) = 12x+115. Find the smallest integer n ≥ 1 so that p(n) is not a prime number. (a) 5 (b) 3 (c) 10 (d) 11 (e) none of the above The answer is: (a)
svsu_2011_m_olymp_level_2_sol_04,"If sin((cid:11)+(cid:12)) = 1 and sin((cid:11)−(cid:12)) = 1, for 0 < (cid:11);(cid:12) < (cid:25), what is tan((cid:11)+2(cid:12))? √ 2 2 √ (a) − 3 (b) unde(cid:12)ned (c) √1 (d) 3 (e) none of the above 3 The answer is: (a)"
svsu_2011_m_olymp_level_2_sol_05,Let a and b be real numbers satisfying the equations a+b = 1; (a2 +b2)(a3 +b3) = 26: What is a2 +b2? (a) 26 (b) 4 (c) 13 (d) 5 (e) none of the above 3 3 2 The answer is: (c)
svsu_2011_m_olymp_level_2_sol_06,For how many integers n in the set {1;2;:::;2011} is n4 −n3 a cube? (a) 25 (b) 13 (c) 15 (d) 30 (e) none of the above The answer is: (b)
svsu_2011_m_olymp_level_2_sol_07,"Joey has a slushy stand. He has found that if he charges $1.25 per slushy he can sell 150 slushies per day. For each 2 cents raise in price per slushy, he sells 1 less slushy per day. It costs him 25 cents to make a slushy. What price will maximize his pro(cid:12)t? (a) $1.00 (b) $6.25 (c) $1.06 (d) $6.38 (e) none of the above The answer is: (e)"
svsu_2011_m_olymp_level_2_sol_08,"Ananagramofawordisanotherword(notnecessarilybelongingtotheEnglishlanguage) made up of the same letters. So the word \mom"" has three anagrams, namely \mmo"", \mom"", and \omm"". How many anagrams are there of \Mississippi""? (a) 11! (b) 11! (c) 11! (d) 11! (e) none of the above 16 1152 24 The answer is: (c)"
svsu_2011_m_olymp_level_2_sol_09,"If (cid:18) is an angle in the (cid:12)rst quadrant, and 3cos(cid:18) − 4sin(cid:18) = 2, what is the value of 3sin(cid:18)+4cos(cid:18)? √ √ (a) 2 (b) 21 (c) 5 (d) −2 (e) none of the above The answer is: (b)"
svsu_2011_m_olymp_level_2_sol_10,Which of the following is a solution to the equation 8cos2(cid:18)−8cos(cid:18)+1 = 0? ( ) (a) (cid:25) (b) cos−1 √1 (c) (cid:25) (d) (cid:25) (e) none of the above 4 2 2 3 8 The answer is: (e)
svsu_2011_m_olymp_level_2_sol_11,An integer-valued point in the xy-plane is a point (a;b) where both a and b are integers. How many integer-valued points are on or inside a circle of radius 4 centered at the origin? (a) 50 (b) 21 (c) 49 (d) 7 (e) none of the above The answer is: (c)
svsu_2011_m_olymp_level_2_sol_12,"Suppose E is the foot of the perpendicular from C to diagonal BD in rectangle ABCD. If the lengths of perpendiculars from E to AD and AB are a and b, respectively, express the length d of diagonal BD in terms of a and b. (a) d = (a2=3 +b2=3)3=2 (b) d = b=a (c) d = a=b (d) d = (a2 +b2)2=3 (e) none of the above The answer is: (a)"
svsu_2011_m_olymp_level_2_sol_13,"Semicircles are drawn on two sides of a rectangle ABCD in which the longer side AB is twice the length of the shorter side AD, as shown. QAP is a line segment with segment QA of length 5cm and segment AP with length 24cm. What is the length of the shorter side? (a) √5 (b) 13 (c) 12 (d) √2 (e) none of the above 2 2 The answer is: (b)"
svsu_2011_m_olymp_level_2_sol_14,"If ABCD is a square with side AB of length 1cm and the segments AA ,A B , C D , 1 1 1 1 1 and D D all have length 1cm, what is the area of the quadrilateral EFGH? 1 4 See the (cid:12)gure for the location of the points. (a) 1 (b) 1 (c) 1 (d) 1 (e) none of the above 12 48 96 8 The answer is: (b)"
svsu_2011_m_olymp_level_2_sol_15,"A writes a letter to B and does not receive an answer. Assuming that in general one letter in n is lost in the mail, where n is some (cid:12)xed integer. Find the probability that B received the letter. It is to be assumed that B would have answered the letter if he had received it. (a) n−1 (b) n−1+n−1 (c) n−1 (d) n−1 (e) none of the above n n2 n n2 2n−1 The answer is: (d) 7 SVSU 2011 Math Olympics Solution Level II-page 8 of 12"
svsu_2011_m_olymp_level_2_sol_16,"In the game show \Let’s Make a Deal"", a contestant is presented with 3 doors. There is a prize behind one of the doors, and the host of the show knows which one. When the contestant makes a choice of door, at least one of the other doors will not have a prize, and the host will open a door (one not chosen by the contestant) with no prize. The contestant is given the option to change his choice after the host shows the door without a prize. If the contestant switches doors, what is the probability that he gets the door with the prize? (a) 1 (b) 1 (c) 2 (d) 1 (e) none of the above 3 6 3 2 The answer is: (c)"
svsu_2011_m_olymp_level_2_sol_17,"Suppose f(x) = ax+b. If f(f(f(x))) = 125x+155, what is a+b? (a) 5 (b) 13 (c) 17 (d) 10 (e) none of the above The answer is: (d)"
svsu_2011_m_olymp_level_2_sol_18,"Consider a right triangle ⊥ △ABC with a and b being the perpendicular legs and c the hypotenuse. If the triangle ABC is inscribed in a circle with radius r, (cid:12)nd a2 +b2 +c2. (a) 4r2 (b) 8r2 (c) 16r2 (d) 32r2 (e) none of the above The answer is: (b)"
svsu_2011_m_olymp_level_2_sol_19,"Which of the following equations have the same graph? x2 −16 I: y = x+4 II: (x−4)y = x2 −16 III: y = x−4 (a) I and II only (b) I and III only (c) II and III only (d) I, II, and III (e) none of the above The answer is: (e)"
svsu_2011_m_olymp_level_2_sol_20,"If f(2x) = 4 , then 2f(x) =? 4+x (a) 8 (b) 4 (c) 4 (d) 16 (e) none of the above 4+x 2+x 4+x 8+x The answer is: (d)"
svsu_2011_m_olymp_level_2_sol_21,"If f( x ) = 1 for all x ̸= 0;1, then f(tan2(cid:18)) =? 1−x x (a) 1 (b) tan2(cid:18) (c) sec2(cid:18) (d) csc2(cid:18) (e) none of the above tan2(cid:18) The answer is: (d) 9 SVSU 2011 Math Olympics Solution Level II-page 10 of 12 Solution 1: Let f( x ) = 1 for all x ̸= 0;1. Set x = tan2(cid:18). Then solving for x gives 1−x x 1−x tan2(cid:18) tan2(cid:18) sin2(cid:18) cos2 x = = = · = sin2(cid:18): 1+tan2(cid:18) sec2(cid:18) cos2(cid:18) 1 So f(tan2(cid:18)) = 1 = csc2(cid:18). sin2(cid:18) Solution 2: Let f( x ) = 1 for all x ̸= 0;1. Set a = x . Solving for x gives x = a . So 1−x x 1−x 1+a then f(a) = 1 = 1+a. Thus, a a 1+a 1+tan2(cid:18) sec2(cid:18) f(tan2(cid:18)) = = = csc2(cid:18): tan2(cid:18) tan2(cid:18)"
svsu_2011_m_olymp_level_2_sol_22,"Find the distance between two nonintersecting diagonals on two adjacent sides of a cube with side a. √ (a) 0 (b) a (c) √a (d) a 2 (e) none of the above 3 The answer is: (c) Solution 1: Let AB and BC be the two nonintersecting adjacent diagonals (see (cid:12)gure). AB is 1 1 1 parallel to DC , so AB is parallel to plane DBC . Let h be the orthogonal projection of B 1 1 1 1 onto plane DBC . Then h is the distance between the two diagonals AB and BC . Note 1 1 1 that h is the height of the pyramid DBCB with volume that can be written in two ways 1 √ √ 1 1 3 V = h·A = h· a2 (DB = BC = DC = a 2) DBC 1 1 3 3 2 1 1 1 V = DC ·A = a· a2 3 BB1C1 3 2 √ Thus 1h· 3a2 = 1a· 1a2, i.e., h = √a . 3 2 3 2 3 Solution 2: One can consider the three dimensional coordinate space with origin A(0;0;0) and axes AB, AD and AA . Since the distance between the two diagonals AB and BC 1 1 1 is the distance from B to plane BDC , it is enough to (cid:12)nd and equation of plane BDC 1 1 1 10 SVSU 2011 Math Olympics Solution Level II-page 11 of 12 using coordinates B(a;0;0), D(0;a;0), and C (a;a;a). A point M(x;y;z) is on the plane −−→ −−→ −−→ 1 −−→ −−→ BDC if and only if BM · (BD × BC ) = 0. Since BD × BC = (a2;a2;−a2), we have 1 1 1 a2(x−a)+a2y−a2z = 0. Thus the equation of the plane BDC is x+y−z−a = 0. Hence 1 the distance h from B = (a;0;a) to plane BDC is 1 1 |1·a+1·0+(−1)·a−a| |a−a−a| a h = √ = √ = √ : 12 +12 +(−1)2 3 3 Note: the distance d from a point P(x ;y ;z ) to a plane with equation ax+by+cz+d = 0 0 0 0 is given by the formula |ax +by +cz +d| d = 0√ 0 0 : a2 +b2 +c2"
svsu_2011_m_olymp_level_2_sol_23,"Find all positive integers n such that 1 < n < 1000 with the following property: the remainder when n is divided by 4 is 1, the remainder when n is divided by 7 is 1, the remainder when n is divided by 25 is 1. (a) n = 337 (b) n = 700 (c) n = 64 (d) n = 701 (e) none of the above The answer is: (d)"
svsu_2011_m_olymp_level_2_sol_24,"Observe that 4 can be expressed as the sum of natural numbers in 8 ways, taking into account the order of the terms: 4;3+1;1+3;2+2;2+1+1;1+2+1;1+1+2;1+1+1+1 How many such expressions are there for 2011? (a) 2 × 2011 (b) 22011 (c) 22010 (d) 4020 (e) none of the above The answer is: (c) 11 SVSU 2011 Math Olympics Solution Level II-page 12 of 12 Solution 1. A very short solution of this problem is the following: Consider that n balls are arranged in line. Here are 4 balls (◦): ◦◦◦◦ In each of the spaces between two balls, you may insert a divider. For example, ◦ | ◦◦ | ◦ represents 1+2+1. It is clear that you can obtain any decomposition of 4 this way, and given any decomposition, you get one of these representations. Now with n balls, there are n−1 spaces and for each of these spaces, you have the option of whether to insert a divider or not. So all together, you have 2n−1 variations. Solution 2. One can also argue by induction. The case n = 1 gives only 1=20 possibility, n = 2 gives 2 = 21 possibilities, n = 3 gives 4 = 22 possibilities, and the illustration of the problem 4 gives 8 = 23 possibilities. We can then conjecture that S(n) = 2n−1. For n+1, if we write n+1 = (n−k)+k +1 for k = 0;:::n+1, it is enough that we know for each k the number of decompositions of n − k and adding them together will produce all the possibilities. But then by induction hypothesis we have that the possibilities for n−k are 2n−k−1. So S(n+1) = 1+1+2+22 +:::+2n−2 +2n−1 Now knowing that the geometric sum 1+2+22+:::+2n = 2n−1, we have S(n+1) = 2n as desired."
svsu_2011_m_olymp_level_2_sol_25,What are the last three digits of 52011? (a) 125 (b) 525 (c) 625 (d) 025 (e) none of the above The answer is: (a)
