id,problem
svsu_2003level2_solutionsfinal_01,=   4 a. 2 b. − 2 c.16 d. - 16 e. None of the above 1 1 − 4 1 1 1
svsu_2003level2_solutionsfinal_02,"Let f be the function defined by f(x)=ax2 − 2 for some positive a. If f(f( 2))=− 2, then ais 2 2+ 2 2− 2 a. 2− 2 b. c. d. e. None of the above 2 2 2"
svsu_2003level2_solutionsfinal_03,"As a promotional campaign a music store gave away CDs. Four people received CDs. The first person got 1/3 of the CDs, the second person got 1/4 of the CDs, the third person got 1/6 of the CDs and the fourth person got 12 CDs. How many CDs did the first person get? a. 8 b. 10 c. 14 d. 16 e. None of the above 1 1 1"
svsu_2003level2_solutionsfinal_04,Let f be a degree 3 polynomial with leading coefficient 1. Suppose that x=3 is a double zero of f and that f(0)=3. The third zero of f is a. -2 b. –1 c. – 1/2 d. -1/3 e. None of the above
svsu_2003level2_solutionsfinal_05,"Four whole numbers, when added three at a time, give the sums 180, 197, 208 and 222. What is the largest of the four numbers? a. 77 b. 83 c. 89 d. 95 e. None of the above"
svsu_2003level2_solutionsfinal_06,"If f(x)=1−x2, find a constant cso that =c(2a+h). h a. c = 1 b. c = -1 c. c = 2 d. c = -2 e. None of the above"
svsu_2003level2_solutionsfinal_07,"Which of the following equations have the same graph? x2 −4 I. y=x−2 II. y= III. (x+2)y=x2 −4 x+2 a. I and II only b. I and III only c. II and III only d. I, II, and III e. None. All the equations have different graphs."
svsu_2003level2_solutionsfinal_08,removed.
svsu_2003level2_solutionsfinal_09,"A tank has two identical drainage valves. With only one valve open, the full tank can be drained in 4 hours. If we start draining the full tank using both valves until the tank is ¼ full, then let the rest drain through one valve only, the time it will take to drain the tank is a. 2.25 hours b. 2.5 hours c. 2.75 hours d. 3 hours e. None of the above"
svsu_2003level2_solutionsfinal_10,Find the integer aso that tansin−1( 3)+tancos−1( 3)=  2   2  3 a. 1 b. 2 c. 3 d. 4 e. None of the above
svsu_2003level2_solutionsfinal_11,"If 0≤x≤ and sinx=0.1, then  sin −cos  = 2  2 2 a. 0.1 b. 0.4 c. 0.7 d. 0.9 e. None of the above  x x 2 x x x x x x"
svsu_2003level2_solutionsfinal_12,Which of the following trigonometric equations is false for all x. 2 3 a. sinx= b. tan x = -100 c. secx= d. tan2x+1=sec2 x e. None of the 5 4 above.
svsu_2003level2_solutionsfinal_13,"When π<t < , the value of the expression − in terms of sint equals 2 1−cost 1+cost −2(1−sin 2 t) 2 1−sin2t 2 1−sin2t 2(1−sin 2 t) a. . b. − . c. . d. . sin2t sin2t sin2t sin2t e. None of the above."
svsu_2003level2_solutionsfinal_14,"The equation of the tangent line to the circle x2 + y2 =25 at the point(4,3)is a. 3x+4y=24 b. 3x−4y=0 c. 4x−3y=7 d. 4x+3y=25 e. None of the above"
svsu_2003level2_solutionsfinal_15,How many positive integers less than 50 have an odd number of positive integer divisors? a. 3 b. 5 c. 7 d. 9 e. None of the above
svsu_2003level2_solutionsfinal_16,A circle is inscribed in a square. A 2×4rectangle shares an upper left corner with the square with its lower right corner on the circle as in the figure. What is the radius of the circle? a. 4 b. 8 c. 10 d. 12 e. None of the above
svsu_2003level2_solutionsfinal_17,Two circles have the same radius r. Their centers are a distance of r 2 apart. The area of the intersection of the circles is πr2  π π  2πr2 a. b.  2−  r2 c.  −1  r2 d. e. None of the above 4  2  2  3 2
svsu_2003level2_solutionsfinal_18,"In the figure, ABCD is a quadrilateral with right angles at A and C. Points E and F are on AC, and DE and BF are perpendicular to AC. If AE = 3, DE = 5 and CE = 7, then BF = a. 3.6 b. 4 c. 4.2 d. 4.5 e. None of the above"
svsu_2003level2_solutionsfinal_19,"If log 2=3 and log x=− , then log 8⋅  is a 2 2 a a    a. 6.25 b. 8 c. 8.25 d. 9.25 e. None of the above x 1"
svsu_2003level2_solutionsfinal_20,"If log 2a11 =6, then aequals 4 a. 2 b. 3 c. 2 d. –2 e. None of the above"
svsu_2003level2_solutionsfinal_21,In how many ways can 6 people be lined up to get on a bus if 2 specific persons refuse to follow each other? a. 240 b. 480 c. 600 d. 720 e. None of the above
svsu_2003level2_solutionsfinal_22,"Nine chairs in a row are to be occupied by six students and Professors Alpha, Beta, and Gamma. These three professors arrive before the six students and decide to choose their chairs so that each professor will be between two students. In how many ways can Professor Alpha, Beta, and Gamma choose their chairs? a. 12 b. 36 c. 60 d. 84 e. None of the above"
svsu_2003level2_solutionsfinal_23,Find the maximum vertical distance d between the parabola y =−2x2 +4x+3 and the line y = x−2 throughout the bounded region in the figure. 47 49 50 48 a. b. c. d. e. None of the above. 8 8 8 8
svsu_2003level2_solutionsfinal_24,"Two men stand 200 feet apart with a vertical flagpole in between them. If the angles of elevation of the top of the flagpole are 30E and 45E, how tall is the pole? 200 200 3 200 3 200 a. b. c. d. e. None of the above 1+ 3 1+ 3 3−1 3−1"
svsu_2003level2_solutionsfinal_25,"At noon, a car and a van are 120 miles apart on a straight road and driving toward each other at a speed of 40 mi/hr. A fly starts from the front bumper of the van at noon and flies to the bumper of the car, then immediately back to the bumper of the van, back to the car, and so on, until the car and the van meet. If the fly flies at a speed of 100 mi/hr, what is the total distance it travels? a. 150 miles b. 120 miles c. 100 miles d. 200 miles e. None of the above"
svsu_2003level2_solutionsfinal_26,"An amoeba propagates by simple division; each split into two takes 3 minutes to complete. When such an amoeba is put into a glass container with a nutrient fluid, the container will be full of amoebas in one hour. How long would it take for the container to be filled if we start with not one amoeba, but two? a. 30 min b. 45 min c. 51 min d. 57 min e. None of the above"
