id,problem
svsu_2011_sol_key_level_1_2_01,(d) (a)
svsu_2011_sol_key_level_1_2_02,(d) (c)
svsu_2011_sol_key_level_1_2_03,(e) (a)
svsu_2011_sol_key_level_1_2_04,(a) (a)
svsu_2011_sol_key_level_1_2_05,(c) (c)
svsu_2011_sol_key_level_1_2_06,(c) (b)
svsu_2011_sol_key_level_1_2_07,(c) (e)
svsu_2011_sol_key_level_1_2_08,(b) (c)
svsu_2011_sol_key_level_1_2_09,(b) (b)
svsu_2011_sol_key_level_1_2_10,(b) (e)
svsu_2011_sol_key_level_1_2_11,(c) (c)
svsu_2011_sol_key_level_1_2_12,(b) (a)
svsu_2011_sol_key_level_1_2_13,(b) (b)
svsu_2011_sol_key_level_1_2_14,(a) (b)
svsu_2011_sol_key_level_1_2_15,(d) (d)
svsu_2011_sol_key_level_1_2_16,(a) (c)
svsu_2011_sol_key_level_1_2_17,(c) (d)
svsu_2011_sol_key_level_1_2_18,(a) (b)
svsu_2011_sol_key_level_1_2_19,(a) (e)
svsu_2011_sol_key_level_1_2_20,(d) (d)
svsu_2011_sol_key_level_1_2_21,(d) (d)
svsu_2011_sol_key_level_1_2_22,(a) (c)
svsu_2011_sol_key_level_1_2_23,(b) (d)
svsu_2011_sol_key_level_1_2_24,(a) (c)
svsu_2011_sol_key_level_1_2_25,(b) (a) 1
