id,problem
svsu_level_i_02_solutions_01,( E ) The value of ( 3−1 −2−1)−1 is ( 1 − 1 )−1 = ( − 1 )−1 = −6. 3 2 6
svsu_level_i_02_solutions_02,"( B )If l is the length, then the width is l +1. The perimeter is 4l +2 and the area of 1 square foot is equal to l(l +1). Solving l(l +1)=1, we get l2 +l −1= 0. From the quadratic formula, the only positive root is −1+ 5 −1+ 5 l = . The perimeter is 4l +2 = 4  +2= 2 5. 2  2 "
svsu_level_i_02_solutions_03,"( B ) We have f(0)= c =1, f(1)= a+b+c =3, f(2)= 4a+2b+c = 2. Since c =1, the last two equations are a +b+1= 3,4a +2b+1= 2. Solving the first for b, b = 2−a, and substituting into the −3 second, 4a+2(2−a)+1= 2, the result is 2a+5= 2 or a = . 2"
svsu_level_i_02_solutions_04,"( B ) The triangle AFE is a 30-60-90 triangle with AE = 2. Therefore, AF = 1 and EF = 3, so the side length is 2 3. A 2 2 E F"
svsu_level_i_02_solutions_05,"( A ) Let Tbe the sum of the test scores before the error was discovered and nthe number of students who T took the exam. This gives = 75 or T = 75n. After the error the sum is then T +10 = 75n+10, so the n 75n+10 average is then = 75.4. Solving for n, we get 0.4n =10or n = 25. n"
svsu_level_i_02_solutions_06,"( E ) There are 10⋅10⋅10 =1000possible outcomes since repetition is allowed. The two digits that are the same, of which there are 10 choices could be drawn in any of three orders; the first two, the last two, or the first and last. For each choice of the repeated digit, there are 9 choices for the third, since it cannot be the same. By the multiplication rule, then, there are 10⋅3⋅9 = 270of the 1000 possible outcomes with precisely 270 27 two the same. = is not one of the options. 1000 100"
svsu_level_i_02_solutions_07,"(A) Since the triangle is inscribed in a semicircle, it is a right triangle with right angle at C. By the 1 Pythagorean Theorem, CD = 16− x2 , so the area of the triangle is x 16− x2 . 2"
svsu_level_i_02_solutions_08,"( C ) If we let x = log 3, then this is equivalent to ( 1 )x = 3 or (3−2)x =3. Equating exponents, 1 9 9 1 −2x =1 or x = − . 2"
svsu_level_i_02_solutions_09,( B ) (f (cid:68) f )(1)= f(f(1))= f(−2)= −2(−2)2 = −8.
svsu_level_i_02_solutions_10,"( A ) If we let (x, y) be the coordinate of the center, then, from the distance formula or the Pythagorean Theorem x2 + y2 = 25. And, since the point is on the line x = 2y, we substitute to get 4y2 + y2 = 25, or y = 5 since it is in the first quadrant. Therefore, x = 2y = 2 5."
svsu_level_i_02_solutions_11,( D )   −8x3  −1 3 = ( −8x3y6)−1 3 =   1   1 3 = −1 .  y−6  −8x3y6 2xy2
svsu_level_i_02_solutions_12,"( C ) If dis the distance (in miles) she runs north, then dis also the distance she runs south. The total time is d d 44 11d 44 then + = after converting the 44 minutes to hours. Solving, we get = , so 10 12 60 60 60 d = 4and the total mileage is 8miles."
svsu_level_i_02_solutions_13,"( B ) Notice that 21 = 2,22 = 4,23 = 8,24 =16,25 = 32,26 = 64,27 =128,28 = 256,(cid:34) so the last digits follow the pattern 2,4,8,6,2,4,8,6,(cid:34). The last digit is a 6 if the exponent is a multiple of 4. Dividing 2002 by 4, then, we get a remainder of 2, so the last digit is 4 ( two past the 6 in the pattern)."
svsu_level_i_02_solutions_14,"( C ) As each triangle is a 45-45-90 triangle, AD = BC = 3 2 , and the hypotenuse of the triangle with BC as one leg is 3 2⋅ 2 = 6. Since Bis the midpoint we know the dimensions of the larger rectangle are 9 and 12 and AB = 6 2 , Therefore, the area is 3 2⋅6 2 = 36."
