id,problem
svsu_2001solutions_letter_01,D
svsu_2001solutions_letter_02,B
svsu_2001solutions_letter_03,B
svsu_2001solutions_letter_04,B
svsu_2001solutions_letter_05,A
svsu_2001solutions_letter_06,B
svsu_2001solutions_letter_07,D
svsu_2001solutions_letter_08,D
svsu_2001solutions_letter_09,B
svsu_2001solutions_letter_10,D
svsu_2001solutions_letter_11,D
svsu_2001solutions_letter_12,D
svsu_2001solutions_letter_13,B
svsu_2001solutions_letter_14,D
svsu_2001solutions_letter_15,A
svsu_2001solutions_letter_16,A
svsu_2001solutions_letter_17,C
svsu_2001solutions_letter_18,B
svsu_2001solutions_letter_19,C
svsu_2001solutions_letter_20,C
svsu_2001solutions_letter_21,D
svsu_2001solutions_letter_22,C
svsu_2001solutions_letter_23,D
svsu_2001solutions_letter_24,D
svsu_2001solutions_letter_25,A Level II
svsu_2001solutions_letter_26,A
svsu_2001solutions_letter_27,E
svsu_2001solutions_letter_28,B
svsu_2001solutions_letter_29,D
svsu_2001solutions_letter_30,E
svsu_2001solutions_letter_31,C
svsu_2001solutions_letter_32,C
svsu_2001solutions_letter_33,D
svsu_2001solutions_letter_34,D
svsu_2001solutions_letter_35,A
svsu_2001solutions_letter_36,A
svsu_2001solutions_letter_37,D
svsu_2001solutions_letter_38,B
svsu_2001solutions_letter_39,C
svsu_2001solutions_letter_40,C
svsu_2001solutions_letter_41,A
svsu_2001solutions_letter_42,D
svsu_2001solutions_letter_43,B
svsu_2001solutions_letter_44,D
svsu_2001solutions_letter_45,B
svsu_2001solutions_letter_46,D
svsu_2001solutions_letter_47,D
svsu_2001solutions_letter_48,D
svsu_2001solutions_letter_49,D
svsu_2001solutions_letter_50,D
