id,problem
svsu_level_ii_00_01,"Olivia had a math quiz every school day. In addition to studying, she dropped some coins in a fountain on her way to school for good luck. However, she also felt that throwing in the same amount twice would bring bad luck. What is the maximum number of visits she could make to the fountain to toss in a total of 100 pennies so that the quantity of coins differed from the previous tosses? a. 11 b. 12 c. 13 d. 14 e. None of the above"
svsu_level_ii_00_02,Solve for x. a. 1 b. 2 c. 1 and 2 d. e. None of the above
svsu_level_ii_00_03,"Find all solutions of the equation 2 cos t + 1 = 0 in the interval [0,2(cid:66)). a. b. c. d. e. None of the above"
svsu_level_ii_00_04,"Trees A and B are 500 feet apart on the same side of a swamp. On the opposite side of the swamp is a tree C. If the angle between the lines AB and AC is 105° and that between AB and BC is 30°, find the distance between trees A and C. a. b. c. d. e. None of the above"
svsu_level_ii_00_05,Find the term involving x12 in the expansion of (x2 + 2y)9. a. 1008x12y3 b. 672x12y3 c. 126x12y3 d. 84x12y3 e. None of the above Level II/Page 2
svsu_level_ii_00_06,How many of the following statements are true? i) sin (cid:34) > sec (cid:34) for some angle (cid:34) ii) ln (cid:81) (cid:36) log 4 3 iii) log(10x) = 1 + logx for all x in the domain iv) tan(x + (cid:66)) = tanx + tan(cid:66) for all x a. 0 b. 1 c. 2 d. 3 e. 4
svsu_level_ii_00_07,If then t is equal to a. ln(y+1) (cid:33) ln(y(cid:33)1) b. ½[ln(y+1) (cid:33) ln(y(cid:33)1)] c. (cid:33)½lny d. 1 e. None of the above
svsu_level_ii_00_08,"In the figure below, is tangent to circle O at A. What is the area of the shaded region? a. b. c. d. e. None of the above"
svsu_level_ii_00_09,The sum of the real solutions to log(x2(cid:33)11) (cid:33) log x = 1 is a. 1 b. 10 c. 11 d. No real solutions e. None of the above
svsu_level_ii_00_10,"The sum of the real roots, counting multiplicity, of x5 (cid:33) 3x3 + 2x2 = 0 is a. 0 b. 1 c. 2 d. 4 e. None of the above"
svsu_level_ii_00_11,"Write csc(cos(cid:33)1 x) as an algebraic expression in x, free of trigonometric or inverse trigonometric functions. a. b. c. d. e. None of the above"
svsu_level_ii_00_12,"If f(x) = 2x, then f(1) + f(2) + f (3) + f(4) + (cid:254) + f(20) is equal to Level II/Page 3 a. 221 (cid:33) 2 b. 221 c. 4010 d. 4010 (cid:33) 2 e. None of the above"
svsu_level_ii_00_13,The number of intersection points of the graphs of the polar equations r = 4sin(cid:50) and r = 4cos(cid:50) is a. 0 b. 1 c. 2 d. 4 e. None of the above
svsu_level_ii_00_14,Five distinct points are selected on the circumference of a circle. How many triangles can be drawn using these five points as vertices? a. 5 b. 10 c. 15 d. 20 e. None of the above
svsu_level_ii_00_15,"A homeowner has 80 feet of chain-link fencing to be used to construct a dog pen adjacent to a house (see the figure). Which graph best describes the area, A(x), of the enclosed area? a. b. c. d. e. None of the above are possible Level II/Page 4"
svsu_level_ii_00_16,"For , the domain of f (cid:33)1(x) is a. [(cid:33)4,(cid:52)) b. ((cid:33)4,(cid:52)) c. [0,(cid:52)) d. ((cid:33)(cid:52),(cid:52)) e. None of the above"
svsu_level_ii_00_17,What is the lowest possible degree of the polynomial whose graph is shown? a. 3 b. 4 c. 5 d. 6 e. None of the above
svsu_level_ii_00_18,The fourth number in the list is missing. Find the sum of the digits of this missing number. 5 11 23 ??? 95 191 a. 5 b. 11 c. 12 d. 14 e. None of the above
svsu_level_ii_00_19,"If line (cid:82) is parallel to line m, how big is the angle marked x? a. 40° b. 80° c. 100° d. 120° e. None of the above"
svsu_level_ii_00_20,"In a bag there are six white balls and four black balls. Two balls are taken out at random, one at a time, without replacement. What is the probability that the second ball taken out is black? a. 2/5 b. 4/9 c. 2/3 d. 1/3 e. None of the above"
svsu_level_ii_00_21,a. cos x b. (cid:33)cos x c. 1 (cid:33) sin x d. sin x (cid:33) 1 e. None of the above
svsu_level_ii_00_22,"Ali (A) and Baba (B) are surrounded by six thieves (as shown). The thieves’ ages are given. Ali’s age is the average of his four nearest neighbors, and so is Baba’s. How old is Baba? Level II/Page 5 a. 37 b. 37½ c. 38 d. 38a e. None of the above"
svsu_level_ii_00_23,A car can go r miles on s gallons of gasoline. How many gallons of gas would it need for a t-mile trip? a. b. c. d. e. None of the above
svsu_level_ii_00_24,"PQR is an equilateral triangle. The points U, V, W, X, Y, Z trisect the sides. What is the ratio of the area of the shaded quadrilateral UWXY to the area of the whole triangle PQR? a. 1:2 b. 1:3 c. 2:5 d. 4:9 e. None of the above"
svsu_level_ii_00_25,"Recall that 50! represents the product of all the whole numbers from 1 to 50 inclusive. If you were to calculate the actual value of 50!, how many zeros would the answer have at the end? a. 5 b. 10 c. 11 d. 12 e. None of the above"
