id,problem
svsu_2015_mo_l2_01,Let a n = √ n+1 1 + √ n and let S n = a 1 +a 2 +a 3 +...+a n . Then S 99 =? (a) 9 (b) 10 (c) 12 (d) 15 (e) 21
svsu_2015_mo_l2_02,Let f be a function defined on positive integers that satisfies f(k + 2) = 4f(k) for all positive integers k. Which of the following could be an equation of f? (a) f(k) = 4k (b) f(k) = 4k (c)f(k) = 3(2)k + 1(−2)k 4 4 (d) f(k) = 1(4)k − 1(−4)k (e) none of the above 2 2
svsu_2015_mo_l2_03,What is the largest prime divisor of 217 −32? (a) 11 (b) 13 (c) 19 (d) 23 (e) 29
svsu_2015_mo_l2_04,"For all angles θ, sec2θ+csc2θ = (a) sec2θcsc2θ (b) 1 (c) 2 − tan2θ − cot2θ (d) all of the above (e) none of the above"
svsu_2015_mo_l2_05,"When a decimal point is placed between the digits of the two-digit integer n = AB, where A and B are digits of n, the resulting number is equal to the average of the digits of n. What is the value of n? A (a) 10.5 (b) 11.25 (c) 4 (d) 3 (e) none of the above 5 5 (cid:0) (cid:1)(cid:0) (cid:1)(cid:0) (cid:1) (cid:0) (cid:1)"
svsu_2015_mo_l2_06,The product 1− 1 1− 1 1− 1 ··· 1− 1 =? 22 32 42 n2 (a) n+1 (b) 4 (c) n+1 (d) n+1 (e) none of the above n2 n n 2n
svsu_2015_mo_l2_07,"Let f(x) = x2 −4x, x ≤ 2. Which of the following gives the correct inverse function for f? √ √ √ (a) f−1(x) = − x+4+2 (b) f−1(x) = x+4+2, x ≥ 4 (c) f−1(x) = x+4 (d) f−1(x) = x , x ≤ 2 (e) none of the above x−4 1 SVSU 2015 Math Olympics Level II-page 2 of 5"
svsu_2015_mo_l2_08,"A bag contains 40 balls, each of which is green or red. Yan reaches into the bag and randomly removes two balls. Each ball in the bag is equally likely to be removed. If the probability that two green balls are removed is 5 , how many of the 40 balls are green? 12 (a) 20 (b) 26 (c) 32 (d) 60 (e) none of the above"
svsu_2015_mo_l2_09,"If f( x ) = 1 for all x (cid:54)= 0,1, then f(tan2θ) =? 1−x x (a) 1 (b) tan2θ (c) csc2θ (d) sec2θ (e) none of the above tan2θ (cid:0) (cid:1)"
svsu_2015_mo_l2_10,sin 1 tan−1(−3) = 2 4 (a) √ −1 (b) √ −3 (c) −3 (d) √ 1 (e) none of the above 10 74 10 2
svsu_2015_mo_l2_11,"Let a,b and c be real numbers such that a and c have the same sign, in addition assume that a,b and c are consecutive terms of a geometric sequence (that is, c = b). Then the b a graph of y = ax2 +bx+c is (a) a curve that intersects the x-axis at two distinct points (b) entirely below or entirely above the x-axis (c) tangent to the x-axis (d) a straight line (e) none of the above"
svsu_2015_mo_l2_12,"A regular polygon of m-sides is exactly enclosed (no overlaps, no gaps) by m regular polygons of N sides each. (Shown here for m = 4, n = 8.) If m = 10, what is the value of n? (a) 5 (b) 6 (c) 14 (d) 20 (e) 26 2 SVSU 2015 Math Olympics Level II-page 3 of 5"
svsu_2015_mo_l2_13,"A triangle is inscribed in one circle. The vertices of the triangle divide the circle into three arcs of lengths 3, 4, and 5. What is the area of the triangle? 3 r 5 r r 4 √ √ √ (a) 6 (b) 18 (c) 9 ( 3−1) (d) 9 ( 3+1) (e) 9 ( 3+3) π2 π2 π2 π2"
svsu_2015_mo_l2_14,"A circle of radius r has chords AB of length 10 and CDof length 7. When AB and CD are extended through B and C, respectively, they intersect at P, which is outside the circle. If angle ∠APD = 60◦ and BP = 8, then r2 =? P C B D A (a) 70 (b) 71 (c) 72 (d) 73 (e) 74"
