id,problem
svsu_2006_level2_01,"Howmanyzerosareattheendof79! (Recall,n!istheproduct1×2×3×···×(n−1)×n.) (a) none (b) 18 (c) 15 (d) 7 (e) Noneoftheabove"
svsu_2006_level2_02,"Threecircles,S 1 ,S 2 andS 3 ,ofdifferentradiiwithcenters A,B,C,respec- S3 tively, are drawn so that any two touch each other. The point P is the C intersectionofthesmallercirclesS 1 andS 2 . ThecommontangenttoS 1 D A andS isextendedfromP andmeetsBC atD. IftheradiiofS ,S andS 2 1 2 3 are2,3,and10,respectively,findthelengthofCD. S1 P B S2 (a) 6 (b) 26 (c) 13 (d) 13 (e) Noneoftheabove 5 3 5 q p q p p"
svsu_2006_level2_03,Letn= 6+ 11+ 6− 11− 22. Then (a) n≥1 (b) 0<n<1 (c) n=0 (d) −1<n<0 (e) n≤−1
svsu_2006_level2_04,"Inthefiguretwocongruent30 ◦ -60 ◦ righttriangles, AOB andCPD are D ◦ drawn so that AO is opposite to the 60 angle in AOB and so that the P A C pointsO andP trisectthesegment AC. IfthelengthofDP isoneunit, O findtheperimeterofthequadrilateral ABCD (notdrawn). B p p p p (a) 2(2+ 3) (b) 2(3+ 2) (c) 4+2 2 (d) 4+ 7 (e) Noneoftheabove"
svsu_2006_level2_05,"Findthenumberof6-digitnumbersthatuseonlythedigits1and9,butdonothavetwo 1’snexttoeachother. (a) 19 (b) 21 (c) 49 (d) 14 (e) Noneoftheabove SVSU–2006MathOlympics LevelII–Page2"
svsu_2006_level2_06,Thesumofthesolutionsoftheequationlog ¡ x2−8x−8 ¢=0is 2 (a) 9 (b) 10 (c) −8 (d) 8 (e) Noneoftheabove S 1
svsu_2006_level2_07,"Let S 1 ,S 2 ,S 3 ,... be a sequence of nested circles such that S i+1 is in- side S i and the radius of S i+1 is half of that of S i . Let r denote the S2 radius of S 1 . For i = 1,3,5,... (i.e. for odd i’s), the region inside S i S4 S3 r andoutsideS i+1 isshaded. Findthesumoftheshadedareas. 3πr2 (a) 4 πr2 4πr2 (b) (c) (d) 3πr2 (e) Noneoftheabove 4 5"
svsu_2006_level2_08,Forwhichvaluesofa is (log 7)(log 6)=ln36? a 7 p (a) 1 (b) 6 (c) e (d) 2 (e) Noneoftheabove e ‡ x·
svsu_2006_level2_09,Forwhichx is 2sin −1 sin =x? 2 (a) Forallrealx (b) For−1≤x≤1 (c) For−π≤x≤π π π (d) For− ≤x≤ (e) Noneoftheabove 4 4
svsu_2006_level2_10,"Atexactly3:22,whatistheanglebetweenthehourhandandtheminutehandofaclock? (Assumethatbothhandsrotateinsmoothcontinuousmotionwithoutjumps.) ◦ ◦ ◦ ◦ (a) 35 (b) 7 (c) 31 (d) 42 (e) Noneoftheabove SVSU–2006MathOlympics LevelII–Page3"
svsu_2006_level2_11,For which real values of p does the graph of y = x2−2px+p+1 have exactly one x- intercept? p 1+ 5 (a) Nosuchp exists (b) p=0 (c) p= only 2 (d) p= 1 (e) Noneoftheabove 2
svsu_2006_level2_12,"A committee of 4 people is to be randomly chosen from a group of 7 people, including Mr. and Mrs. Smith. What is the probability that a committee will not contain both Mr. SmithandMrs. Smith? (a) 5 (b) 1 (c) 4 (d) 2 (e) Noneoftheabove 7 3 7 3"
svsu_2006_level2_13,cos ¡ 2cos −1¡−12¢¢= 13 (a) Undefined (b) 119 (c) −24 (d) −119 169 13 169 (e) Noneoftheabove
svsu_2006_level2_14,"Letθbetheanglemeasureofaregularpolygonwith n vertices, where n isa fixednaturalnumberlargerthan2. Onesuchpolygonisinscribedinanother so that the vertices of the inner polygon are the midpoints of the edges of the outer one (the figure gives an example for n =5). If the side of the outer polygonisa unitsandthatoftheinnerpolygonisb units,whichofthefollowingistrue? a2−2b2 2a2−b2 a (a) cosθ= (b) cosθ= (c) sin(θ/2)= a2 2a2 2b b (d) tanθ= p (e) Noneoftheabove a2−b2"
svsu_2006_level2_15,"GiventhatthetrapezoidABCD hasarea12,findthelengthofthe B C segment AE. (Congruent line segments are marked with small perpendiculardashesthroughthemiddleofthesegment). A E D p (a) 6 (b) p4 (c) p4 (d) 6 3 43 (e) Noneoftheabove SVSU–2006MathOlympics LevelII–Page4"
svsu_2006_level2_16,"Suppose f(1)=2and f(5)=3. Ifforeveryk≥3, f(k)= f(k−2)−f(k−1),find f(2). (a) 7 (b) 5 (c) −3 (d) 1 (e) Noneoftheabove 5 2 3"
svsu_2006_level2_17,"Apeglocatedatonevertexonthecorrespondinggraphwillbemoved toanothervertexthatisconnectedtoitscurrentlocationbyanedge; theselectionofthenewpositionisotherwisetotallyrandom. Ifthe D C pegiscurrentlyatthevertexA,whatistheprobabilitythatitwillend A B upaftertwomovesataninteriorvertex(oneofverticesB,C orD)? (a) 7/24 (b) 1/2 (c) 3/10 (d) 5/24 (e) Noneoftheabove"
svsu_2006_level2_18,"Supposethat f(x)≥0forall x,and a, b arepositivenumbers. Giventhattheareaofthe region bounded by the graph of y = f(x)sin(x), 0≤x ≤π, and the x-axis is 2 units, and that the area bounded by the graph y = af(bx)sin(bx), 0≤ x ≤π/b, and the x-axis is 8 units,whichofthefollowingholds? (a) a=4 (b) a=2 (c) a =4 (d) b =4 (e) Noneoftheabove b a"
svsu_2006_level2_19,Inthefigureisaregularhexagonofsidelength a. Theratiooftheshaded a areatothatoftheentirehexagonisequalto (a) 1 (b) 2 (c) 4 (d) 1 (e) Noneoftheabove 3 3 9 4
svsu_2006_level2_20,"Leta beapositiverealnumberandk anaturalnumber. Let f beapolynomialofdegree 11withapositiveleadingcoefficientwhoserootsarea,a±1,a±2,a±3,a±4,a±5,andlet g(T)=(f(T))2. Iftheleadingcoefficientofg isa whilethecoefficientofT21ing is−44a, whatis f(0)? (a) 0 (b) 11 (c) 1 (d) 11! (e) Noneoftheabove SVSU–2006MathOlympics LevelII–Page5"
