id,problem
svsu_2010_level2_01,"If f is a nonzero function (this means there is at least one x with f(x) (cid:54)= 0) of real numbers such that f(x+y) = f(x)f(y), what are the possible values for f(0)? (a) any real number is possible (b) any positive real number is possible (c) f(0) must be 0 (d) f(0) must be 1 (e) f(0) could be 0 or 1 √"
svsu_2010_level2_02,"The expression 1+i+i2+i3+···+i100, where i= −1, is equal to (a) 1 (b) 0 (c) 25 (d) 25−25i (e) None of the above"
svsu_2010_level2_03,"An arithmetic sequence is one in which each term after the first can be found by adding a constant to the preceeding term. That is, there is a fixed number d such that a = a +d n+1 n foralln≥1. Ifthefirsttermofafinitearithmeticsequenceis6andthelasttermis101and the sum of all the terms is 1070, what are the first 3 terms? (a) 6, 26, 46 (b) 6, 53.5, 101 (c) 6, 10.75,15.5 (d) 6, 11, 16 (e) None of the above"
svsu_2010_level2_04,"Jamestookatestwith3parts. Hegot20%ofthe15multiplechoicequestionsrightand85% ofthe20shortanswerquestionsright. Ifhegot75%oftheentiretestright,whatpercentof the n vocabulary questions did he get right? (a) 100 (b) 3n+25 (c) 20+.75n (d) 625 +75 (e) None of the above 4 35+n n"
svsu_2010_level2_05,Simplify 3(a2+1)2+2(a−1)(a2+1)−5(a−1)2−4(0.75a4+3a−1). (a) 2a3−a2 (b) 2a2−a3 (c) 2a3 (d) 2a2 (e) None of the above
svsu_2010_level2_06,"If x+y =a and x2+y2 =b, express x3+y3 in terms of a and b. (a) ab (b) a2+b (c) a+b2 (d) (3ab−a3)/2 (e) None of the above 2010 SVSU Math Olympics Level II – page 2 of 5"
svsu_2010_level2_07,Simplify 1 1 + 1 ÷ 1−x 1+x 1+ x 1 − 1 1− x x +2 1−x 1+x (a) 2x (b) 2x (c) 1 (d) x2−1 (e) None of the above x2+2x+2 x2−1
svsu_2010_level2_08,"Alargeschooldistricthasthreehighschools,DarthVaderHigh,DarthSidiusHigh,andYoda High. In the district, 55% of the students are male, and 2,175 students attend Darth Vader HighSchool. ThemalesaredistributedthroughtheDarthVaderHigh,DarthSidiusHigh,and Yoda High in the ratio 1 : 1 : 3. The females are distributed in the ratio 2 : 1 : 2. How many students attend Yoda High? (a) 3,625 (b) 3,700 (c) 3,750 (d) 3,800 (e) 3,825"
svsu_2010_level2_09,"An auto insurance company has 10,000 policy holders. Each policy holder is classified as:"
svsu_2010_level2_10,young or old
svsu_2010_level2_11,male or female
svsu_2010_level2_12,"married or single. Ofthesepolicyholders,3,000areyoung,4,600aremale,and7,000aremarried. Amongthe policyholders there are exactly 1,320 young males, 3,010 married males, and 1,400 young married persons. Finally, 600 of the policyholders are young married males. How many of the company’s policyholders are old married females? (a) 3,120 (b) 3,190 (c) 3,220 (d) 3,290 (e) 3,390"
svsu_2010_level2_13,For what values of a will the following equation have no
svsu_2010_level2_14,"Determine all values of k so that the equation kx2−2x+4−4k=0 has two solutions, one of which is negative and the other is positive. (a) k<0 (b) k>1 (c) k<0 or k>1 (d) k(cid:54)=0 (e) k(cid:54)=0 and k<2"
svsu_2010_level2_15,"Find the remainder when 3888,888 is divided by 5. (a) 1.4 (b) 1 (c) 6 (d) 5 (e) 0"
svsu_2010_level2_16,"Joehasthreedrinkingcups: acylinder-shaped,acone-shapedandasemi-sphere-shaped. All of them have the same radius and height. The cylinder-shaped cup is full of water. Joe want topourthewaterfromthecylinder-shapedcuptotheothertwocups. Whichofthefollowing is going to happen? (a) There will not be enough water to fill the two cups. (b) The water from the cylinder-shaped cup will exactly fill the two other cups. (c) There will be too much water to fit into the other two cups. (d) It depends on what the radius and height are. (e) It depends on what the radius is."
svsu_2010_level2_17,"If A is a 3×3 matrix such that     1 2 3 4 2 4 6 8     A0 1 0 1=4 1 4 1,     2 0 2 0 0 1 0 1 what is the value in the third row, second column of A? (a) 0 (b) 1 (c) 2 (d) 4 (e) None of the above 2010 SVSU Math Olympics Level II – page 4 of 5"
