id,problem
svsu_2004_level_2_final_solutions_01,"If log (32)−log (27) = log ( ), then x is 2 3 4 5 a) 16 b) 20 c) 80 d) 125 e) None of the above"
svsu_2004_level_2_final_solutions_02,"The rhombus ABCD is made by gluing two equilateral triangles ABD and BCD along their common edge, and is placed so that ABis along the horizontal x-axis. The point E bisects the segment DC. Then the slope of the line AE is 3 a) 3 b) c) 1 2 d) 1/2 e) None of the above"
svsu_2004_level_2_final_solutions_03,"In a local election, 3000 votes were cast to elect one of the three candidates A, B, and C. Of the first 2000 votes, A received 45%, B received 35%, and the rest went to C. Of the remaining 1000 votes, 60% went to C, 25% went to B, and the rest went to A. Which of the following is true? a) A places first with 60% of the votes b) C wins the election c) A and C tie for first place d) C received 50 votes more than B e) None of the above"
svsu_2004_level_2_final_solutions_04,Simplify x2 +x−12 x+3 x+2 a) x+3 b) c) d) x+ 2 e) None of the above x+4 x+4
svsu_2004_level_2_final_solutions_05,Let f(x)= x2 +4x+2. Let R be the quadrangle (quadrilateral) in the Cartesian plane whose vertices coincide with the x-intercepts of f and the vertices of the parabolas y = f(x) andy =−f(x). The area of R is a) 4 2 b) 12 c) 8 d) 2 2 e) 2
svsu_2004_level_2_final_solutions_06,"In a class of 60 junior and senior students, 21 are girls, 34 are juniors, and 20 are senior boys. How many juniors are girls? a) 15 b) 19 c) 6 d) 20 e) 8"
svsu_2004_level_2_final_solutions_07,"A large water tank has two drain outlets A and B. It takes 3 hours to drain the tank through A only, and 4 hours to drain the tank through B only. Suppose that we started draining the full tank using both outlets, but after a while outlet B was 1 closed letting the rest of the water drain through A. Given that it took a total of 2 4 hours to drain the tank, how long did it take before closing outlet B? a) 11 hrs b) 1 hr c) 7 hr d) 5 hr e) None of the above 4 12 12"
svsu_2004_level_2_final_solutions_08,The figure shows a regular octagon of side 1. The area of the shaded region is 3 3 2 a) 2 + b) 3 2 c) 4 4 d) 1+ 2 e) None of the above
svsu_2004_level_2_final_solutions_09,The length of the side of a regular hexagon with area 1 in2 is 3 3 3 2 3 a) b) c) d) 4 e) None of the above 4 4 2 4
svsu_2004_level_2_final_solutions_10,"If all the roots (zeros) of the polynomial f(x) = x5 +ax4 +bx3 +cx2 +dx−420are integers larger than 1, then f(4)equals a) 0 b) -6 c) 12 d) -12 e) None of the above"
svsu_2004_level_2_final_solutions_11,"In the figure, the two circles both have radius 1 and centers O and P respectively. The line PQ is tangent to the first circle and passes through the center of the second, and the line OQ is perpendicular to the line OP joining the centers. The length of the segment OQ is 3 2 a) 3 b) c) 2 3 2 3 d) e) None of the above 3"
svsu_2004_level_2_final_solutions_12,"If f( ) = for all x≠0,1 and 0<θ<π 2 then f(sec2θ)= x−1 x a) sin2θ b) cos2θ c) tan2θ d) csc2θ e) None of the above x x−1 1"
