id,problem
svsu_2011_m_olymp_level_i_01,The Easter Bunny creates a giant chocolate Easter egg that weighs 20 pounds. It is the exact same shape as a chocolate egg weighing 5 ounces. The egg that weighs 5 ounces is wrapped in 9 in2 of foil. How much foil needs to be used to wrap the giant egg? (a) 36 ft2 (b) 16 ft2 (c) 4 ft2 (d) 1 ft2 (e) none of the above
svsu_2011_m_olymp_level_i_02,Which of the following equations is the equation of a circle whose center is on the line that bisects the first quadrant and that has no intercepts? (a) x2 −6x+y2 −6y = −9 (b) x2 +6x+y2 +6y = −14 (c) x2 −6x+y2 −4y = −12 (d) 4x2 −24x+4y2 −24y = −47 (e) none of the above
svsu_2011_m_olymp_level_i_03,Which of the following equations could be the equation of the graph below. (a) y = −5x2 −5 (b) y = x2 −4x−5 (c) y = x4 +x2 −5 (d) y = −(x−1)(x+1)(x−5) (e) none of the above
svsu_2011_m_olymp_level_i_04,How many triples of real numbers (x;y;z) satisfy the equations xy = z; yz = x; zx = y? (a) 5 (b) 1 (c) 4 (d) infinitely many (e) none of the above 1 SVSU 2011 Math Olympics page 2 of 5
svsu_2011_m_olymp_level_i_05,Let a and b be real numbers satisfying the equations a+b = 1; a3 +b3 = 2011: What is a2 +b2? (a) 1 (b) 2010 (c) 1341 (d) 1851 (e) none of the above
svsu_2011_m_olymp_level_i_06,Which of the following quadratic polynomials f satisfies the property: “f(n) is an integer whenever n is an integer”? (a) f(x) = x2 + x + 1 (b) f(x) = x2 + x + 1 (c) f(x) = x2 + x 2 2 2 2 2 2 2 (d) f(x) = x2 − x − 1 (e) none of the above 2 2
svsu_2011_m_olymp_level_i_07,"A drawer contains red socks and black socks. When two socks are drawn at random, the probability that both are red is 1. How small can the number of socks in the drawer be if 2 the number of black socks is even? (a) 7 (b) 14 (c) 21 (d) 25 (e) none of the above"
svsu_2011_m_olymp_level_i_08,"What is the smallest number of coins (pennies, nickels, dimes, quarters, and half dollars) with which you can pay out any amount from 1 cent to 99 cents? (a) 8 (b) 9 (c) 10 (d) 12 (e) none of the above"
svsu_2011_m_olymp_level_i_09,A fair coin is tossed 10 times. What is the probability that exactly five of the tosses come up heads and five of them tails? (a) 1 (b) 63 (c) 64 (d) 5 (e) none of the above 2 256 256 128
svsu_2011_m_olymp_level_i_10,"How many zeros are at the end of 17!? (Recall that n! is the product of the first n positive integers, that is 2! = 2·1, 3! = 3·2·1, and so on) (a) 2 (b) 3 (c) 17 (d) 21 (e) none of the above"
svsu_2011_m_olymp_level_i_11,A train moving 45 miles per hour meets and is passed by a train moving 35 miles per hour in the opposite direction. A passenger in the first train sees that the second train takes 6 seconds to pass him. How long is the second train? (a) 701 feet (b) 698 feet (c) 704 feet (d) 710 feet (e) none of the above 2 SVSU 2011 Math Olympics page 3 of 5
svsu_2011_m_olymp_level_i_12,"Each morning Boris walks to school at a constant rate. At one-fourth of the way he passes the tractor station. At one-third of the way, the railroad station. At the tractor station its clock shows 7:30 A.M., and at the railroad station its clock shows 7:35 A.M. When does Boris reach school? (a) 8:10 A.M. (b) 8:15 A.M. (c) 8:20 A.M. (d) 8:25 A.M. (e) none of the above"
svsu_2011_m_olymp_level_i_13,"If Peter Piper can pick a peck of pickled peppers in 2 hours, and Tom Thumb can do it in 3 hours, and Mary Mary can do it in 5 hours, how long will it take them working all together? (a) 31/3 hours (b) 30/31 of an hour (c) 16/15 hours (d) one hour and 2 minutes (e) none of the above √"
svsu_2011_m_olymp_level_i_14,"If r 1 and r 2 are solutions of the equation x =√a x+k2, then r 1 +r 2 =? (a) a2 (b) k2 (c) 0 (d) a a2 +4ak2 (e) none of the above 1−a"
svsu_2011_m_olymp_level_i_15,"For all x such that x ̸= 5; 3; −3;0, what is 2 − 14 equal to? 2 2 x−5 2x2−13x+15 4 (a) 4 (b) 8x+12 (c) x 2x−3 4x2−9 2−3 x (d) all of the above (e) none of the above"
svsu_2011_m_olymp_level_i_16,"Let x;y;z be real numbers. Suppose that (x+1)(y +1)(z +1) ̸= 0, and x y z + + = 1: x+1 y +1 z +1 Find all possible values of the quantity 2xyz + xy + yz + zx for all x;y;z with the above properties. (a) 1 (b) 0, 2, or 3 (c) 0 (d) infinitely many values (e) none of the above"
svsu_2011_m_olymp_level_i_17,"Suppose a glass has a square base of side 2 units and height 2 units. A spider is standing at the center of the bottom of the glass. The spider wants to reach a delicious ant that is standing at one of the top corners of the glass. Assume the spider walks at a constant speed on the surface of the glass and the ant, unaware of the danger, does not move. What distance should the spider walk to have her meal as quickly as possible? √ √ √ √ (a) 2+ 2 (b) 1+ 5 (c) 10 (d) 2 2 (e) none of the above 3 SVSU 2011 Math Olympics page 4 of 5"
svsu_2011_m_olymp_level_i_18,A quartet with 4 different instruments wants to play something (silence doesn’t count) with each possible combination of instruments. How many ways can this be done? (a) 15 (b) 10 (c) 24 (d) 18 (e) none of the above
