id,problem
svsu_2005level1_solutions_01,Which of the following numbers are prime? (a) 2783 (b) 637 (c) 247 (d) 359 (e) None of the above
svsu_2005level1_solutions_02,Simplify the expression x−1 −y−1 (a) (x−y)2(x+y) (b) −x2y −xy2 (c) 247 (d) x+y (e) None of the above
svsu_2005level1_solutions_03,"When going outside on a cold winter day, Jill can choose from three winter coats, five wool scarves, two pairs of boots and four hats. But she will never wear her green scarf unless she wears the blue coat. How many different outfits might her friends see her in? (a) 120 (b) 104 (c) 97 (d) 119 (e) None of the above"
svsu_2005level1_solutions_04,"Coffee costs about $6 per pound in the United States. If a Canadian dollar exchanges for 75 U.S. cents, and a kilogram is about 2.2 pounds, what is the equivalent cost in Canadian dollars per kilogram? SVSU – 2005 Math Olympics Level I – Page 2 (a) $17.60 (b) $9.90 (c) $3.64 (d) $2.05 (e) None of the above"
svsu_2005level1_solutions_05,"A table in a doll house is a scale model of a full sized table. The surface area of the top of the full sized table is 800 square inches. The surface area of the top of the doll house table is 2 square inches. If the doll house table is 1.5 inches high, how high is the full sized table? (a) 30 in (b) 600 in (c) 400 in (d) 120 in (e) None of the above"
svsu_2005level1_solutions_06,Solve the equation. = 9·9x 3 (a) x = 5 (b) x = −7 (c) no solution (d) x = −5 3 (e) None of the above
svsu_2005level1_solutions_07,"Assume that the digits 1, 0, and 8 are written so that A 4-digit example: they look the same when they are upside down as they do when they’re right-side up. Assume that the digits 6 and 9 are written so that an upside down 6 is identical to a 9. How many 5 digit numbers look the same upside down as they do right-side up. 890l l098 (a) 75 (b) 868 (c) 152 (d) 48 (e) None of the above 890l"
svsu_2005level1_solutions_08,"Suppose you are in a class of 20 students. If every student shakes hands with every other student, how many handshakes will there be? (a) 190 (b) 400 (c) 380 (d) 2019 (e) None of the above"
svsu_2005level1_solutions_09,"A school has three clubs: cheerleaders, pep club and student council. Half of the student council members and all of the cheerleaders belong to the pep club. Two students are members of all three clubs. If there are 24 student council members, 6 cheerleaders, and 40 pep club members, how many students belong only to the pep club? (a) 10 (b) 24 (c) 20 (d) 22 (e) None of the above"
svsu_2005level1_solutions_10,A 400 meter track is to built with 100-meter straight- 100m aways on both sides and semicircular ends. (See the diagram.) How many meters wide should the track be x between the straight-aways so that the total perimeter 100m is 400 meters? (a) 100/π (b) 100 (c) 200/π (d) 50/π (e) None of the above
svsu_2005level1_solutions_11,Find the perimeter of a rectangle whose area is 22 square meters and whose diagonal is 10 meters (a) 24 (b) 12 (c) 44 (d) 33 (e) None of the above
svsu_2005level1_solutions_12,"Donald Duck can eat 2 pizzas in 3 minutes, while Goofy can eat 3 pizzas in 2 minutes. At these rates, how many pizzas can they eat together in an hour? (a) 54 (b) 96 (c) 130 (d) 216 (e) 250"
svsu_2005level1_solutions_13,"If m > 0 and the points (m,3) and (1,m) lie on a line with slope m, then m = √ √ √ (a) 1 (b) 2 (c) 3 (d) 5 (e) None of the above"
svsu_2005level1_solutions_14,"An urn is filled with coins and beads, all of which are either silver or gold. Twenty percent of the objects in the urn are beads. Forty percent of the coins in the urn are silver. What percent of the objects in the urn are gold coins? (a) 40% (b) 48% (c) 52% (d) 60% (e) None of the above"
svsu_2005level1_solutions_15,= 84 +411 √ (a) 2 (b) 16 (c) 32 (d) 122/3 (e) None of the above SVSU – 2005 Math Olympics Level I – Page 5
svsu_2005level1_solutions_16,"The ratio of the radii of two concentric circles (circles having the same center) is 1:3. If AC is a diameter of the larger circle, BC is a chord of the larger circle that is tangent to the smaller circle, and AB = 12, then the radius of the larger circle is (a) 13 (b) 18 (c) 21 (d) 24 (e) None of the above"
svsu_2005level1_solutions_17,The 12 in × 12 in configuration shown to the right made up of four tiles each represents a small square inscribed in a larger one. The shaded region has area 24 in2. The side length of each of the inner squares is √ √ √ (a) 2 5 (b) 2 3 (c) 3 (d) 28 (e) None of the above
svsu_2005level1_solutions_18,"At a High School each freshman is taking exactly two of the following three courses: English, Math, Social Studies. The freshmen enrollments are: 20 in English, 17 in Math, 11 in Social Studies. How many freshmen are there? (a) 24 (b) 25 (c) 26 (d) 27 (e) None of the above SVSU – 2005 Math Olympics Level I – Page 6"
svsu_2005level1_solutions_19,Let a polynomial P be a degree four polynomial such that 0 = P(0) = P(1) = P(2) = P(−1) and P(−2) = 12. Then P(3) equals (a) 1/3 (b) −1/2 (c) 1 (d) 2 (e) None of the above
svsu_2005level1_solutions_20,"Jody read a book in 3 days. During the first day she read 1/5 of the book, plus 16 pages. During the second day she read 3/10 of what remained,plus 20 pages. During the third day she read 3/4 of what remained, plus 30 pages. How many pages were there in the book? (a) 225 (b) 240 (c) 265 (d) 270 (e) None of the above"
svsu_2005level1_solutions_21,"Determine a, b for which (−4,−3) is a solution of the system ax+by = −26 bx−ay = 7 (a) a = −2, b = 11 (b) a = 2, b = −6 (c) a = 9, b = 5 (d) a = 5, b = 2 (e) None of the above"
svsu_2005level1_solutions_22,The Jones family is remodeling their house. The width of a rectangular room is in- creased by 30% and the length of that room is increased by 25%. By what percentage is the area of the room increased? (a) 55% (b) 62.5% (c) 7.5% (d) 75% (e) None of the above
svsu_2005level1_solutions_23,Which of these numbers is the smallest? √ (cid:113) 93 √ 1 422−4 9−1 (a) √ (b) 3 3−60 (c) (d) (e) 3 2715 12 311 27·35
svsu_2005level1_solutions_24,"The three circles have radii 1in, 2in and 3in. Which fraction of the square is shaded? (a) 18− 3π (b) 3 (c) 1 − π (d) 5π 2 8 2 24 6 (e) None of the above"
svsu_2005level1_solutions_25,A parallelogram ABCD is drawn so that the C triangle ABC is an isosceles triangle inscribed D inside circle of radius 12 and so that the one of its sides passes through the center. What is B the area of the parallelogram? A (a) 288 (b) 36 (c) 72 (d) 144 (e) None of the above
