id,problem
svsu_2011_m_olymp_level_2_01,log = log +log +log +:::+log =? i−1 2−1 3−1 4−1 n−1 i=2( ) (a) log n(n+1) (b) log(n+1) (c) log(n+1)+logn−log2−1 2 (d) logn(n+1) (e) none of the above log2 ∑n 1 1 1
svsu_2011_m_olymp_level_2_02,Find an integer m in terms of n such that = − : k(k +1)(k +2) 4 m k=1 (a) m = 2n(n+1)(n+2) (b) m = (n−1)n(n+2) (c) m = 2(n+1)(n+2) (d) m = n(n+1)(n+2) (e) none of the above
svsu_2011_m_olymp_level_2_03,Let p(x) = 12x+115. Find the smallest integer n ≥ 1 so that p(n) is not a prime number. (a) 5 (b) 3 (c) 10 (d) 11 (e) none of the above
svsu_2011_m_olymp_level_2_04,"If sin((cid:11)+(cid:12)) = 1 and sin((cid:11)−(cid:12)) = 1, for 0 < (cid:11);(cid:12) < (cid:25), what is tan((cid:11)+2(cid:12))? √ 2 2 √ (a) − 3 (b) unde(cid:12)ned (c) p1 (d) 3 (e) none of the above 3"
svsu_2011_m_olymp_level_2_05,Let a and b be real numbers satisfying the equations a+b = 1; (a2 +b2)(a3 +b3) = 26: What is a2 +b2? (a) 26 (b) 4 (c) 13 (d) 5 (e) none of the above 3 3 2
svsu_2011_m_olymp_level_2_06,For how many integers n in the set {1;2;:::;2011} is n4 −n3 a cube? (a) 25 (b) 13 (c) 15 (d) 30 (e) none of the above 1 SVSU 2011 Math Olympics page 2 of 5
svsu_2011_m_olymp_level_2_07,"Joey has a slushy stand. He has found that if he charges $1.25 per slushy he can sell 150 slushies per day. For each 2 cents raise in price per slushy, he sells 1 less slushy per day. It costs him 25 cents to make a slushy. What price will maximize his pro(cid:12)t? (a) $1.00 (b) $6.25 (c) $1.06 (d) $6.38 (e) none of the above"
svsu_2011_m_olymp_level_2_08,"Ananagramofawordisanotherword(notnecessarilybelongingtotheEnglishlanguage) made up of the same letters. So the word \mom"" has three anagrams, namely \mmo"", \mom"", and \omm"". How many anagrams are there of \Mississippi""? (a) 11! (b) 11! (c) 11! (d) 11! (e) none of the above 16 1152 24"
svsu_2011_m_olymp_level_2_09,"If (cid:18) is an angle in the (cid:12)rst quadrant, and 3cos(cid:18) − 4sin(cid:18) = 2, what is the value of 3sin(cid:18)+4cos(cid:18)? √ √ (a) 2 (b) 21 (c) 5 (d) −2 (e) none of the above"
svsu_2011_m_olymp_level_2_10,Which of the following is a solution to the equation 8cos2(cid:18)−8cos(cid:18)+1 = 0? ( ) (a) (cid:25) (b) cos(cid:0)1 p1 (c) (cid:25) (d) (cid:25) (e) none of the above 4 2 2 3 8
svsu_2011_m_olymp_level_2_11,An integer-valued point in the xy-plane is a point (a;b) where both a and b are integers. How many integer-valued points are on or inside a circle of radius 4 centered at the origin? (a) 50 (b) 21 (c) 49 (d) 7 (e) none of the above
svsu_2011_m_olymp_level_2_12,"Suppose E is the foot of the perpendicular from C to diagonal BD in rectangle ABCD. If the lengths of perpendiculars from E to AD and AB are a and b, respectively, express the length d of diagonal BD in terms of a and b. (a) d = (a2=3 +b2=3)3=2 (b) d = b=a (c) d = a=b (d) d = (a2 +b2)2=3 (e) none of the above 2 SVSU 2011 Math Olympics page 3 of 5"
svsu_2011_m_olymp_level_2_13,"Semicircles are drawn on two sides of a rectangle ABCD in which the longer side AB is twice the length of the shorter side AD, as shown. QAP is a line segment with segment QA of length 5cm and segment AP with length 24cm. What is the length of the shorter side? (a) p5 (b) 13 (c) 12 (d) p2 (e) none of the above 2 2"
svsu_2011_m_olymp_level_2_14,"If ABCD is a square with side AB of length 1cm and the segments AA ,A B , C D , 1 1 1 1 1 and D D all have length 1cm, what is the area of the quadrilateral EFGH? 1 4 See the (cid:12)gure for the location of the points. (a) 1 (b) 1 (c) 1 (d) 1 (e) none of the above 12 48 96 8"
svsu_2011_m_olymp_level_2_15,"A writes a letter to B and does not receive an answer. Assuming that in general one letter in n is lost in the mail, where n is some (cid:12)xed positive integer, (cid:12)nd the probability that B received the letter. It is to be assumed that B would have answered the letter if he had received it. (a) n(cid:0)1 (b) n(cid:0)1+n(cid:0)1 (c) n(cid:0)1 (d) n(cid:0)1 (e) none of the above n n2 n n2 2n(cid:0)1 3 SVSU 2011 Math Olympics page 4 of 5"
svsu_2011_m_olymp_level_2_16,"In the game show \Let’s Make a Deal"", a contestant is presented with 3 doors. There is a prize behind one of the doors, and the host of the show knows which one. When the contestant makes a choice of door, at least one of the other doors will not have a prize, and the host will open a door (one not chosen by the contestant) with no prize. The contestant is given the option to change his choice after the host shows the door without a prize. If the contestant switches doors, what is the probability that he gets the door with the prize? (a) 1 (b) 1 (c) 2 (d) 1 (e) none of the above 3 6 3 2"
svsu_2011_m_olymp_level_2_17,"Suppose f(x) = ax+b. If f(f(f(x))) = 125x+155, what is a+b? (a) 5 (b) 13 (c) 17 (d) 10 (e) none of the above"
svsu_2011_m_olymp_level_2_18,"Consider a right triangle ⊥ △ABC with a and b being the perpendicular legs and c the hypotenuse. If the triangle ABC is inscribed in a circle with radius r, (cid:12)nd a2 +b2 +c2. (a) 4r2 (b) 8r2 (c) 16r2 (d) 32r2 (e) none of the above"
svsu_2011_m_olymp_level_2_19,"Which of the following equations have the same graph? x2 −16 I: y = x+4 II: (x−4)y = x2 −16 III: y = x−4 (a) I and II only (b) I and III only (c) II and III only (d) I, II, and III (e) none of the above"
svsu_2011_m_olymp_level_2_20,"If f(2x) = 4 , then 2f(x) =? 4+x (a) 8 (b) 4 (c) 4 (d) 16 (e) none of the above 4+x 2+x 4+x 8+x"
svsu_2011_m_olymp_level_2_21,"If f( x ) = 1 for all x ̸= 0;1, then f(tan2(cid:18)) =? 1(cid:0)x x (a) 1 (b) tan2(cid:18) (c) sec2(cid:18) (d) csc2(cid:18) (e) none of the above tan2(cid:18)"
svsu_2011_m_olymp_level_2_22,Find the distance between two nonintersecting diagonals on two adjacent sides of a cube with side a. √ (a) 0 (b) a (c) pa (d) a 2 (e) none of the above 3 4 SVSU 2011 Math Olympics page 5 of 5
svsu_2011_m_olymp_level_2_23,"Find all positive integers n such that 1 < n < 1000 with the following property: the remainder when n is divided by 4 is 1, the remainder when n is divided by 7 is 1, the remainder when n is divided by 25 is 1. (a) n = 337 (b) n = 700 (c) n = 64 (d) n = 701 (e) none of the above"
svsu_2011_m_olymp_level_2_24,"Observe that 4 can be expressed as the sum of natural numbers in 8 ways, taking into account the order of the terms: 4;3+1;1+3;2+2;2+1+1;1+2+1;1+1+2;1+1+1+1 How many such expressions are there for 2011? (a) 2 × 2011 (b) 22011 (c) 22010 (d) 4020 (e) none of the above"
svsu_2011_m_olymp_level_2_25,What are the last three digits of 52011? (a) 125 (b) 525 (c) 625 (d) 025 (e) none of the above 5
