id,problem
svsu_level_ii_01_solutions_01,"(A) The LCM of 6, 9, and 10 is 90, so lockers 90, 180, 270, 360, and 450 will have all three decals. a2b2(a −b) a2b2(a −b) a2b2"
svsu_level_ii_01_solutions_02,(E) Multiplying numerator and denominator by a2b2 gives = = − . b2 −a2 (b−a)(b+a) a +b
svsu_level_ii_01_solutions_03,"(B) x =1is clearly a solution and long or synthetic division or trial-and-error gives the factorization (x −1)(2x2 +7x +5)= 0, or (x −1)(2x +5)(x +1)= 0. The sum of the solutions is 1+ (-2.5) + (-1)= -2.5."
svsu_level_ii_01_solutions_04,"(D) There are 5⋅4 = 20possible orderings of 2 people from the 5, and two of these (W1 W2, or W2 W1, where W1 and W2 are the two women) consist of the two women only. Two of the 20 gives 10%. x −6 x −6"
svsu_level_ii_01_solutions_05,"(E) Using a property of the log function, this simplifies to log  =1, and so =10since it is base 10. Therefore,  x +3 x +3 x −6 =10x +30or x = −4. Since -4 is not in the domain, there is no solution."
svsu_level_ii_01_solutions_06,"(C) Using G, B, M, and P for the number of glasses, bowls, mugs, and plates, respectively, we have the three equations G + B = M, B = G + P,3P = 2M . From Eq 1, 2G +2B = 2M , and combining with Eq. 3, then, 3P = 2G +2B. Finally, from Eq. 2, P = B−G, so 3(B−G)= 2G +2B, or B = 5G."
svsu_level_ii_01_solutions_07,"(C) Let (cid:65)be the length of the level road in miles and sthe length of the trail. Since they travel each twice, the total distance is (cid:65) s s (cid:65) (cid:65) s 2(cid:65)+2s. Using time is distance divided by rate, we have + + + = 6, or + = 6. Multiplying both sides by 4, 4 3 6 4 2 2 2(cid:65)+2s = 24. 1"
svsu_level_ii_01_solutions_08,"(D) log = log 1−log y = −log y, and by taking the log of both sides of 2x = y, we get x = log y. So, 2 y 2 2 2 2 1 log = −log y = −x. 2 y 2"
svsu_level_ii_01_solutions_09,"(D) A graph of y = cosθ, shows this characteristic."
svsu_level_ii_01_solutions_10,"(A) Since it is absolute value, 3x +1> x +1 or 3x +1< −(x +1), and solving each inequality, we get 2x > 0 and 1 4x < −2, respectively. So, x > 0 or x < − . 2"
svsu_level_ii_01_solutions_11,"(A) Since the sine and cosine functions both have ranges between -1 and 1, inclusive, the product of these functions must also be between -1 and 1, inclusive. So, the only possibility is sin AcosB =1, which can only happen when sin A= cosB =1 or sin A= cosB = −1."
svsu_level_ii_01_solutions_12,"(D) Since the part remaining is similar to the whole pyramid and the builder had 25/100 =1/ 4of the heght to complete, he/she had (1/ 4)3 =1/ 64of the volume to complete. Since the builder failed to complete 1/64th of the pyramid, he/she completed 63/64th of the job."
svsu_level_ii_01_solutions_13,"(B) The minute hand is on the 9 and the hour hand is 45/60=3/4 of the way past the seven, or 1/4 th of the way to the 8. Since there are 360/12=30 degrees between two consecutive numbers on the clock, we have 30 (between the 8 and the minute hand) 1 plus ⋅30 = 7.5(between the 8 and the hour hand) degrees. 4"
svsu_level_ii_01_solutions_14,"(C) There are 10⋅9⋅8⋅7possible committees (orderings) of 4 people from the 10. For any of 6 orderings that have two men and two women (MMWW, MWWM, MWMW, WMMW, WWMM, WMWM), there are 5⋅4⋅5⋅4possibilities for choosing 6⋅5⋅4⋅5⋅4 3⋅4⋅5⋅4 5⋅2 10 the two men and two women. So, the probability is = = = . 10⋅9⋅8⋅7 9⋅8⋅7 3⋅7 21 10 x"
svsu_level_ii_01_solutions_15,"(C) Since the streamers (vertical lines) are parallel to the pole (10 ft), we can use repeated similar triangles to get = 1 , 40 39 10 x 10 x 10 x 10 x = 2 , = 3 (x = xin the picture), = 4 , …, = 37 , 40 38 40 37 3 40 36 40 3 10 x 10 x 10 x = 38 , = 39 . So, 40 2 40 1 37 1 1 1 40 10 1 40⋅39 x + x +(cid:34)+x = (39+38+37+(cid:34)+2+1)= ⋅ =195. 1 2 39 40 4 2"
svsu_level_ii_01_solutions_16,"(A) From the figure, x +4y +11x =12x +4y =180. From x + y = 20, y = 20− x, so 12x +4(20− x)=180. Solving, we get 8x =100, or x =12.5."
svsu_level_ii_01_solutions_17,"(D) Getting a common denominator, we have (1+sint)(1+sint)+cost⋅cost 1+2sint +sin2t +cos2t 2+2sint 2 = = = = 2sect . cost(1+sint) cost(1+sint) cost(1+sint) cost"
svsu_level_ii_01_solutions_18,"(B) From the figure and the Pythogorean Theorem, (r −8)2 +(r −9)2 = r2 . Expanding, we get, 2r2 −34r +145= r2 , or r2 −34r +145= (r −29)(r −5)= 0. From the placement of P in the figure, only r = 29will work."
svsu_level_ii_01_solutions_19,"(D) If we let h be the height of the cathedral to the top of the spire, x the height of the hill, and y the distance from the base of the hill to the point P, then x h+ x h+ x Top of the spire tan30= , tan60= , tan45= . From these equations, y y 200+ y h=cathedral y = 3 x, 3 y = h+ x, 200+ y = h+ x, respectively. The first 2 x=Hill 200 30 equations combine to give 3x = x+h, or x = h/2,and substituting into the third 45 60 yP equation, y =3h/2−200. Finally, substituting these expressions of x and y in 3 3 h 3h 2 400 3(3 3+3) 200 3 terms of h into equation 2, So, −200 3 = , or h = ⋅200 3 = = 200+ 2 2 3 3−3 18 6"
svsu_level_ii_01_solutions_20,"(B) There are C =190different segments connecting 2 of the 20 points. The segments of integer length are from the four 20 2 horizontal sequences of five points, 4⋅ C = 40, and the 5 vertical sequences of four points, 5⋅ C = 30. The remaining 5 2 4 2 lengths come from diagonal segments, and from the Pythagorean theorem, we need a hypotenuse of integer (rational) length. These can only come from the 3-4-5 triangles, where the diagonal is length 5, and there are 2 of these. So the probability is 72/190=36/95. • • • • • • • • • • • • • • •3 • • • • • 4"
svsu_level_ii_01_solutions_21,"( D) Applying the log function to both sides, (x +1)log2= (2x −3)log3. Expanding, log2+3log3 2xlog3− xlog2= log2+3log3, so x = . 2log3−log2"
svsu_level_ii_01_solutions_22,"(D) Every cubic polynomial has 3 roots, call them a, b, and c (counting complex roots), and since the graph of the second equation is just the graph of the first shifted to the right 3 units, the roots of the second are a+3, b+3, and c+3. So the sum of the roots is a+b+c+9 = (-4) + 9=5."
svsu_level_ii_01_solutions_23,"(D) The volume is the area of the base times the height of the prism. The area of the base is the area of l 3 3 h the rhombus(shown), which is base times height = 1⋅ = . The height of the prism, from the 2 2 60 3 3 3 3 3 3 3 figure, is ⋅ = . Therefore, the volume is ⋅ = . 2 2 4 2 4 8"
svsu_level_ii_01_solutions_24,"(D) arccos(−5/13)is the 4th quadrant angle whose cosine is -5/13. Therefore, the sine of this angle is 12/13. 13 12"
svsu_level_ii_01_solutions_25,(D) Let t be the time (in hours) that the candle burns. Then the amount that is burned off of the first candle in t hours is t/6 (so 1-t/6 remains) and the amount burned off of the second candle is t/3 (or 1-t/3 remains). The 5 question asks for the time t when 1−t / 6= 2(1−t /3). The solution is t = 2 hours.
