id,problem
svsu_2007level2_01,"Forwhichx is log (cid:0) x2−2x−2 (cid:1) ≤0? 2 (a) (−1,3) (b) [−1,3] √ √ √ √ (cid:0) (cid:1) (cid:0) (cid:1) (cid:2) (cid:1) (cid:0) (cid:3) (c) −∞,1− 3 ∪ 1+ 3,∞ (d) −1,1− 3 ∪ 1+ 3,3 (e) Noneoftheabove (cid:18) 2π(cid:19)"
svsu_2007level2_02,Theexactvalueoftheexpressionsin−1 sin is 3 √ √ (a) 2π (b) 3 (c) π (d) 3 (e) Noneoftheabove 3 2 3
svsu_2007level2_03,"Augustus,Benedict,Claudio,andDianahavebeenaccusedofstealingthegoldenmean. Itisknown thatoneofthesefourpeoplemusthavedoneit. Augustussays“Benedictdidit”. Benedictsays“Diana didit”. Claudiosays“Ididn’tdoit”. Dianasays“BenedictislyingwhenhesaysIdidit”. Ifitisknown thatexactlyoneofthemislying,whichonedidit? (a) Augustus (b) Benedict (c) Claudio (d) Diana (e) Morethanonepersonmustbelying"
svsu_2007level2_04,Whichofthefollowingequationsexpressesthecorrectrelationship betweentheanglesαandβasdefinedinthefigure? (a) β= 1sin−1 (cid:16) 1−5sin2(α) (cid:17) y 2 1+3sin2(α) (b) β= 1 2 cos−1 (cid:16) 1 1− +3 5 c c o o s s 2 2( (α α ) ) (cid:17) (c) β= 2 1cos−1 (cid:16) 1 1 − + 5 3 s s i i n n 2 2 ( ( α α ) ) (cid:17) α β x x (cid:16) (cid:17) (d) β= 1sin−1 1−5cos2(α) (e) Noneoftheabove 2 1+3cos2(α)
svsu_2007level2_05,Thenumberofsolutionstotheequation2x+4(2−x)=5is (a) 0 (b) 1 (c) 2 (d) 3 (e) Morethan3 1+cosθ sinθ
svsu_2007level2_06,Theexpression + isequivalenttowhichofthefollowing? (Assumeθ≠π+2πn sinθ 1+cosθ foranyintegern.) (a) 2cscθ (b) 2cotθ (c) 2secθ (d) cscθsecθ (e) Noneoftheabove SVSU–2007MathOlympics LevelII–Page2
svsu_2007level2_07,"10%ofahighschoolseniorclassparticipateinMathOlympics. 95%oftheseniorsthatparticipatein MathOlympicsgetintothecollegeoftheirchoice. Only50%oftheseniorswhodon’tparticipatein MathOlympicsgetintothecollegeoftheirchoice. Ifaseniorfromthathighschoolgotintothecollege ofhisorherchoice,whatistheprobabilitythatthisseniorparticipatedinMathOlympics? (a) .095 (b) .545 (c) 19 (d) .95 (e) Noneoftheabove 109 (cid:18) (cid:19)"
svsu_2007level2_08,LetF beafunctionsuchthatF √ 8 √ =x forallx≥0. WhatisF(4)? 1+ x √ √ (a) 9 (b) 8 3 (c) −12+8 3 (d) 9 (e) Noneoftheabove 3 3 16
svsu_2007level2_09,"Thelargestadvertisingsignintheworldisalargecapital“I”ontopofabuilding ? inL.A.Atadistanceof800ftalongthegroundfromapointdirectlybelowthe sign,theangleofelevationtothetopofthesignis45◦. Fromthissamepoint, theangleofelevationtothebottomofthesignis30◦ . Whatistheheightofthe sign? √ (a) 800ft (b) 800 3 ft 800ft 3 √ √ 800(3− 3) (cid:0) (cid:1) (c) ft (d) 800 3−1 ft (e) Noneoftheabove 3"
svsu_2007level2_10,"Amiddleschoolhas100lockersnumbered1to100,and100students. Thefirststudentgoesdown therowoflockersandopenseverylocker. Thenthesecondstudentgoesdowntherowoflockersand closeseverylockerthatisnumberedwithamultipleoftwo. Thenthethirdstudentgoesdowntherow oflockers,andforeverylockerthatisnumberedwithamultipleof3,ifitisopen,sheclosesit,butif itisalreadyclosed,sheopensitagain. Thefourthstudentthendoesthesamethingforthelockers numberedwithmultipleof4,andsoon,downtothehundrethstudent. Intheend,howmanylockers arestillopen? (a) 1 (b) allofthelockersthatarenotnumberedwithprimenumbers (c) 10 (d) 15 (e) Noneoftheabove"
svsu_2007level2_11,"Whichofthefollowingisthesetofallrealsolutionstotheequation23x−5 (cid:0) 22x(cid:1) +2x+2+6=0? (cid:26) √ (cid:27) (cid:26) √ (cid:27) (cid:26) √ √ (cid:27) (a) ln(3), ln(2− 3) (b) ln(3), ln(1+ 3) (c) ln(1+ 3) , ln(1+ 5) ln(2) ln(2) ln(2) ln(2) ln(2) ln(2) (cid:26) √ √ (cid:27) (d) ln(3), ln(1− 3) , ln(1+ 3) (e) Noneoftheabove ln(2) ln(2) ln(2) SVSU–2007MathOlympics LevelII–Page3"
svsu_2007level2_12,"Theline3x+y =bandtheequation2x2+y2 =1aregraphedonan(x,y)-rectangularcoordinate system. For what values of b will the graph of the line 3x+y = b be tangent to the graph of the equation2x2+y2=1? (a) Thegraphoftheline3x+y =bisnottangenttothegraphof2x2+y2=1foranyb. (b) Thegraphoftheline3x+y =bistangenttothegraphof2x2+y2=1forallb. √ (c) b=±1 (d) b=± 22 (e) Noneoftheabove 2"
svsu_2007level2_13,Considerallthreedigitnumbersforwhichthetensdigitisthesumoftheonesdigitandthehundreds digit. Howmanysuchnumbersaredivisibleby11? (Notethat0cannotbethefirstdigitofathreedigit number.) (a) 9 (b) 10 (c) 45 (d) 55 (e) Noneoftheabove
svsu_2007level2_14,Simplify !  s  1 1 a+1 √ √ + √ √ ÷1+  wherea>1 a+ a+1 a− a−1 a−1 √ √ √ (a) a+ a+1 (b) √ 1√ (c) a−1 (d) √1 a− a−1 a+1 (e) Noneoftheabove
svsu_2007level2_15,"Findthesumofallirreduciblefractionswithadenominator3thatarebetweenthepositiveintegersm andn,wherem<n. (a) m(n−m) (b) n2−m2 (c) n2−m2 (d) n2−m2−2m 3 3 (e) Noneoftheabove"
svsu_2007level2_16,"Theheights(altitudes)AA ,BB ,CC inthetriangleABC intersectatthepointH C 1 1 1 A sothatCH =HC . Ifα=∠CAB andβ=∠CBAthentanαtanβis 1 1 B 1 H (a) 1 (b) 2 (c) 1 (d) 4 (e) Noneoftheabove B 2 4 C A 1"
svsu_2007level2_17,"Alicenseplatecodeconsistsoftwolettersfollowedbythreedigits. Theletterscannotrepeat,butthe numberscan. Whatistheprobabilitythatarandomlychosenplatehasatleastonezero? (a) 3 (b) 1 (c) 729 (d) 271 (e) Noneoftheabove 10 10 1000 1000"
