id,problem
svsu_2016_level1_solutions_01,"Suppose a is a fraction in the simplest form, where 0<a<b, and b=2855. b Howmanydecimalplacesaretheretotherightofthedecimalpointinthedecimalexpansion of a? b (a) 5 (b) 8 (c) 13 (d) Not enough information (e) None of the above"
svsu_2016_level1_solutions_02,Given that x+y =−5 x2+y2 =73 find x3+y3. (a) −125 (b) −245 (c) −365 (d) −485 (e) Not enough information
svsu_2016_level1_solutions_03,How many rational roots does x1000−x500+x100+x+1=0 have? (a) 0 (b) 1 (c) 2 (d) 3 (e) None of the above
svsu_2016_level1_solutions_04,"In 2015, one hundred students participated in a math competition, and 20% of them scored at least 20 points. In 2016, one hundred twenty students participated in the competition, and 25% of them scored at least 20 points. What was the percent increase in the number of students who scored at least 20 points in the competition between 2015 and 2016? (a) 0% (b) 5% (c) 20% (d) 50% (e) None of the above"
svsu_2016_level1_solutions_05,Which of the following is a factor of t2−u2+4t +2u+3? (a) 2t +u (b) t +u+1 (c) t +u+3 (d) The polynomial does not factor (e) None of the above
svsu_2016_level1_solutions_06,Which of the following is equal to the sum 2 2 2 2 + +···+ +···+ 3 8 k2−1 20162−1 (cid:0) (cid:1) 2 (20162−1)!+(20152−1)!+···+15!+8!+3 (a) (20162−1)! 7·2016−10 (b) 2016·2017 3 4033 (c) − 2 2016·2017 (d) 2015 2016 (e) None of the above
svsu_2016_level1_solutions_07,(cid:117) (cid:116) 2 = 1− √1 2 √ √ (a) 2+1 (b) 2−1 (c) √1 −1 (d) √1 +1 (e) None of the above 2 2
svsu_2016_level1_solutions_08,Georgewalksxmetersintwentyminutes. Ifhisrateremainsconstanthowmanymoremeters does he walk in the next thirteen minutes? (a) 20x meters (b) x +13 meters (c) 20 +13 meters (d) x+13 meters 13 20 x 20 (e) 13x meters 20
svsu_2016_level1_solutions_09,"Line 1 has intercepts (2,0) and (0,−3). Line 2 goes through the origin and has slope 1. What is the x coordinate of their point of intersection? (a) 3 (b) 6 (c) −6 (d) The lines don't intersect. 5 (e) None of the above"
svsu_2016_level1_solutions_10,On which of the following intervals is it true that |||x2−1|||+|||x2−9||| is always equal to 8? (a) −3<x<3 (b) −3<x<−1 (c) −1<x<1 (d) −∞<x<−3 (e) x>1
svsu_2016_level1_solutions_11,Shownisacubeandadiagonalonthetopfaceofthecubeandadiagonal on the front face of the cube. What is the acute angle between the two diagonals shown? (a) 45◦ (b) 60◦ (c) 75◦ (d) 90◦ (e) None of the above
svsu_2016_level1_solutions_12,Which of the following is equivalent to 1%? (a) 0.1% (b) 1% (c) 1.1% (d) 10% (e) 100% √ √ (cid:113)
