id,problem
svsu_2014_sol_keys_01,(a) (d)
svsu_2014_sol_keys_02,(d) (e)
svsu_2014_sol_keys_03,(c) (b)
svsu_2014_sol_keys_04,(e) (c)
svsu_2014_sol_keys_05,(c) (a)
svsu_2014_sol_keys_06,(d) (c)
svsu_2014_sol_keys_07,(e) (c)
svsu_2014_sol_keys_08,(c) (c)
svsu_2014_sol_keys_09,(c) (a)
svsu_2014_sol_keys_10,(d) (c)
svsu_2014_sol_keys_11,(b) (c)
svsu_2014_sol_keys_12,(b) (a)
svsu_2014_sol_keys_13,(e) (c)
svsu_2014_sol_keys_14,(d) (a)
svsu_2014_sol_keys_15,(d) (b)
svsu_2014_sol_keys_16,(e) (a)
svsu_2014_sol_keys_17,(a) (e)
svsu_2014_sol_keys_18,(a) (b)
svsu_2014_sol_keys_19,(b) (c)
svsu_2014_sol_keys_20,(b) (b)
svsu_2014_sol_keys_21,(c) (d)
svsu_2014_sol_keys_22,(b) (c)
svsu_2014_sol_keys_23,(e) (d)
svsu_2014_sol_keys_24,(a) (d)
svsu_2014_sol_keys_25,(e) (e) 1
