id,problem
svsu_2005_level_i_mar_9_01,Which of the following numbers is a prime? a) 2783 b) 637 c) 247 d) 359 e) none of the above x2 − y2
svsu_2005_level_i_mar_9_02,Simplify the expression. x−1 − y−1 a) (x – y)2(x + y) b) –x2y – xy2 c) 247 d) x + y e) none of the above
svsu_2005_level_i_mar_9_03,"When going outside on a cold winter day, Jill can choose from three winter coats, five wool scarves, two pairs of boots and four hats. The coats are of distinct colors, and so are the scarves. Jill will never wear her green scarf unless she wears the blue coat. If Jill wears a coat, a scarf, boots and a hat, how many different outfits might her friends see her in? a) 120 b) 104 c) 97 d) 119 e) none of the above"
svsu_2005_level_i_mar_9_04,"Coffee costs $6 per pound in the United States. If a Canadian dollar exchanges for 75 U.S. cents, and a kilogram is 2.2 pounds, what is the equivalent cost in Canadian dollars per kilogram? a) $17.60 b) $9.90 c) $3.64 d) $2.05 e) none of the above"
svsu_2005_level_i_mar_9_05,"A table in a doll house is a scale model of a full sized table. The surface area of the top of the full sized table is 800 square inches. The surface area of the top of the doll house table is 2 square inches. If the doll house table is 1.5 inches high, how high is the full sized table? a) 30 in b) 45 in c) 40 in d) 28 in e) none of the above SVSU – 2005 Math Olympics Level I – Page 2 5−x ⎛1⎞"
svsu_2005_level_i_mar_9_06,Solve the equation. ⎜ ⎟ =9⋅9x ⎝3⎠ a) x = 5 b) x = – 7 c) no solution d) x = – 5 e) none of the above 3
svsu_2005_level_i_mar_9_07,"Assume that the digits 1, 0, and 8 are written so that they look the same when they are upside down as they do when they’re right- side up. Assume that the digits 6 and 9 are written so that by turning (rotating) a 6 upside down, we get a 9. How many five- digit numbers, not including those which start with zero, look the same when rotated upside down as they do right-side up? a) 75 b) 868 c) 152 d) 48 e) none of the above"
svsu_2005_level_i_mar_9_08,"A class has 20 students. If every student shakes hands with every other student, how many handshakes will there be? a) 190 b) 400 c) 380 d) 2019 e) none of the above"
svsu_2005_level_i_mar_9_09,"A school has three clubs: Cheerleaders, Pep Club and Student Council. Half of the student council members and all of the cheerleaders belong to the pep club. Exactly two students are members of all three clubs. If there are 24 student council members, 6 cheerleaders, and 40 pep club members, how many students belong only to the pep club? a) 10 b) 24 c) 20 d) 22 e) none of the above"
svsu_2005_level_i_mar_9_10,"A 400 meter track is to be built with 100-meter straight-aways on both sides and semicircular ends. (See the diagram.) How many meters wide, x, should the track be between the straight- aways so that the total perimeter is 400 meters? a) 100/π b) 100 c) 200/π d) 50/π e) none of the above SVSU – 2005 Math Olympics Level I – Page 3"
svsu_2005_level_i_mar_9_11,Find the perimeter of a rectangle whose area is 22 square meters and whose diagonal is 10 meters. a) 24 b) 12 c) 44 d) 33 e) none of the above
svsu_2005_level_i_mar_9_12,"Donald Duck can eat 2 pizzas in 3 minutes, while Goofy can eat 3 pizzas in 2 minutes. At these rates, how many pizzas can they eat together in one hour? a) 54 b) 96 c) 130 d) 216 e) 250"
svsu_2005_level_i_mar_9_13,"If m>0and the points (m,3)and (1,m) lie on a line with slope m, then m= a) 1 b) 2 c) 3 d) 5 e) none of the above"
svsu_2005_level_i_mar_9_14,"An urn is filled with coins and beads, all of which are either silver or gold. Twenty percent of the objects in the urn are beads. Forty percent of the coins in the urn are silver. What percent of the objects in the urn are gold coins? a) 40% b) 48% c) 52% d) 60% e) none of the above 810 +410"
svsu_2005_level_i_mar_9_15,= 84 +411 a) 2 b) 16 c) 32 122 3 d) none of the above SVSU – 2005 Math Olympics Level I – Page 4
svsu_2005_level_i_mar_9_16,"The ratio of the radii of two concentric circles (circles having the same center) is 1:3. If AC is a diameter of the larger circle, BC is a chord of the larger circle that is tangent to the smaller circle, and AB=12, then the radius of the larger circle is a) 13 b) 18 c) 21 d) 24 e) none of the above"
svsu_2005_level_i_mar_9_17,"The large 12in×12in square shown to the right is made up of four square tiles each having a small square inscribed in it. The four tiles are congruent, and some are mirror images of the others. The shaded region has area 24 in2. The side length of each of the small inscribed squares is a) 2 5 b) 2 3 c) 3 d) 28 e) none of the above"
svsu_2005_level_i_mar_9_18,"At a high school each freshman is taking exactly two of the following three courses: English, Math, Social Studies. The freshmen enrollments are: 20 in English, 17 in Math, 11 in Social Studies. How many freshmen are there? a) 24 b) 25 c) 26 d) 27 e) none of the above"
svsu_2005_level_i_mar_9_19,Let a polynomial P be a degree four polynomial such that 0 = P(0) = P(1) = P(2) = P(–1) and P(–2) = 12. Then P(3) equals a) –12 b) – 1/2 c) 4 d) 6 e) none of the above
svsu_2005_level_i_mar_9_20,"Jody read a book in 3 days. During the first day she read 1/5 of the book, plus 16 pages. During the second day she read 3/10 of what remained, plus 20 pages. During the third day she read 3/4 of what remained, plus 30 pages. How many pages were there in the book? a) 225 b) 240 c) 265 d) 270 e) none of the above SVSU – 2005 Math Olympics Level I – Page 5"
svsu_2005_level_i_mar_9_21,"Determine a, b for which (–4, –3) is a solution of the system ax + by = –26 bx – ay = 7 a) a = –2, b = 11 b) a = 2, b = –6 c) a = 9, b = 5 d) a = 5 , b = 2 e) none of the above"
