id,problem
svsu_2010_level1_solutions_01,"For positive real numbers x, y, and z, which of the following is equivalent to x−1 2y 2 3z5 3 ? (cid:113) (cid:113) (cid:113) (a) 30(cid:0) xyz (cid:1)23 (b) x2 15y10z9 (c) 30x−1y2z3 √ 30 x15y20z18 (d) (e) None of the above x"
svsu_2010_level1_solutions_02,"If f is a nonzero function (this means there is at least one x with f(x) (cid:54)= 0) of real numbers such that f(x+y)=f(x)f(y), what are the possible values for f(0)? (a) any real number is possible (b) any positive real number is possible (c) f(0) must be 0 (d) f(0) must be 1 (e) f(0) could be 0 or 1"
svsu_2010_level1_solutions_03,Find a so that the quadratic equation (a−1)x2+3x−a+2=0 has a solution x =−1. (a) No such a (b) a=0 (c) a=1 (d) a=2 (e) None of the above
svsu_2010_level1_solutions_04,"A group of 50 high school math concentration students are comparing how many of their threedifferentmathexams(Algebra,GeometryandCalculus)theypassedatthefirstattempt. You are given the following information:"
svsu_2010_level1_solutions_05,56% of students passed Geometry at the first attempt.
svsu_2010_level1_solutions_06,58% of students passed Calculus at the first attempt.
svsu_2010_level1_solutions_07,19 students passed both Geometry and Calculus at the first attempt.
svsu_2010_level1_solutions_08,2 students did not pass any exam at the first attempt. Calculate how many students passed only the Algebra exam at the first attempt. (a) 3 (b) 5 (c) 10 (d) 24 (e) Not enough information
svsu_2010_level1_solutions_09,The Bathula family has 6 sons. Each son has 3 sisters. How many children are there? (a) 37 (b) 9 (c) 36 (d) 18 (e) 24
svsu_2010_level1_solutions_10,A snail at the bottom of a well goes up 10 feet each day and slides back 5 feet at night. How many days does it take the snail reach the top of the well if it is 40 feet deep? (a) 4 (b) 5 (c) 3 (d) 8 (e) 7
svsu_2010_level1_solutions_11,"Iaminvitingsomepeopletoaparty,andIwanttoseatthemallat onelongtable. Iwanttoputtogetheraseriesofrectangulartables, ··· and form one long table, as shown. What is a formula that relates the number of chairs (C) to the number of tables (T)? (a) C =2T +4 (b) C =2T (c) C =4T +2 (d) C =T +4 (e) C =T"
svsu_2010_level1_solutions_12,"The set A has c members, and the set B has f members, where c ≥ f. What is the largest number of members A∪B i.e., the set of elements that are in A or B, could have? (a) c−f (b) c·f (c) c+f (d) f (e) c"
svsu_2010_level1_solutions_13,"Findallpossiblewaystofillinthemissingdigitssothatthenumber546,5__isdivisibleby2 and 5 but not by 3. (a) 10, 20, 30, 40, 50, 60, 70, 80, 90 (b) 00, 20, 30, 50, 60, 80 (c) 00, 10, 30, 50, 70, 90 (d) 00, 20, 30, 50, 60, 80, 90 (e) 20, 30, 50, 60, 80, 90"
svsu_2010_level1_solutions_14,What base-eight numeral follows 37 ? eight (a) 37 (b) 47 (c) 38 (d) 100 (e) 40 eight eight eight eight eight
svsu_2010_level1_solutions_15,Convert base-ten numeral 15 to base eight. (a) 16 (b) 10 (c) 12 (d) 17 (e) 13 eight eight eight eight eight
svsu_2010_level1_solutions_16,"Twobusesleavetheterminalat8A.M.Busnumber36takes85minutestocompleteitsroute; bus number 86 takes 102 minutes. When is the next time the two buses will arrive together attheterminal(assumingtheyareontimeandtheyspendnotimewaitingbetweenroutes)? (a) in 510 min (b) in 102 min (c) in 289 min (d) in 408 min (e) in 8,670 min"
svsu_2010_level1_solutions_17,Let a = 25·53·112. Let b be such that the greatest common factor of a and b is 2·53·11 and the least common multiple of a and b is 25·33·53·112. Find b. (a) b =2·33·52·112 (b) b =25·33·53·112 (c) b =25·35·56·11 (d) b =2·33·53·11 (e) b =2·3·5·11
svsu_2010_level1_solutions_18,"If a is 50% more than b, then b is how many percent of a? Please round the answer to the nearest tenth. (a) 71.7 (b) 56.7 (c) 66.7 (d) 67.7 (e) 64.7"
svsu_2010_level1_solutions_19,"If the repeating decimal 0.8451 is represented by the fraction a, where a and b are positive b integers with no common factors greater than 1, find a+b. (a) 303 (b) 4617 (c) 5211 (d) 6089 (e) 8451"
svsu_2010_level1_solutions_20,"3300 Therefore a=2789 and b =3300, which makes a+b =6089."
svsu_2010_level1_solutions_21,The area of a circle is 36π m2. What is the exact circumference? (a) 12π m (b) 12 m (c) 6π m (d) 6 m (e) 36π m
svsu_2010_level1_solutions_22,The areas of the two smaller semicircles are 25π and 18π. 8 Find the area of the largest semicircle. 18π (a) 169π (b) 25π (c) 25π (d) 50π (e) 289π 25π 8 8 8 8
svsu_2010_level1_solutions_23,"Joehasthreedrinkingcups: acylinder-shaped,acone-shapedandasemi-sphere-shaped. All of them have the same radius and height. The cylinder-shaped cup is full of water. Joe want topourthewaterfromthecylinder-shapedcuptotheothertwocups. Whichofthefollowing is going to happen? (a) There will not be enough water to fill the two cups. (b) The water from the cylinder-shaped cup will exactly fill the two other cups. (c) There will be too much water to fit into the other two cups. (d) It depends on what the radius and height are. (e) It depends on what the radius is."
svsu_2010_level1_solutions_24,"Given that l and l are parallel and t and t and are 1 2 1 2 transversals that intersect l 2 at P. Additionally, PT Q l 1 is perpendicular to l , m QPR = 60◦, PT = TS and 1 T PQ=5. What is the length of PS? S √ √ (a) 5 3 (b) 6 l 2 2 2 60◦ R √ √ (c) 25 3 (d) 5 6 (e) None of the above P 2 2"
svsu_2010_level1_solutions_25,"David, Bill and George are three thieves. One of them committed a robbery. During the interrogation they made the following statements: − David: Bill is not the robber. George is the robber. − Bill: David is innocent. George is the robber. − George: I am innocent. David is the robber. It was determined that one of them lied twice, one of them told the truth twice, and one lied once and told the truth once. Who is the robber? (a) David (b) Bill (c) George (d) None of them (e) Impossible to determine"
svsu_2010_level1_solutions_26,"Suppose f(x)=ax+b. If f(f(f(x)))=64x+63, what is a+b? (a) 3 (b) 7 (c) 8 (d) 12 (e) None of the above"
svsu_2010_level1_solutions_27,"For which values of k does the system x2−y2 =0 (x−k)2+y2 =2 have exactly two solutions of the form (x,y) where x and y are real numbers? (a) k=±1 (b) k=±2 (c) k=1 and k=−2 (d) k=−1 and k=2 (e) None of the above"
svsu_2010_level1_solutions_28,"AlibraryisopeneverydayexceptSunday. Max,GusandZykvisitthelibrarytogetherforthe first time. After the first visit, Max always visits the library two days after her previous visit, except when the library is closed, in which case she goes 3 days after her previous visit. Gus always visits the library three days after his previous visit, except when the library is closed, in which case he goes 4 days after his previous visit. Zyk always makes his next visit 4 days after the previous visit, unless the library is closed, in which case he goes 5 days after his previous visit. If the second time they all visit the library together falls on Friday, what day of the week was their first visit? (a) Monday (b) Tuesday (c) Wednesday (d) Thursday (e) Friday"
svsu_2010_level1_solutions_29,"In the triangle shown on the right, AB = BC = CD and AD = BD. Find the D measure of angle D. (a) 28◦ (b) 30◦ (c) 36◦ (d) 72◦ (e) None of the above C"
svsu_2010_level1_solutions_30,"Twoparticlesmoveclockwisearoundacirclewithcircumference300feet. Thefasterparticle moves at a constant speed of R feet per second, and the slower particle moves at a constant speed of r feet per second. If the particles meet every 50 seconds, then what is the value of R−r in feet per second? (a) 6 (b) 8 (c) 10 (d) 12 (e) 14"
