id,problem
svsu_2017_level1_exam_01,What is the last (least significant) digit of 22017? (a) 0 (b) 2 (c) 4 (d) 6 (e) 8
svsu_2017_level1_exam_02,How many integers between 1 and 2017 are divisible by 5 but not 10? (a) 200 (b) 201 (c) 202 (d) 403 (e) 404
svsu_2017_level1_exam_03,GivenparallelogramABCD (asshown)withareaofABCD = B C 24 and diagonals AC and BD intersecting at point Y. The pointM liesonAD sothattheareaof(cid:4)ABM isequaltothe area of (cid:4)MBD. What is the area of MYCD? Y X (a) 6 A M D (b) 8 (c) 9 (d) 12 (e) None of the above
svsu_2017_level1_exam_04,Find 2017 (cid:88) ik k=1 where i2 =−1. (a) −1 (b) i (c) 1 (d) −i (e) 1+i
svsu_2017_level1_exam_05,"Johnny,DeeDee,Joey,Tommy,andMarkyareinaband. Thesumsoftheagesofeachgroup of four of them are 132, 138, 113, 131, and 126. What is the age of the oldest of the band members? (a) 39 (b) 43 (c) 45 (d) 47 (e) 49"
svsu_2017_level1_exam_06,"Determine the number of positive divisors of 18,800 that are divisible by 235. (a) 8 (b) 10 (c) 12 (d) 14 (e) 22 2017 SVSU Math Olympics Level I — page 2 of 5"
svsu_2017_level1_exam_07,The sum of the radii of two circles is 10 cm. The circumference of the larger circle is 3 cm greater than the circumference of the smaller circle. Determine the difference between the area of the larger circle and the area of the smaller circle. (a) π cm2 (b) 2π cm2 (c) 10 cm2 (d) 15 cm2 (e) 20 cm2 3 √ √ √
svsu_2017_level1_exam_08,"The sides a, b, and c of a triangle satisfy a+ b = c. Which of the following describes the triangle? (a) acute (b) scalene (c) isosceles (d) equilateral (e) None of the above"
svsu_2017_level1_exam_09,"If the operation ∗ is defined for all positive real numbers x and y by x∗y = x+y, which of xy the following must be true for positive x, y, and z? I. x∗x= 2 x II. x∗y =y ∗x III. x∗(y ∗z)=(x∗y)∗z (a) I only (b) I and II only (c) I and III only (d) II and III only (e) all three"
svsu_2017_level1_exam_10,"Two people who work full time and one who works half time are to work together on a project, but their total time allotted to the project is to be the equivalent to one and a half full time work days. If one of the full time workers is budgeted to give half of his work day to the project, and the other is budgeted to give one third of his work day, what part of the half-time worker's day should be given to the project? (a) 1/6 (b) 1/3 (c) 9/5 (d) 4/3 (e) None of the above"
svsu_2017_level1_exam_11,"Iffouroutoffivenumbershaveasumof349andtheaverageofthefivenumbersis70,find the fifth number. (a) 1 (b) −1 (c) −337 (d) 337 (e) None of the above 2017 SVSU Math Olympics Level I — page 3 of 5"
svsu_2017_level1_exam_12,"Elmer drives from Springfield to Lafayette in three hours. Bugs takes a route that is five miles shorter and gets there in half the time. If r is the average rate for Elmer, which of the following is the average rate for Bugs in terms of r? (a) (6r −10)/3 (b) (3r −5)/6 (c) (r −5)/2 (d) 3r/10 (e) None of the above"
svsu_2017_level1_exam_13,If a(cid:54)=b and 1/x+1/a=1/b then x= (a) b−a (b) 1/b−1/a (c) 1/a−1/b (d) ab/(a−b) (e) None of the above
svsu_2017_level1_exam_14,If 3x2−4x+5=0 then (x−2/3)2 = (a) −11/9 (b) −1/3 (c) 19/9 (d) 25/9 (e) None of the above
svsu_2017_level1_exam_15,"Howmanyintersectionpointsdoesthegraphofy =x2 havewiththecirclecenteredat(0,3) with radius 2. (a) none (b) 1 (c) 2 (d) 3 (e) 4"
svsu_2017_level1_exam_16,27/6−22/3 = √ √ √ √ √ (a) 3 4( 2+1) (b) 2 (c) 8( 2−1) √ (d) √ 34 (e) None of the above 2+1 2017 SVSU Math Olympics Level I — page 4 of 5
svsu_2017_level1_exam_17,"A collection of centipedes (100 legs), spiders (8 legs) and worms (no legs) has 224 legs and 28 heads, how many worms are there, if there is at least one of each? (a) 25 (b) 23 (c) 24 (d) 26 (e) None of the above"
svsu_2017_level1_exam_18,"Abby, Benny, and Louie together have 100 pennies. If Abby had six times as many as she has now and Benny had one third as many as he has now, there would still be 100 pennies. Louie says, ``It's not fair, I have fewer than 30.'' How many pennies does Louie have? (a) 15 (b) 25 (c) 28 (d) 29 (e) None of the above"
svsu_2017_level1_exam_19,"Find the sum of the integers in the arithmetic sequence 11,28,45,62,...,2017 (a) 119,652 (b) 119,663 (c) 120,655 (d) 120,666 (e) None of the above"
svsu_2017_level1_exam_20,"If the lines ax+by =7 and ax−by =9 intersect at (1,2), what are a and b, respectively? (a) 9 and 7 (b) 3/ and 1/ (c) 7 and 9 (d) 8 and −1/ (e) None of the above 2 2 2"
svsu_2017_level1_exam_21,"IfAB isanumberwithdigits(inbase10)A andB,suchthatwhenweplaceadecimalpoint between the digits we obtain one-third of the original number minus 14, what is AB? (a) 11 (b) 53 (c) 60 (d) 120 (e) None of the above"
svsu_2017_level1_exam_22,"In a certain class, 60% of students have competed in Math Olympics and 35% of students partipatedinthePhysicsMarathon. Exactly10%ofstudentsdidboth. Whatpercentagehave done neither? (a) 5% (b) 10% (c) 15% (d) 20% (e) 0%, how could anyone possibly not participate in at least one of these cool events? 2017 SVSU Math Olympics Level I — page 5 of 5"
svsu_2017_level1_exam_23,"When you divide a number by 210, you get 11. What do you get when you divide the same number by 14? (a) 11 (b) 66 (c) 154 (d) 165 (e) None of the above"
svsu_2017_level1_exam_24,"MathOlympicshasdecidedtobranchintothesnackindustry. Itsellstwoproducts,Pythagorean Peanut Mix, containing 35% granola by weight, and Gauss Granola Mix, containing 85% gra- nola by weight. A customer wants a special mixture that contains 65% granola by weight. If they want 10 pounds of the mixture, how many pounds of each product is required? (a) 5 pounds of each (b) 4 pounds of Pythagorean Peanut Mix and 6 pounds of Gauss Granola Mix (c) 6 pounds of Pythagorean Peanut Mix and 4 pounds of Gauss Granola Mix (d) 2 pounds of Pythagorean Peanut Mix and 8 pounds of Gauss Granola Mix (e) None of the above"
svsu_2017_level1_exam_25,"KennyandMeghenfoundacooldartboardatagaragesale. Itwas awhitecircleinwhichtherewasinscribedablacksquare,inwhich therewasaninscribedwhitecircle,inwhichtherewasinscribeda black square, as shown. They were having a debate whether there was more black than white on the dartboard. Meghen said there wasmorewhitebutKennywassuretheblackareawasmuchlarger. Hethoughtthattheblackareawasatleast1.5timeslargerthanthe white area. Rich, who was also shopping at the same garage sale, thoughtthattheblackareawaslargerthanthewhitearea,butless than1.5timeslarger. Thesellerclaimedthetwoareaswereequal. Which one of them was right? (a) Meghen was right, the white area is larger. (b) The seller was right, the two areas are equal. (c) Rich was right, the black area is larger, but less than 1.5 times larger. (d) Kenny was right, the black area is at least 1.5 times larger than the white area. (e) It is impossible to determine without knowing the diameter of the large circle."
