id,problem
svsu_level2_exam_01,"For n≥2, let k be the product 5·10·17·26·····(n2+1), and let n (cid:18) (cid:19)(cid:18) (cid:19) (cid:18) (cid:19) 1 1 1 S = 1− 1− ··· 1− . n 24 34 n4 What is S /k ? n n 1 1 (cid:18) 1 (cid:19) 1 n2 n4+1 1 (a) 1+ (b) (c) · 2(n!)2 n k n4+1 2n+2 n! n 1 1 1 (d) (e) None of the above k n4((n−1)!)4 n"
svsu_level2_exam_02,Consider the following equation: (cid:18) 3 (cid:19)x 3x−6x =12x− . 2 Which of the following is NOT a solution? 3πi 6πi 27πi (a) (b) 0 (c) (d) ln2 ln2 ln2 (e) All are solutions
svsu_level2_exam_03,"Consider the equation p(x) : ax2+bx+c = 0 whose coefficients a, b and c are all non-zero, and each of them satisfies an equation that results from removing the term containing that coefficent from the equation p(x); for example, the coefficient b is a solution of the equation ax2+c=0. What is the sum of all solutions of p(x)? (a) Always 1 (b) Always −1 (c) Always 2 (d) 1 or −1 (e) 1 or 2"
svsu_level2_exam_04,"Find the sum of the first five terms of the series (cid:26) (cid:27) 2 4 8 , , ,... . 3 9 27 64 550 32 422 (a) (b) (c) (d) (e) None of the above 81 243 81 243"
svsu_level2_exam_05,"Supposef isafunctionsuchthatf(n+1)=f(n)+3f(n−1),forallintegersn. Iff(4)=151and f(1)=1, what is f(−1)? (a) 12 (b) 4 (c) −11 (d) 13 (e) None of the above 3 3 2022 SVSU Math Olympics Level II — page 2 of 7"
svsu_level2_exam_06,Rationalize the denominator: 1 25/6+21/2+21/3+1 1(cid:0) (cid:1) 1(cid:0) (cid:1)(cid:0) (cid:1) (a) 21/2+21/3−21/6 (b) 21/2−1 22/3−21/3+1 6 3 1(cid:0) (cid:1) (cid:0) (cid:1)(cid:0) (cid:1) (c) 27/6−25/6+1 (d) 21/2−1 22/3−21/3+1 2 (e) None of the above
svsu_level2_exam_07,What is the value of the following series? 2 (cid:88) 022 2022!·(−1)k2k k!·(2022−k)! k=0 1−(−2)2023 (a) (b) −1 (c) 1 3 (d) 32022 (e) None of the above
svsu_level2_exam_08,Which of the following is equal to (cid:16)(cid:112) (cid:112) (cid:112) (cid:17)2 427+ 3+ 43+1 ? 4 (cid:112) (cid:112) (cid:112) (cid:112) (a) √ √ (b) 4 3+4 (c) 2427+243+6 3+6 3−243+1 16 (d) √ √ (e) None of the above 3+243+1
svsu_level2_exam_09,Which of the following expressions are equivalent to (cid:16) (cid:17) (cid:16) (cid:17) (3x+2) 1 2 1 (2x+3)−2 3 (2)−(2x+3) 1 3 1 (3x+2)−1 2 (3) 3 2 (cid:104) 1 (cid:105)2 (3x+2)2 √ √ −5 2 3x+2−332x+3 (a) (b) (cid:113) (cid:113) (c) 0 6(2x+3) 4 3 (3x+2)2 6 (3x+2)3 3(2x+3)2 6x+19 (d) − (e) None of the above 2 3 6(2x+3)3 (3x+2)2 2022 SVSU Math Olympics Level II — page 3 of 7
svsu_level2_exam_10,"A person walks along a beach, starting at point A, at a rate of3mi/handatpointB,goesintothewaterandswimsata Island rateof2mi/hdiagonallyouttoanislandthatisadistance √ of 3mi from point C, directly across from the island on √ 3miles theshore,asshowninthepicture. Thetotaldistancefrom point A to point C is 3mi. There are two different choices A B C for the distance, in miles, from point A to point B that will 3miles resultinatotaltimeforwalkingandswimmingofonehour and 40 minutes; what is the sum of those numbers? (a) 2 (b) 4 (c) 14 (d) 16 (e) None of the above 5 5 olution] 2022 SVSU Math Olympics Level II — page 4 of 7"
