id,problem
svsu_level_ii_03_01,a. b. c. 16 d. (cid:33)16. e. None of the above
svsu_level_ii_03_02,"Let f be the function defined by for some positive a. If , then a is a. b. c. d. e. None of the above"
svsu_level_ii_03_03,"As a promotional campaign a music store gave away CDs. Four people received CDs. The first person got 1/3 of the CDs, the second person got 1/4 of the CDs, the third person got 1/6 of the CDs, and the fourth person got 12 CDs. How many CDs did the first person get? a. 8 b. 10 c. 14 d. 16 e. None of the above"
svsu_level_ii_03_04,Let f be a degree 3 polynomial with leading coefficient 1. Suppose that x=3 is a double zero of f and that f(0)=3. The third zero of f is a. (cid:33)2 b. (cid:33)1 c. (cid:33)1/2 d. (cid:33)1/3 e. None of the above
svsu_level_ii_03_05,"Four whole numbers, when added three at a time, give the sums 180, 197, 208, and 222. What is the largest of the four numbers? a. 77 b. 83 c. 89 d. 95 e. None of the above Level II/Page 2"
svsu_level_ii_03_06,"If , find a constant c so that a. c=1 b. c=(cid:33)1 c. c=2 d. c=(cid:33)2 e. None of the above"
svsu_level_ii_03_07,"Which of the following equations have the same graph? I. II. III. a. I and II only b. I and III only c. II and III only d. I, II, and III e. None. All the equations have different graphs"
svsu_level_ii_03_08,"A tank has two identical drainage valves. With only one valve open, the full tank can be drained in 4 hours. If we start draining the full tank using both valves until the tank is 1/4 full, then let the rest drain through one valve only, the time it will take to drain the tank is a. 2.25 hours b. 2.5 hours c. 2.75 hours d. 3 hours e. None of the above"
svsu_level_ii_03_09,Find the integer a so that . a. 1 b. 2 c. 3 d. 4 e. None of the above
svsu_level_ii_03_10,"If and sin x=0.1, then a. 0.1 b. 0.4 c. 0.7 d. 0.9 e. None of the above Level II/Page 3"
svsu_level_ii_03_11,Which of the following trigonometric equations is false for all x? a. b. tan x = (cid:33)100 c. d. tan2x + 1 = sec2x e. None of the above
svsu_level_ii_03_12,"When , the value of the expression in terms of sin t equals a. b. c. d. e. None of the above"
svsu_level_ii_03_13,"The equation of the tangent line to the circle x2 + y2 = 25 at the point (4,3) is a. 3x + 4y = 24 b. 3x (cid:33) 4y = 0 c. 4x (cid:33) 3y = 7 d. 4x + 3y =25 e. None of the above"
svsu_level_ii_03_14,How many positive integers less than 50 have an odd number of positive integer divisors? a. 3 b. 5 c. 7 d. 9 e. None of the above Level II/Page 4
svsu_level_ii_03_15,A circle is inscribed in a square. A 2×4 rectangle shares an upper left vertex with the square and its lower right vertex is on the circle as in the figure. What is the radius of the circle? a. 4 b. 8 c. 10 d. 12 e. None of the above
svsu_level_ii_03_16,Two circles have the same radius r. Their centers are a distance of apart. The area of the intersection of the circles is a. b. c. d. e. None of the above
svsu_level_ii_03_17,"In the figure, ABCD is a quadrilateral with right angles at A and C. Points E and F are on , and and are perpendicular to . If AE = 3, DE = 5, and CE = 7, then BF = a. 3.6 b. 4 c. 4.2 d. 4.5 e. None of the above"
svsu_level_ii_03_18,"If and , then is a. 6.25 b. 8 c. 8.25 d. 9.25 e. None of the above Level II/Page 5"
svsu_level_ii_03_19,"If , then a equals a. 2 b. 3 c. d. (cid:33)2 e. None of the above"
svsu_level_ii_03_20,In how many ways can 6 people be lined up to get on a bus if 2 specific persons refuse to follow each other? a. 240 b. 480 c. 600 d. 720 e. None of the above
svsu_level_ii_03_21,"Nine chairs in a row are to be occupied by six students and Professors Alpha, Beta, and Gamma. These three professors arrive before the six students and decide to choose their chairs so that each professor will be between two students. In how many ways can Professor Alpha, Beta, and Gamma choose their chairs? a. 12 b. 36 c. 60 d. 84 e. None of the above"
svsu_level_ii_03_22,Find the maximum vertical distance d between the parabola y = (cid:33)2x2 + 4x + 3 and the line y = x (cid:33) 2 throughout the shaded region in the figure. a. b. c. d. e. None of the above Level II/Page 6
svsu_level_ii_03_23,"Two men stand 200 feet apart with a vertical flagpole in between them. If the angles of elevation of the top of the flagpole are 30° and 45°, how tall is the pole? a. b. c. d. e. None of the above"
svsu_level_ii_03_24,"At noon, a car and a van are 120 miles apart on a straight road and driving toward each other at a speed of 40 mi/hr. A fly starts from the front bumper of the van at noon and flies to the bumper of the car, then immediately back to the bumper of the van, back to the car, and so on, until the car and the van meet. If the fly flies at a speed of 100 mi/hr, what is the total distance it travels? a. 150 miles b. 120 miles c. 100 miles d. 200 miles e. None of the above"
svsu_level_ii_03_25,"An amoeba propagates by simple division; each split into two takes 3 minutes to complete. When such an amoeba is put into a glass container with a nutrient fluid, the container will be full of amoebas in one hour. How long would it take for the container to be filled if we start with not one amoeba, but two? a. 30 min. b. 45 min. c. 51 min. d. 57 min. e. None of the above"
