id,problem
svsu_level_ii_02_v2_01,"If the radius of a right circular cylinder is increased by 50%, what will the corresponding percent increase in the volume of the cylinder be? a. 25% b. 50% c. 100% d. 125% e. None of the above"
svsu_level_ii_02_v2_02,"For the two functions of x, y = log x2 and y = 2log x, which of the following is true? a. The two functions are the same b. The two functions have different domains c. One function is a multiple of the other d. The two functions have the same domain e. None of the above are true"
svsu_level_ii_02_v2_03,"Tracy tried to compute the average of her five test scores and she mistakenly divided the correct total (T) of her scores by 6, and her result was 14 less than what the average should have been. Which of the following equations would determine the value of T. a. 5T+14=6T b. c. d. e. None of the above"
svsu_level_ii_02_v2_04,"The floor of a room is a 10 m by 10 m square and the room is 4 m high. A spider is in one of the corners of the floor and sees a fly across the room at the diagonally opposite corner on the ceiling. If the fly does not move, what is the shortest distance (in meters) the spider must travel to catch the fly? a. b. c. 24 d. e. None of the above Level II/Page 2"
svsu_level_ii_02_v2_05,"When people play pool, they first arrange the balls inside a frame, as shown in the figure. The diameters of the balls are all the same. Given that AH=33 cm, find the diameter of a ball. a. b. c. d. e. None of the above"
svsu_level_ii_02_v2_06,"The first and seventh terms of a sequence are both 8. In addition, starting with the third term, each term is the sum of the previous two terms. What is the fifth term? a. (cid:33)4 b. 0 c. 4 d. 12 e. None of the above"
svsu_level_ii_02_v2_07,The sum of all different real values of x for which is a. 9 b. 10 c. 12 d. 15 e. None of the above
svsu_level_ii_02_v2_08,Find the digit x such that the base three numeral 1x21 represents the same number as the base five numeral
svsu_level_ii_02_v2_09,a. 0 b. 1 c. 2 d. 3 e. None of the above
svsu_level_ii_02_v2_10,Find the value of the product (log 3)(log 4)(log 5)(log 6)(log 7)(log 8). 2 3 4 5 6 7 a. 1 b. ½ c. 2 d. 3 e. None of the above
svsu_level_ii_02_v2_11,"Let . If each of (x(cid:33)2), (x(cid:33)3), (x(cid:33)4) is a factor of f, find the value of a. a. (cid:33)1 b. (cid:33)½ c. (cid:33)c d. ½ e. None of the above Level II/Page 3"
svsu_level_ii_02_v2_12,"If and , what is ? a. (cid:33)12/25 b. (cid:33)4/5 c. (cid:33)24/25 d. (cid:33)6/5 e. None of the above"
svsu_level_ii_02_v2_13,"A time trial for a car race consists of two laps around a race track. Driver 8 averages 180 miles per hour on the first lap, but, due to mechanical difficulties, only 120 miles per hour on the second lap. What is Driver 8's average speed for the time trial? a. 140 mph b. 144 mph c. 146 mph d. 150 mph e. None of the above"
svsu_level_ii_02_v2_14,"If and , then is equal to a. 3/5 b. (cid:33)3/5 c. 4/5 d. (cid:33)4/5 e. None of the above"
svsu_level_ii_02_v2_15,"You ask a cashier for change for a half dollar and request no pennies. Assuming that the manner in which he makes change is purely arbitrary, determine the probability that the change he gives you will include just one quarter. a. 1/4 b. 1/5 c. 3/10 d. 7/10 e. None of the above"
svsu_level_ii_02_v2_16,"In how many different orders can four children be arranged in a line if two children, John and Julie, refuse to stand next to each other? a. 6 b. 12 c. 16 d. 24 e. None of the above"
svsu_level_ii_02_v2_17,"What is the first time, to the nearest minute, after 4:00 that the minute hand of a clock will overtake the hour hand? a. 4:20 b. 4:21 c. 4:22 d. 4:23 e. None of the above"
svsu_level_ii_02_v2_18,Call a positive integer weird if no two of its digits are equal and no digit is 0. Call a positive integer goofy if all its digits are even. How many four-digit positive integers are either weird or goofy? a. 3000 b. 3024 c. 3500 d. 3524 e. None of the above Level II/Page 4
svsu_level_ii_02_v2_19,"The terms a of a sequence of positive integers satisfy for n=1,2,3,(cid:64)(cid:64)(cid:64). If a =144, n 6 what is a ? 7 a. 256 b. 2304 c. 3248 d. 3456 e. None of the above"
svsu_level_ii_02_v2_20,"Jim, in order to guess his grandfather’s height and age, had him do the following:"
svsu_level_ii_02_v2_21,"Write down his age. 2) Multiply it by 2. 3) Add 5. 4) Multiply this sum by 50. 5) Subtract 365. 6) Add his height (in inches). 7) Add 115. If the result was 6364. Guess Jim’s grandfather’s height and age. a. height (5'3""); age (64) b. height (5'4""); age (64) c. height (5'3""); age (63) d. height (5'4""); age (63) e. None of the above"
svsu_level_ii_02_v2_22,The inverse function of is a. b. c. d. e. None of the above
svsu_level_ii_02_v2_23,"Can the graph of cross its horizontal asymptote? If yes, then where? a. No b. Yes, at x = (cid:33)1, 2 c. Yes, at x = 3 d. Depends e. None of the above"
svsu_level_ii_02_v2_24,The concentration of a mixture consisting of 10 gallons of 20%-acid and 40 gallons of 15%-acid is a. 12%-acid b. 16%-acid c. 17%-acid d. 15% e. None of the above
svsu_level_ii_02_v2_25,"Find the domain of the function . a. ((cid:33)(cid:52), +(cid:52)) b. ((cid:33)1, 4) c. (4, +(cid:52)) d. ((cid:33)(cid:52), (cid:33)1) e. None of the above Level II/Page 5"
svsu_level_ii_02_v2_26,Suppose that the quadratic expression has no real zeros and that One can conclude the following: a. C < 0 b. C = 0 c. C > 0 d. C (cid:36) 0 e. None of the above
svsu_level_ii_02_v2_27,When the value of the expression in terms of sin t equals a. b. c. d. e. None of the above
