id,problem
svsu_2006_level1_solutions_01,"Asquareisinscribedinacircle,whichisinscribedinanothersquare. Whatistheratioofthearea ofthesmallersquaretotheareaofthelargersquare? (a) 1 (b) p1 (c) 1 (d) Impossibletodeterminefromtheinformationgiven 2 2 4 (e) Noneoftheabove"
svsu_2006_level1_solutions_02,Whichofthefollowingchoiceshasadifferentvaluefromtheotherchoices? 240+2 245+245 (a) 32·235 (b) (32)8 (c) (d) 239+239 (e) 2 25+25
svsu_2006_level1_solutions_03,Atwhattimebetween7:00pmand8:00pmwillthehourhandandtheminutehandpointinoppo- sitedirections?(Assumethatthehandsmovesmoothlywithoutjumps.) (a) 7minutesafter7:00pm. (b) 65/ minutesafter7:00pm. 12 (c) 55/ minutesafter7:00pm. 11 (d) Thereisnotimebetween7:00pmand8:00pmatwhichthehourhandandtheminutehand pointinoppositedirections. (e) Noneoftheabove
svsu_2006_level1_solutions_04,Theexpression simplifiesto x+2y+z (a) 2x−2y−z2 (b) x−z (c) 2x−2y−z (d) x−2y−z (e) Noneoftheabove
svsu_2006_level1_solutions_05,WhichofthefollowingdefinitionsofxPy guaranteesthatxPy=yPx? x x y (a) xPy= (b) xPy=2x+y (c) xPy= + y y x (d) xPy=x2y (e) Noneoftheabove
svsu_2006_level1_solutions_06,"Akindergartenteacherneedstoseat5childreninarow. Thetwins,TerryandSherry,needtosit nexttoeachotherortheywillcry.Howmanywayscantheteacherseatthe5childrensothatTerry andSherryarenexttoeachother? (a) 125 (b) 48 (c) 24 (d) 12 (e) Noneoftheabove"
svsu_2006_level1_solutions_07,"The two smaller circles S and S of radii r and r are 1 2 1 2 initiallypositioned,respectively,atpointsP andQ atthe S 1 opposite ends of a diameter of the big circle of radius r. S 2 r Thesmallercirclesarethenmovedalongtheperimeterof P r 2 r 1 the big circle by rotating them clock-wise (without skid- Q ding)atthesamerotationalrate.Aftercompleting5.5full rotations, S reachesQ, while at that moment S is only 1 2 two-thirds of the distance along the arc fromQ to P. If thecirclescontinuetorotateuntilthefirstmomenttheyareback(simultaneously)totheirinitial positions,howmanyrotationswouldS havemade? 2 (a) 27 (b) 16.5 (c) 70.5 (d) 141 (e) Noneoftheabove"
svsu_2006_level1_solutions_08,a]bisdefinedtobea+ 1 forb6=0.Find(1]2)] ¡ 2] 1¢ . b 4 (a) 5 (b) 15 (c) 2 (d) 10 (e) Noneoftheabove 3 4 9
svsu_2006_level1_solutions_09,Whatisthesumofthesolutionstotheequation =4x2+ ? x−1 x−1 (a) 1 (b) 1.5 (c) 0 (d) 1 (e) Noneoftheabove 2
svsu_2006_level1_solutions_10,"Alotterygameusesabowlfilledwithredandwhiteping-pongballs.Someoftheballshaveablack dotandsomedonot. 50%oftheballsarecoloredred,and20%oftheredballshaveablackdot. 40%ofalltheballshaveablackdot.Whatpercentoftheballswillbewhitewithablackdot? (a) 20% (b) 60% (c) 30% (d) 80% (e) Noneoftheabove"
